"","x"
"Vogue1A.01.071",2
"Vogue1A.01.072",3
"Vogue1A.01.073",3
"Vogue1A.01.074",4
"Vogue1A.01.075",6
"Vogue1A.01.076",4
"Vogue1A.01.077",3
"Vogue1A.01.078",3
"Vogue1A.01.079",3
"Vogue1A.01.080",3
"Vogue1A.01.081",4
"Vogue1A.01.082",3
"Vogue1A.01.083",1
"Vogue1A.01.084",5
"Vogue1A.01.085",3
"Vogue1A.01.086",5
"Vogue1A.01.087",7
"Vogue1A.01.088",4
"Vogue1A.01.089",3
"Vogue1A.01.090",3
"Vogue1A.01.091",1
"Vogue1A.01.092",3
"Vogue1A.01.093",1
"Vogue1A.01.094",3
"Vogue1A.01.095",3
"Vogue1A.01.096",7
"Vogue1A.01.097",3
"Vogue1A.01.098",7
"Vogue1A.01.099",3
"Vogue1A.01.100",3
"Vogue1A.01.101",6
"Vogue1A.01.102",3
"Vogue1A.01.103",4
"Vogue1A.01.104",3
"Vogue1A.01.105",4
"Vogue1A.01.106",7
"Vogue1A.01.107",3
"Vogue1A.01.108",2
"Vogue1A.01.109",4
"Vogue1A.01.110",7
"Vogue1A.01.111",7
"Vogue1A.01.112",3
"Vogue1A.01.113",3
"Vogue1A.01.114",3
"Vogue1A.01.115",7
"Vogue1A.01.116",4
"Vogue1A.01.117",3
"Vogue1A.01.118",3
"Vogue1A.01.119",5
"Vogue1A.01.120",4
"Vogue1A.01.121",1
"Vogue1A.01.122",4
"Vogue1A.01.123",3
"Vogue1A.01.124",1
"Vogue1A.01.125",3
"Vogue1A.01.126",3
"Vogue1A.01.127",3
"Vogue1A.01.128",3
"Vogue1A.01.129",5
"Vogue1A.01.130",3
"Vogue1A.01.131",5
"Vogue1A.01.132",3
"Vogue1A.01.133",5
"Vogue1A.01.134",3
"Vogue1A.01.135",3
"Vogue1A.01.136",5
"Vogue1A.01.137",3
"Vogue1A.01.138",5
"Vogue1A.01.139",3
"Vogue1A.01.140",3
"Vogue1A.01.141",6
"Vogue1A.01.142",3
"Vogue1A.01.143",5
"Vogue1A.01.144",4
"Vogue1A.01.145",3
"Vogue1A.01.146",3
"Vogue1A.01.147",3
"Vogue1A.01.148",7
"Vogue1A.01.149",6
"Vogue1A.01.150",3
"Vogue1A.01.151",5
"Vogue1A.01.152",3
"Vogue1A.01.154",4
"Vogue1A.01.155",3
"Vogue1A.01.156",3
"Vogue1A.01.157",3
"Vogue1A.01.158",4
"Vogue1A.01.159",4
"Vogue1A.01.160",4
"Vogue1A.01.161",3
"Vogue1A.01.162",3
"Vogue1A.01.163",3
"Vogue1A.01.164",5
"Vogue1A.01.166",3
"Vogue1A.01.167",4
"Vogue1A.01.168",4
"Vogue1A.01.169",3
"Vogue1A.01.170",3
"Vogue1A.01.171",7
"Vogue1A.01.172",3
"Vogue1A.01.173",3
"Vogue1A.01.174",3
"Vogue1A.01.175",3
"Vogue1A.01.176",3
"Vogue1A.01.177",3
"Vogue1A.01.179",3
"Vogue1A.01.180",5
"Vogue1A.01.181",5
"Vogue1A.01.183",1
"Vogue1A.01.184",3
"Vogue1A.01.185",6
"Vogue1A.01.186",3
"Vogue1A.01.187",3
"Vogue1A.01.188",4
"Vogue1A.01.189",6
"Vogue1A.01.190",5
"Vogue1A.01.191",3
"Vogue1A.01.192",3
"Vogue1A.01.193",4
"Vogue1A.01.194",3
"Vogue1A.01.195",5
"Vogue1A.01.196",4
"Vogue1A.01.197",3
"Vogue1A.01.198",3
"Vogue1A.01.199",3
"Vogue1A.01.200",3
"Vogue1A.01.201",3
"Vogue1A.01.202",5
"Vogue1A.01.203",3
"Vogue1A.01.204",4
"Vogue1A.01.205",3
"Vogue1A.01.206",6
"Vogue1A.01.207",3
"Vogue1A.01.208",3
"Vogue1A.01.209",4
"Vogue1A.01.210",7
"Vogue1A.01.211",3
"Vogue1A.01.212",3
"Vogue1A.01.213",3
"Vogue1A.01.214",3
"Vogue1A.01.215",3
"Vogue1A.01.216",3
"Vogue1A.01.217",3
"Vogue1A.01.218",3
"Vogue1A.01.219",3
"Vogue1A.01.220",5
"Vogue1A.01.221",7
"Vogue1A.01.222",4
"Vogue1A.01.223",5
"Vogue1A.01.224",3
"Vogue1A.01.225",1
"Vogue1A.01.226",6
"Vogue1A.01.227",3
"Vogue1A.01.228",5
"Vogue1A.01.229",6
"Vogue1A.01.230",3
"Vogue1A.01.231",3
"Vogue1A.01.232",6
"Vogue1A.01.233",3
"Vogue1A.01.234",2
"Vogue1A.01.235",1
"Vogue1A.01.236",3
"Vogue1A.01.237",3
"Vogue1A.01.238",3
"Vogue1A.01.239",3
"Vogue1A.01.240",3
"Vogue1A.01.241",7
"Vogue1A.01.242",5
"Vogue1A.01.243",5
"Vogue1A.01.244",4
"Vogue1A.01.245",6
"Vogue1A.01.246",3
"Vogue1A.01.247",1
"Vogue1A.01.248",3
"Vogue1A.01.249",5
"Vogue1A.01.250",3
"Vogue1A.01.251",3
"Vogue1A.01.252",3
"Vogue1A.01.253",3
"Vogue1A.01.254",3
"Vogue1A.01.255",5
"Vogue1A.01.256",5
"Vogue1A.01.257",3
"Vogue1A.01.258",3
"Vogue1A.01.259",3
"Vogue1A.01.260",5
"Vogue1A.01.261",5
"Vogue1A.01.262",6
"Vogue1A.01.263",4
"Vogue1A.01.264",3
"Vogue1A.01.265",3
"Vogue1A.01.266",3
"Vogue1A.01.267",4
"Vogue1A.01.268",7
"Vogue1A.01.269",4
"Vogue1A.01.270",4
"Vogue1A.01.271",5
"Vogue1A.01.272",4
"Vogue1A.01.273",4
"Vogue1A.01.274",3
"Vogue1A.01.275",5
"Vogue1A.01.276",4
"Vogue1A.01.277",4
"Vogue1A.01.278",2
"Vogue1A.01.279",7
"Vogue1A.01.280",7
"Vogue1A.01.281",3
"Vogue1A.01.282",4
"Vogue1A.01.283",1
"Vogue1A.01.284",6
"Vogue1A.01.285",3
"Vogue1A.01.286",3
"Vogue1A.01.287",3
"Vogue1A.01.288",3
"Vogue1A.01.289",3
"Vogue1A.01.290",3
"Vogue1A.01.291",3
"Vogue1A.01.292",3
"Vogue1A.01.293",3
"Vogue1A.01.294",4
"Vogue1A.01.295",3
"Vogue1A.01.296",5
"Vogue1A.01.297",6
"Vogue1A.01.298",5
"Vogue1A.01.300",3
"Vogue1A.01.301",3
"Vogue1A.01.302",4
"Vogue1A.01.303",3
"Vogue1A.01.304",5
"Vogue1A.01.305",4
"Vogue1A.01.306",3
"Vogue1A.01.307",3
"Vogue1A.01.308",3
"Vogue1A.01.309",6
"Vogue1A.01.310",2
"Vogue1A.01.311",2
"Vogue1A.01.312",2
"Vogue1A.01.313",3
"Vogue1A.01.314",5
"Vogue1A.01.316",3
"Vogue1A.01.317",3
"Vogue1A.01.318",4
"Vogue1A.01.319",3
"Vogue1A.01.320",3
