Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.020,0,1,3,0,0,6,0,0,0,9,108,13,0,0,2211,10,10,91,36,8,2,0,0,0,1,0,0,1,1,0,3,23,0,0,0
Vogue1A.01.021,0,0,0,0,0,12,1,0,0,117,104,19,0,0,104,1,135,30,36,16,0,0,0,0,0,18,6,12,1,7,1,39,1,0,4
Vogue1A.01.022,0,0,0,0,0,2,2,0,0,213,32,0,0,0,877,95,17,37,0,5,0,0,1,0,2,73,0,11,95,0,0,3,6,0,21
Vogue1A.01.023,0,0,0,0,0,0,762,0,12,369,22,18,0,0,24116,3575,2478,2824,3,426,2,1172,35,181,1701,2786,1323,1245,186,0,1,7,52,0,760
Vogue1A.01.024,0,0,0,0,0,1,3,0,11,45,3,0,0,0,1655,8,7,31,0,51,7,1,0,1,112,10,11,935,27,0,0,0,167,0,198
Vogue1A.01.025,0,0,0,2,5,8,13367,0,430,497,24,9,0,0,13724,769,4837,509,0,936,106,1890,392,212,7522,1603,1196,555,253,1,0,2,12,0,26
Vogue1A.01.026,0,0,1,0,0,0,10,0,15,83,56,24,0,0,18890,365,83,318,2,35,1,2,0,15,18,48,4,15,24,0,0,4,0,0,27
Vogue1A.01.027,0,0,0,0,0,0,1,0,0,79,11,0,1,0,17,779,11,1,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0
Vogue1A.01.028,0,0,0,7,0,0,0,0,9,137,2,4,0,0,43,892,19387,974,0,30,0,4,0,5,63,26,3,3,46,0,0,0,0,0,0
Vogue1A.01.029,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2600,75,433,28,0,2,0,0,0,7,3,2,0,47,2,0,0,0,0,0,0
Vogue1A.01.030,0,0,0,0,0,0,0,0,0,49,3,0,0,0,4630,563,588,557,0,8,0,1,0,10,2,21,14,2,9,0,0,11,0,0,0
Vogue1A.01.031,0,4,0,1,17,1,0,0,3,498,38,11,0,0,208,7295,6486,8156,0,31,0,11,0,0,13,333,6,38,71,0,0,0,6,0,1
Vogue1A.01.032,0,0,14,1,0,35,0,0,0,49,0,3,0,0,919,30,5,29,10,3,0,0,0,6,0,1,1,5,1,0,0,1,0,0,0
Vogue1A.01.033,0,0,0,2,0,0,0,0,2,6,0,4,0,0,3502,39,48,20,0,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Vogue1A.01.034,0,0,2,0,5,1,0,0,7,20,163,13,0,0,1486,27,68,5,33,12,0,1,4,0,0,0,6,8,9,0,0,45,0,0,1
Vogue1A.01.035,0,1,14,0,4,12,0,0,0,17,1142,19,0,0,11,1,231,1,339,24,0,0,2,0,4,0,77,8,2,0,6,217,6,0,9
Vogue1A.01.036,0,0,0,0,1,1,0,0,17,139,3,0,0,0,39027,435,2612,294,0,196,6,7,0,32,22,16,2,117,61,1,0,7,33,0,3
Vogue1A.01.037,0,2,164,0,30,1950,0,0,0,3293,818,21,14,0,48,0,7,1,524,73,1,2,0,0,16,0,210,0,39,1,0,16,0,0,0
Vogue1A.01.038,0,0,3,218,23,1,0,0,2,293,6,9,0,0,16,81,42523,16,4,2389,43,202,14,62,420,0,205,125,224,54,0,292,4,0,9
Vogue1A.01.039,0,0,0,2,1,0,0,0,0,390,6,0,0,0,400,6650,11508,5794,0,22,1,40,0,1,35,221,5,3,101,0,0,9,0,0,0
Vogue1A.01.040,0,0,0,0,0,0,0,0,1,11,0,0,0,0,8121,81,29,751,0,9,0,0,0,12,6,15,0,0,5,0,0,0,0,0,0
Vogue1A.01.041,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1037,2,0,107,0,1,0,0,0,1,0,1,0,1,7,0,0,0,0,0,0
Vogue1A.01.042,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1775,14,5,9,0,2,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0
Vogue1A.01.043,0,0,18,0,7,0,0,0,0,18,16,2,0,0,12,89,23,2199,13,0,0,0,0,0,1,11,0,0,2,0,0,0,0,0,0
Vogue1A.01.044,0,0,1,0,0,0,0,0,0,23,11,6,0,0,33,5,10583,58,2,46,0,4,0,0,30,0,0,5,666,0,0,0,0,0,0
Vogue1A.01.045,0,0,0,1,0,0,0,0,17,29,0,0,0,0,181,6,10254,4,0,28,0,1,0,0,11,0,0,35,20,0,0,0,41,0,34
Vogue1A.01.046,0,9,3,2,37,0,0,0,1,81,1305,801,0,0,8617,58,11762,22,0,455,0,6,0,12,30,104,80,13,11,8,0,152,6,0,5
Vogue1A.01.047,0,1,1072,13,331,0,0,0,0,422,1070,216,17,0,4,1,0,1,1471,3,0,1,0,0,1,0,204,0,0,0,0,0,0,0,0
Vogue1A.01.048,0,0,0,5911,0,0,0,0,0,1,0,0,0,0,105,0,1,0,3,8,0,0,12,0,2,0,1,2,4,0,0,4,0,0,0
Vogue1A.01.049,0,0,0,0,0,0,0,0,1,465,14,0,0,0,2021,96,6,9,0,4,0,1,0,1,3,3,0,0,4,0,0,0,1,0,0
Vogue1A.01.050,0,0,0,0,0,1,0,0,0,64,4,0,0,0,37,1011,150,9323,0,7,0,7,0,0,1,84,1,54,14,0,0,0,0,0,5
Vogue1A.01.051,0,3,14,0,122,954,0,0,0,523,1018,18,6,0,5,1,0,0,739,16,0,11,0,0,43,0,372,2,4,0,12,42,0,0,0
Vogue1A.01.052,0,1,626,0,25,1,0,0,0,5670,579,27,73,0,1,0,92,1,460,90,0,2,0,0,6,2,39,2,20,1,0,1558,0,0,0
Vogue1A.01.053,0,0,14,0,26,1,0,0,6,1036,137,9,1,0,3932,1620,11664,1313,2,14,0,5,0,7,50,278,22,13,10,0,0,131,0,0,0
Vogue1A.01.054,0,1,0,0,4,0,0,0,7,257,76,0,2,0,6730,270,1121,1224,0,11,0,0,0,2,3,48,5,1,4,0,0,13,0,0,0
Vogue1A.01.055,0,30,13,20,20,0,0,0,1,37,8,1,0,0,164,13,1058,70,1,729,0,38,0,0,52,0,33,37,3,180,0,197,4,0,16
Vogue1A.01.057,0,8,1,0,5,1,0,0,2,57,811,1,0,0,1,4387,22,96,0,7,0,2,0,0,5,0,3,1,2,0,0,42,0,0,0
Vogue1A.01.059,0,0,228,0,9,431,0,0,0,60,18,5,29,0,1,0,3,1,174,9,0,2,0,0,1,0,19,1,3,0,294,234,0,0,0
Vogue1A.01.060,0,3,0,16,1,0,0,0,1,10,0,0,0,0,2183,166,10,68,0,18,0,0,1,4,3,0,1,0,1,0,2,1,0,0,0
Vogue1A.01.061,0,0,0,1,5,0,0,0,3,134,15,1,0,0,4450,702,2320,1096,0,14,0,1,0,2,12,142,0,1,8,0,0,1,0,0,0
Vogue1A.01.062,0,5,90,0,22,0,0,0,2,336,2910,3499,0,0,15,662,188,2273,0,34,0,14,0,1,30,18,30,0,5,2,0,122,0,0,0
Vogue1A.01.063,0,1,0,1,3,1,0,0,9,46,1,0,0,0,9484,1720,162,3094,0,177,8,656,0,12,18,32,65,13,16,76,0,18,0,0,0
Vogue1A.01.064,0,0,0,0,1,0,0,0,0,9,0,0,0,0,17,4,1061,34,2,2,0,0,0,0,3,53,0,4,2,0,0,0,0,0,0
Vogue1A.01.065,0,15,281,2,244,0,0,0,8,368,1777,2378,0,0,63,8,10,7,0,5,0,0,0,8,5,14,4,13,13,0,0,0,3,0,1
Vogue1A.01.066,0,5,0,45,0,0,0,0,1,22,3,0,0,0,5934,372,1053,212,0,2,0,2,0,3,10,24,0,0,3,0,0,0,0,0,0
Vogue1A.01.067,0,0,1,0,8,0,0,0,0,6,43,28,0,0,1936,113,4,24,0,1,0,0,0,3,1,2,0,1,2,0,0,1,0,0,0
Vogue1A.01.068,0,0,0,0,0,0,0,0,6,99,15,6,0,0,81,302,285,21101,7,18,1,0,0,0,1,78,1,5,14,0,0,1,1,0,0
Vogue1A.01.069,0,369,0,3332,2,0,0,0,0,9,10,0,0,0,0,0,0,0,0,14,0,1,26,0,3,0,0,4,10,0,0,1,1,0,0
Vogue1A.01.070,0,0,0,0,20,0,0,0,0,21,2,0,0,0,8,504,1606,1552,0,319,2,1,0,0,13,58,0,2,7,4,0,45,0,0,1
Vogue1A.01.071,0,3,100,0,121,0,0,0,0,65,8190,153,8,0,95,5,3,0,3406,330,0,0,0,0,2,0,2142,0,2,0,0,877,0,0,0
Vogue1A.01.072,0,0,0,0,0,0,0,0,0,44,2,0,0,0,21568,672,55,183,0,39,0,0,0,29,17,0,0,8,7,0,0,0,1,0,0
Vogue1A.01.073,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4465,173,1710,28,0,8,0,0,0,3,11,15,0,1,1,0,0,1,0,0,0
Vogue1A.01.074,0,1,2,4,1,1,0,0,5,215,93,64,0,0,581,712,15112,1388,0,24,0,6,0,2,67,56,1,97,89,0,2,0,4,0,0
Vogue1A.01.075,0,3,159,0,8,104,0,0,0,972,511,150,40,0,1,0,25,0,223,6,0,0,0,0,6,0,2,0,4,0,41,12,0,0,0
Vogue1A.01.076,0,1,0,31,4,0,0,0,3,15,0,1,0,0,5,696,3886,0,0,85,0,34,0,1,23,27,19,35,1,6,0,23,7,0,4
Vogue1A.01.077,0,0,0,0,0,0,0,0,1,9,12,0,0,0,1374,205,64,304,0,0,0,0,0,1,3,23,0,0,2,0,0,2,0,0,0
Vogue1A.01.078,0,0,0,0,0,0,0,0,1,23,0,0,0,0,578,42,162,24,0,36,1,4,0,1,2,2,0,53,0,0,0,5,16,0,4
Vogue1A.01.079,0,0,0,0,0,0,0,0,0,61,4,0,0,0,3641,67,0,30,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Vogue1A.01.080,0,0,0,1,0,0,0,0,0,14,0,0,0,0,10427,352,8,353,0,93,0,3,0,6,1,4,0,128,6,0,0,0,41,0,4
Vogue1A.01.081,0,0,0,0,0,0,0,0,0,15,2,0,0,0,20,16,1026,91,0,8,0,0,0,0,4,3,4,4,1,0,0,2,0,0,0
Vogue1A.01.082,0,0,0,0,0,0,0,0,0,8,1,0,0,0,9329,27,34,12,0,14,0,0,0,5,1,1,1,1,5,0,0,0,0,0,4
Vogue1A.01.083,0,0,0,0,2,0,0,0,3,4,228,116,0,0,14,2797,5,0,22,7,0,0,1,0,1,0,11,0,1,0,0,2,0,0,0
Vogue1A.01.084,0,6,0,938,0,0,0,0,0,34,8,0,0,0,10,707,0,0,0,13,0,0,3,0,0,0,1,3,0,0,0,22,0,0,0
Vogue1A.01.085,0,0,0,0,0,0,0,0,2,11,7,3,0,0,13823,89,1786,37,1,20,0,1,0,3,1,5,3,14,15,0,0,0,9,0,13
Vogue1A.01.086,0,0,1,0,1,0,0,0,2,0,0,0,0,0,13,5,7,0,0,31,0,2,0,0,7,0,2,68,33,7,0,0,2,0,6
Vogue1A.01.087,0,1,0,0,0,1,0,0,2,63,4,0,0,0,38,928,5724,7077,1,12,1,5,0,0,20,81,3,22,38,0,0,0,6,0,6
Vogue1A.01.088,0,0,0,1,0,0,0,0,3,22,1,0,1,0,9,1822,9362,1,0,6,0,1,0,0,30,0,2,1,6,0,0,0,0,0,0
Vogue1A.01.089,0,0,0,0,0,0,0,0,1,13,0,0,0,0,8927,219,13,405,0,10,0,2,0,5,15,17,0,11,6,0,0,0,1,0,2
Vogue1A.01.090,0,0,0,1,0,0,0,0,0,31,19,0,0,0,23102,271,414,64,0,10,0,0,0,11,7,102,0,4,9,0,0,2,1,0,0
Vogue1A.01.091,0,0,18,3,2,0,0,0,13,155,4,4,0,0,43,11419,10907,3,0,134,15,15,0,0,39,21,431,50,12,1,0,94,0,0,3
Vogue1A.01.092,0,0,0,0,1,0,0,0,0,49,0,0,0,0,24372,994,121,149,0,21,0,7,0,14,18,89,1,8,14,0,0,0,0,0,0
Vogue1A.01.093,0,0,0,0,0,0,0,0,0,3633,185,0,0,0,35,2935,4,1,0,0,0,0,0,0,2,21,0,0,4,0,0,0,0,0,0
Vogue1A.01.094,0,0,0,0,0,0,0,0,1,12,0,0,0,0,8464,198,20,159,0,4,0,0,0,3,1,3,0,1,2,0,0,0,0,0,0
Vogue1A.01.095,0,0,0,0,0,0,0,0,3,11,0,0,0,0,5887,41,3,13,0,5,0,2,0,6,1,0,0,0,8,0,0,0,0,0,0
Vogue1A.01.096,0,0,1,0,1,0,0,0,2,34,0,0,0,0,11,165,41,4563,0,2,0,2,0,0,0,14,0,1,8,2,0,1,1,0,0
Vogue1A.01.097,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6733,40,7,12,0,2,0,0,0,2,4,0,2,0,4,0,0,0,0,0,0
Vogue1A.01.098,0,0,1,1,1,0,0,0,13,78,5,2,0,0,2965,600,2586,10463,0,10,0,2,0,2,9,106,4,0,20,0,0,10,0,0,1
Vogue1A.01.099,0,0,0,0,0,0,0,0,2,6,1,0,0,0,1178,10,16,61,0,3,0,1,0,1,1,5,0,0,1,0,0,2,0,0,0
Vogue1A.01.100,0,0,1,0,0,0,0,0,1,6,0,0,0,0,5124,30,0,8,1,1,0,0,0,5,0,1,0,0,3,0,0,0,0,0,0
Vogue1A.01.101,0,0,0,0,0,0,0,0,0,1284,16,0,4,0,72,0,1,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Vogue1A.01.102,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2932,6,9,11,0,1,0,1,0,2,1,11,0,1,5,0,0,2,0,0,0
Vogue1A.01.103,0,0,48,10,8,25,29,0,4,17,76,0,1,0,21,22,6360,7,4,21,7,30,0,3,24,3,110,156,1,4,1,36,25,0,22
Vogue1A.01.104,0,0,0,0,0,0,0,0,1,7,10,1,0,0,3226,23,22,80,4,36,0,59,0,1,49,0,16,100,8,0,0,22,1,0,10
Vogue1A.01.105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1473,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Vogue1A.01.106,0,0,0,0,0,0,0,0,0,6,9,7,0,0,72,45,789,838,3,696,0,11,0,0,21,2,2,1443,15,0,0,2,64,0,15
Vogue1A.01.107,0,0,0,0,1,1,1,0,4,18,8,2,0,0,22728,55,4,51,5,8,3,7,0,7,24,0,2,28,8,0,0,1,0,0,1
Vogue1A.01.108,0,9,0,0,662,0,0,0,1,92,3808,2551,0,0,32,12,98,276,0,622,0,1,0,0,1081,3,583,26,3,0,0,0,0,0,5
Vogue1A.01.109,0,0,3,0,11,0,0,0,2,11,10,0,0,0,142,11,2140,8,2,24,3,32,2,0,8,1,20,42,9,53,2,111,0,0,4
Vogue1A.01.110,0,0,0,0,1,0,4,0,2,17,22,5,0,0,29,68,92,3014,12,16,0,1,0,0,10,15,15,253,5,0,0,0,0,0,9
Vogue1A.01.111,0,1,0,13,0,0,0,0,83,565,424,10,2,0,54,1916,8580,11949,1541,50,0,6,0,1,320,2477,103,993,200,138,0,170,2,0,77
Vogue1A.01.112,0,0,0,0,1,0,79,0,0,2,0,0,0,0,1864,22,40,40,2,32,16,150,0,6,392,23,151,71,30,0,0,0,7,3,0
Vogue1A.01.113,0,0,0,3,0,0,5,0,2,5,4,3,0,0,9152,24,8,55,15,55,0,35,0,16,14,2,12,89,12,0,2,0,28,0,37
Vogue1A.01.114,0,0,0,0,244,381,3,0,39,88,528,40,1,0,21986,72,525,80,372,119,2,48,0,9,66,82,154,829,16,0,0,0,15,1,2
Vogue1A.01.115,0,3,0,0,4,0,0,0,71,150,494,18,0,0,281,831,5440,25759,52,172,111,10,0,0,215,105,55,1629,33,0,0,1,525,0,38
Vogue1A.01.116,0,1,34,26,10,0,0,0,8,19,405,9,0,0,3,3,8575,0,158,4,31,96,0,1,25,17,13,121,4,0,0,80,0,0,3
Vogue1A.01.117,0,9,1,0,0,1,0,0,2,13,2,0,0,0,10644,26,0,23,0,3,0,0,0,2,15,96,0,30,7,0,0,0,4,0,1
Vogue1A.01.118,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1683,6,82,22,3,0,0,0,0,2,7,2,0,76,0,0,0,0,17,0,3
Vogue1A.01.119,0,7,1183,0,78,3949,0,0,0,330,4517,48,38,0,16,4,13,0,1505,113,0,15,0,0,109,0,73,132,13,0,482,203,18,0,11
Vogue1A.01.120,0,0,0,0,0,0,0,0,4,531,11,0,2,0,10,2,6382,2,0,4,11,5,0,0,11,0,52,24,102,0,0,0,6,0,0
Vogue1A.01.121,0,1,6,0,10,26,0,0,6,63,525,11,0,0,24,3997,33,0,99,9,0,0,0,0,2,1,30,8,6,0,2,82,0,0,10
Vogue1A.01.122,0,6,83,21,87,2,1,0,15,72,3098,396,2,0,11,5,4684,75,1179,254,12,2,0,0,75,0,111,32,3,0,0,460,2,0,0
Vogue1A.01.123,0,0,9,0,4,14,44,0,96,49,92,8,0,0,22847,64,3658,310,22,302,1,21,1,29,119,87,5,127,18,0,1,9,8,0,7
Vogue1A.01.124,0,0,1,0,0,0,0,0,9,4,0,0,0,0,16,2465,148,0,0,3,0,0,0,0,13,6,2,2,1,0,0,0,0,0,0
Vogue1A.01.125,0,0,12,0,2,56,0,0,23,19,53,0,0,0,9678,103,1079,1680,15,28,0,65,0,4,127,11,2,620,11,0,8,6,46,0,1
Vogue1A.01.126,0,0,3,0,50,0,0,0,17,33,21,8,0,0,4908,37,6347,72,6,32,0,47,3,2,16,10,17,1,7,36,4,377,0,0,0
Vogue1A.01.127,0,0,0,0,0,1,0,0,2,5,1,1,0,0,4346,16,104,121,2,4,0,3,0,3,19,6,4,24,3,0,0,0,3,0,0
Vogue1A.01.128,0,0,70,8,0,1,113,0,31,36,109,11,0,0,7395,144,274,122,197,96,113,128,0,6,8,6,126,148,7,0,0,29,6,0,16
Vogue1A.01.129,0,0,1,0,0,5,155,0,8,2,5,1,0,0,55,85,67,4,1,623,27,1150,1,65,1074,1,316,2286,3,0,0,0,57,0,398
Vogue1A.01.130,0,0,0,0,1,0,4,0,1,2,142,2,0,0,531,11,54,291,1,8,3,4,1,1,9,5,1,8,4,0,0,0,1,0,0
Vogue1A.01.131,0,0,7,4,31,3,0,0,1,10,127,9,0,0,25,299,5,0,36,48,0,0,1073,0,2,0,160,8,3,0,8,24,0,0,0
Vogue1A.01.132,0,0,1,0,0,3,0,0,17,139,41,21,0,0,11602,59,250,17,12,47,41,11,0,7,86,10,9,304,41,0,1,0,29,0,5
Vogue1A.01.133,0,9,0,0,1,1,1,0,1,479,14320,7,0,0,27,3,6,13,0,240,42,14,0,0,42,0,0,391,22,0,0,0,114,0,5
Vogue1A.01.134,0,0,1,0,0,6,0,0,4,24,11,2,0,0,1649,48,23,42,3,29,1,28,0,11,20,0,11,94,5,0,0,1,0,0,7
Vogue1A.01.135,0,0,0,0,0,3,0,0,9,29,10,1,0,0,16574,55,48,284,1,30,1,2,0,15,22,0,2,58,8,0,2,0,1,0,5
Vogue1A.01.136,0,0,22,4,114,3,0,0,0,462,3262,123,7,0,13,1,26,0,20,32,0,0,0,2,47,0,35,2,5,0,1935,16,0,0,0
Vogue1A.01.137,0,1,0,0,0,0,10,0,0,1,5,27,0,0,1040,9,99,35,0,3,0,5,0,2,8,5,9,5,4,0,0,0,0,0,0
Vogue1A.01.138,0,0,181,1,0,0,0,0,0,60,3270,3,0,0,11,0,3,14,2,0,0,2,0,0,5,0,0,6,100,0,0,0,0,0,0
Vogue1A.01.139,0,0,1,0,0,0,17,0,17,36,861,48,0,0,3881,214,2871,611,77,61,0,380,2,1,4,31,3,615,12,0,0,3,17,0,123
Vogue1A.01.140,0,0,20,0,1,1,0,0,6,41,1344,30,2,0,833,15,5,69,9,5,0,2,0,0,5,1,1,2,4,1,0,7,0,0,0
Vogue1A.01.141,0,0,15,1,1,1,0,0,11,24108,506,1,12,0,3276,74,686,348,2,20,0,3,0,1,9,1,2,18,20,0,0,1,0,0,0
Vogue1A.01.142,0,0,0,0,0,0,9,0,9,44,2,1,0,0,33914,96,16,63,4,9,0,0,0,17,10,8,0,9,12,0,0,0,2,0,0
Vogue1A.01.143,0,0,0,5,2,0,0,0,4,4,11,0,0,0,14,3,10,0,1,9,0,1,2219,0,341,4,0,23,4,0,0,0,0,0,0
Vogue1A.01.144,0,1,0,0,19,0,0,0,4,695,2945,61,0,0,242,22,1426,3,2,6,0,0,0,3,46,9,2,1,4,0,0,1,3,0,0
Vogue1A.01.145,0,1,52,2,8,0,0,0,1,0,6,0,0,0,2422,3,7,5,1,140,0,1,0,2,23,0,0,0,44,0,0,2,1,0,0
Vogue1A.01.146,0,0,1,0,0,1,0,0,6,6,27,0,0,0,9776,18,4,9,2,5,0,3,0,2,6,2,2,3,14,0,0,0,0,0,0
Vogue1A.01.147,0,0,1,0,4,0,0,0,10,24,1,0,0,0,13558,131,2520,1680,3,52,0,4,0,5,5,24,5,4,9,2,0,10,0,0,0
Vogue1A.01.148,0,0,7,1,23,0,0,0,20,75,37,1,0,0,25,317,4930,13763,24,14,0,41,0,0,25,31,21,1,8,7,0,11,2,0,2
Vogue1A.01.149,0,1,141,0,44,0,0,0,0,4833,657,17,0,0,3,0,90,0,1518,29,0,0,0,0,67,0,1,0,2,0,0,299,0,0,0
Vogue1A.01.150,0,0,3,0,0,0,1,0,1,43,5,0,0,0,1975,14,2,37,11,1,0,0,0,0,1,7,0,0,0,0,0,3,0,0,0
Vogue1A.01.151,0,0,6703,0,0,0,0,0,6,6,0,1,0,0,5,0,4,1,1,16,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0
Vogue1A.01.152,0,0,4,0,0,0,0,0,1,3,2,0,0,0,5776,16,6,33,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Vogue1A.01.154,0,1,2,0,1,0,0,0,37,19,3,0,0,0,132,7,13098,43,0,4,0,0,0,0,4,1,0,0,3,0,0,0,0,0,4
Vogue1A.01.155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1339,4,6,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Vogue1A.01.156,0,0,88,0,0,0,0,0,11,7,3,0,0,0,6214,9,15,13,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Vogue1A.01.157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1673,6,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Vogue1A.01.158,0,0,1,0,0,0,0,0,3,19,45,1,0,0,67,22,4709,1092,31,24,1,1,0,3,6,35,14,3,4,0,0,7,0,0,5
Vogue1A.01.159,0,0,0,0,1,0,0,0,1,17,2,0,0,0,27,354,8125,1158,0,1,0,1,0,0,5,17,0,0,4,0,0,0,0,0,0
Vogue1A.01.160,0,0,0,0,0,0,0,0,0,5,63,0,0,0,14,17,830,2,1,4,0,0,0,1,1,0,0,0,2,0,0,1,4,0,0
Vogue1A.01.161,0,0,0,0,0,0,0,0,4,24,1,0,0,0,20640,310,12,135,2,10,0,1,0,3,5,10,0,6,3,0,0,2,1,0,0
Vogue1A.01.162,0,0,0,0,0,0,0,0,0,26,6,0,0,0,3703,310,52,2342,0,2,0,1,0,2,4,17,0,2,4,0,0,0,0,0,0
Vogue1A.01.163,0,0,0,0,0,0,1,0,1,10,8,5,0,0,13018,198,2895,19,0,5,0,0,0,2,5,35,0,1,8,0,0,0,0,0,0
Vogue1A.01.164,0,158,0,1007,12,0,0,0,5,25,1,0,0,0,671,3255,4,36,1,10,0,0,2,4,5,6,0,0,319,0,0,3,0,0,0
