Simple name	Group	Total Frequency	Vogue1B2-01-07	Vogue1B2-01-09	Vogue1B2-01-23	Vogue1B2-01-21	Vogue1B2-01-05	Vogue1B2-01-04	Vogue1B2-01-15	Vogue1B2-01-20	Vogue1B2-01-14	Vogue1B2-01-28	Vogue1B2-01-12	Vogue1B2-01-01	Vogue1B2-01-16	Vogue1B2-01-13	Vogue1B2-01-11	Vogue1B2-01-29	Vogue1B2-01-06	Vogue1B2-01-03	Vogue1B2-01-10	Vogue1B2-01-24	Vogue1B2-01-08	Vogue1B2-01-19
Facklamia hominis	Firm/Bacilli	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Lactobacillus delbrueckii	Firm/Bacilli	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Mobiluncus curtsii	actinobac	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0
Mobiluncus mulieris	actinobac	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Peptoniphilus harei	Other Clostridium	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
Polynucleobacter necessarius	Proteobac	5	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Porphyromonas gingivicanis	Bacteroidetes	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
Acinetobacter pittii	Other Proteobacteria	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Arcanobacterium haemolyticum	actinobac	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Agrobacterium tumefaciens	Proteobac	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium bifidum	Actinobac	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Clostridium sticklandii	Firm/Clos	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Rhodoferax ferrireducens	Proteobac	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Streptococcus salivarius	Streptococcus	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Enterococcus faecalis	Other Firmicutes	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella haemolysans	Firm/Bacilli	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Facklamia hominis	Firm/neg	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus epidermidis	Firm/Bacilli	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Thermoanaerobacter thermocopriae	Firm/Clos	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
