Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.07,Vogue1B2.01.09,Vogue1B2.01.23,Vogue1B2.01.21,Vogue1B2.01.05,Vogue1B2.01.04,Vogue1B2.01.15,Vogue1B2.01.20,Vogue1B2.01.14,Vogue1B2.01.28,Vogue1B2.01.12,Vogue1B2.01.01,Vogue1B2.01.16,Vogue1B2.01.13,Vogue1B2.01.11,Vogue1B2.01.29,Vogue1B2.01.06,Vogue1B2.01.03,Vogue1B2.01.10,Vogue1B2.01.24,Vogue1B2.01.08,Vogue1B2.01.19
Other Clostridium,336,21,1,17,73,44,18,44,15,24,32,10,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
Other Firmicutes,905,96,22,4,51,9,8,22,21,0,553,11,2,0,2,1,1,0,0,4,0,0,2,8,0,0,0,0,14,17,0,32,15,10,0
Other Lactobacillus,295,1,8,17,13,57,19,5,31,2,12,39,5,0,56,0,0,0,0,0,0,0,2,2,5,5,11,0,0,0,2,0,0,3,0
Other Prevotella,1321,83,2,0,1,1,30,957,0,26,36,1,17,0,0,0,8,3,0,0,0,5,2,69,0,2,0,1,29,1,0,0,41,6,0
Other Proteobacteria,158,5,1,5,3,7,13,3,2,0,13,2,19,0,15,0,2,2,1,7,0,11,2,0,2,8,14,0,2,15,0,0,3,1,0
Other Streptococcus,415,0,0,0,294,0,1,2,0,0,0,0,1,0,2,1,0,10,0,0,0,4,0,2,0,0,5,0,0,66,0,1,0,26,0
Porphyromonas uenonis,155,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,49,2,1,1,0,1,3,0,9,1,11,42,0,0,1,29,2,0
Prevotella amnii,3651,2,0,1,2,1,1,0,0,0,0,1,3602,3,0,0,18,4,1,4,0,2,0,0,1,0,0,0,8,0,0,0,0,0,0
Prevotella timonensis,3487,681,0,0,0,4,8,2330,2,37,7,0,1,2,4,0,23,13,0,1,0,3,15,2,1,24,0,7,94,1,0,1,103,123,0
Streptococcus devriesei,325,2,8,23,35,51,41,15,35,21,39,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
