Closest hit header,Kingdom,Phylum,Class,Order,Family,Genus,Simple names,Total reads,Percent of dataset,Vogue1A-01-003,Vogue1A-01-004,Vogue1A-01-005,Vogue1A-01-006,Vogue1A-01-007,Vogue1A-01-008,Vogue1A-01-009,Vogue1A-01-010,Vogue1A-01-011,Vogue1A-01-012,Vogue1A-01-013,Vogue1A-01-014,Vogue1A-01-015,Vogue1A-01-016,Vogue1A-01-017,Vogue1A-01-018,Vogue1A-01-019,Vogue1A-01-020,Vogue1A-01-021,Vogue1A-01-022,Vogue1A-01-023,Vogue1A-01-024,Vogue1A-01-025,Vogue1A-01-026,Vogue1A-01-027,Vogue1A-01-028,Vogue1A-01-029,Vogue1A-01-030,Vogue1A-01-031,Vogue1A-01-032,Vogue1A-01-033,Vogue1A-01-034,Vogue1A-01-035,Vogue1A-01-036,Vogue1A-01-037,Vogue1A-01-038,Vogue1A-01-039,Vogue1A-01-040,Vogue1A-01-041,Vogue1A-01-042,Vogue1A-01-043,Vogue1A-01-044,Vogue1A-01-045,Vogue1A-01-046,Vogue1A-01-047,Vogue1A-01-048,Vogue1A-01-049,Vogue1A-01-050,Vogue1A-01-051,Vogue1A-01-052,Vogue1A-01-053,Vogue1A-01-054,Vogue1A-01-055,Vogue1A-01-057,Vogue1A-01-059,Vogue1A-01-060,Vogue1A-01-061,Vogue1A-01-062,Vogue1A-01-063,Vogue1A-01-064,Vogue1A-01-065,Vogue1A-01-066,Vogue1A-01-067,Vogue1A-01-068,Vogue1A-01-069,Vogue1A-01-070,Vogue1A-01-071,Vogue1A-01-072,Vogue1A-01-073,Vogue1A-01-074,Vogue1A-01-075,Vogue1A-01-076,Vogue1A-01-077,Vogue1A-01-078,Vogue1A-01-079,Vogue1A-01-080,Vogue1A-01-081,Vogue1A-01-082,Vogue1A-01-083,Vogue1A-01-084,Vogue1A-01-085,Vogue1A-01-086,Vogue1A-01-087,Vogue1A-01-088,Vogue1A-01-089,Vogue1A-01-090,Vogue1A-01-091,Vogue1A-01-092,Vogue1A-01-093,Vogue1A-01-094,Vogue1A-01-095,Vogue1A-01-096,Vogue1A-01-097,Vogue1A-01-098,Vogue1A-01-099,Vogue1A-01-100,Vogue1A-01-101,Vogue1A-01-102,Vogue1A-01-103,Vogue1A-01-104,Vogue1A-01-105,Vogue1A-01-106,Vogue1A-01-107,Vogue1A-01-108,Vogue1A-01-109,Vogue1A-01-110,Vogue1A-01-111,Vogue1A-01-112,Vogue1A-01-113,Vogue1A-01-114,Vogue1A-01-115,Vogue1A-01-116,Vogue1A-01-117,Vogue1A-01-118,Vogue1A-01-119,Vogue1A-01-120,Vogue1A-01-121,Vogue1A-01-122,Vogue1A-01-123,Vogue1A-01-124,Vogue1A-01-125,Vogue1A-01-126,Vogue1A-01-127,Vogue1A-01-128,Vogue1A-01-129,Vogue1A-01-130,Vogue1A-01-131,Vogue1A-01-132,Vogue1A-01-133,Vogue1A-01-134,Vogue1A-01-135,Vogue1A-01-136,Vogue1A-01-137,Vogue1A-01-138,Vogue1A-01-139,Vogue1A-01-140,Vogue1A-01-141,Vogue1A-01-142,Vogue1A-01-143,Vogue1A-01-144,Vogue1A-01-145,Vogue1A-01-146,Vogue1A-01-147,Vogue1A-01-148,Vogue1A-01-149,Vogue1A-01-150,Vogue1A-01-151,Vogue1A-01-152,Vogue1A-01-154,Vogue1A-01-155,Vogue1A-01-156,Vogue1A-01-157,Vogue1A-01-158,Vogue1A-01-159,Vogue1A-01-160,Vogue1A-01-161,Vogue1A-01-162,Vogue1A-01-163,Vogue1A-01-164,Vogue1A-01-166,Vogue1A-01-167,Vogue1A-01-168,Vogue1A-01-169,Vogue1A-01-170,Vogue1A-01-171,Vogue1A-01-172,Vogue1A-01-173,Vogue1A-01-174,Vogue1A-01-175,Vogue1A-01-176,Vogue1A-01-177,Vogue1A-01-179,Vogue1A-01-180,Vogue1A-01-181,Vogue1A-01-183,Vogue1A-01-184,Vogue1A-01-185,Vogue1A-01-186,Vogue1A-01-187,Vogue1A-01-188,Vogue1A-01-189,Vogue1A-01-190,Vogue1A-01-191,Vogue1A-01-192,Vogue1A-01-193,Vogue1A-01-194,Vogue1A-01-195,Vogue1A-01-196,Vogue1A-01-197,Vogue1A-01-198,Vogue1A-01-199,Vogue1A-01-200,Vogue1A-01-201,Vogue1A-01-202,Vogue1A-01-203,Vogue1A-01-204,Vogue1A-01-205,Vogue1A-01-206,Vogue1A-01-207,Vogue1A-01-208,Vogue1A-01-209,Vogue1A-01-210,Vogue1A-01-211,Vogue1A-01-212,Vogue1A-01-213,Vogue1A-01-214,Vogue1A-01-215,Vogue1A-01-216,Vogue1A-01-217,Vogue1A-01-218,Vogue1A-01-219,Vogue1A-01-220,Vogue1A-01-221,Vogue1A-01-222,Vogue1A-01-223,Vogue1A-01-224,Vogue1A-01-225,Vogue1A-01-226,Vogue1A-01-227,Vogue1A-01-228,Vogue1A-01-229,Vogue1A-01-230,Vogue1A-01-231,Vogue1A-01-232,Vogue1A-01-233,Vogue1A-01-234,Vogue1A-01-235,Vogue1A-01-236,Vogue1A-01-237,Vogue1A-01-238,Vogue1A-01-239,Vogue1A-01-240,Vogue1A-01-241,Vogue1A-01-242,Vogue1A-01-243,Vogue1A-01-244,Vogue1A-01-245,Vogue1A-01-246,Vogue1A-01-247,Vogue1A-01-248,Vogue1A-01-249,Vogue1A-01-250,Vogue1A-01-251,Vogue1A-01-252,Vogue1A-01-253,Vogue1A-01-254,Vogue1A-01-255,Vogue1A-01-256,Vogue1A-01-257,Vogue1A-01-258,Vogue1A-01-259,Vogue1A-01-260,Vogue1A-01-261,Vogue1A-01-262,Vogue1A-01-263,Vogue1A-01-264,Vogue1A-01-265,Vogue1A-01-266,Vogue1A-01-267,Vogue1A-01-268,Vogue1A-01-269,Vogue1A-01-270,Vogue1A-01-271,Vogue1A-01-272,Vogue1A-01-273,Vogue1A-01-274,Vogue1A-01-275,Vogue1A-01-276,Vogue1A-01-277,Vogue1A-01-278,Vogue1A-01-279,Vogue1A-01-280,Vogue1A-01-281,Vogue1A-01-282,Vogue1A-01-283,Vogue1A-01-284,Vogue1A-01-285,Vogue1A-01-286,Vogue1A-01-287,Vogue1A-01-288,Vogue1A-01-289,Vogue1A-01-290,Vogue1A-01-291,Vogue1A-01-292,Vogue1A-01-293,Vogue1A-01-294,Vogue1A-01-295,Vogue1A-01-296,Vogue1A-01-297,Vogue1A-01-298,Vogue1A-01-300,Vogue1A-01-301,Vogue1A-01-302,Vogue1A-01-303,Vogue1A-01-304,Vogue1A-01-305,Vogue1A-01-306,Vogue1A-01-307,Vogue1A-01-308,Vogue1A-01-309,Vogue1A-01-310,Vogue1A-01-311,Vogue1A-01-312,Vogue1A-01-313,Vogue1A-01-314,Vogue1A-01-316,Vogue1A-01-317,Vogue1A-01-318,Vogue1A-01-319,Vogue1A-01-320
b1446 NC_000962 Mycobacterium tuberculosis H37Rv ,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,753,0.025,5,0,39,6,5,0,3,1,0,0,10,0,0,0,5,0,0,0,2,0,39,20,88,13,0,0,0,2,0,1,2,0,0,13,2,141,0,2,1,0,0,1,1,7,0,1,0,0,3,0,0,1,9,0,0,0,0,6,58,0,1,1,0,0,1,3,0,4,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,3,0,60,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,2,0,0,1,2,2,1,0,0,0,8,0,0,3,1,1,1,5,0,1,0,0,0,1,0,0,2,0,1,0,0,2,4,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,4,0,1,2,0,0,0,4,1,0,0,0,0,0,0,1,0,3,0,3,1,0,0,0,0,14,1,1,0,0,1,2,0,0,1,4,0,1,1,0,0,0,2,1,0,1,3,8,4,0,0,0,1,1,0,0,6,1,1,0,1,0,2,1,7,0,0,1,0,5,0,0,0,0,2,0,1,3,0,0,2,1,5,0,1,2,1,0,1,0
b12705 NZ_ABZV01000014 Capnocytophaga sputigena Capno ,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,744,0.024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,1,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b17619 AB547604 Prevotella disiens JCM 6334,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella disiens,739,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,274,2,1,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,1,0,0,0,4,0,2,0,246,0,1,0,0,0
b17491 ACLJ02000001 Corynebacterium genitalium ATCC 33030,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium genitalium,725,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,19,0,27,1,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0,0,0,1,0,2,181,0,12,0,0,0,31,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,63,0,0,2,0,0,0,0,0,0,3,0,0,0,0,25,0,240,5,0,5,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
b6800 AY691239 Clostridium saccharoperbutylacetonicum ATCC 27021,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saccharoperbutylacetonicum,716,0.023,13,0,1,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,1,20,14,0,5,7,10,0,5,1,0,0,32,0,8,1,12,1,2,0,0,0,12,0,0,1,0,0,0,7,2,0,0,0,4,2,0,9,0,0,3,2,0,0,0,0,29,2,1,0,1,1,1,0,6,0,5,0,0,3,0,0,0,5,11,0,13,0,3,6,0,2,2,1,5,0,2,2,1,0,0,7,0,0,0,1,1,4,9,0,1,2,2,0,0,0,0,29,0,4,2,3,1,0,1,0,7,0,1,11,0,0,0,1,0,1,16,0,0,2,2,5,0,0,0,0,2,0,1,0,1,1,0,1,3,2,2,4,0,0,0,3,11,0,3,0,0,0,2,2,0,0,0,0,4,0,4,0,0,0,0,1,4,2,2,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,1,1,1,5,0,0,0,2,0,0,0,0,5,0,0,3,3,1,1,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,3,0,0,0,0,0,4,1,1,7,0,0,0,3,0,1,6,0,1,0,0,0,0,2,0,0,0,7,7,36,6,0,4,10,10,14,0,6,0,0,0,2,2,1,6,0,1,14,4,0,0,0,0,0,7,2,0,0,1,7,1
b9132 NC_007952 Burkholderia xenovorans LB400 ,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia xenovorans,690,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,7,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,2,0,109,13,1,11,25,0,0,4,19,0,134,0,5,0,49,0,0,1,0,1,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,144,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
b3408 AY123666 Moraxella osloensis ATCC 19976,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella osloensis,683,0.022,0,9,47,0,0,0,0,0,0,0,13,0,46,1,0,4,1,0,0,0,15,1,59,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,138,0,0,0,9,0,0,0,31,0,0,1,0,0,0,1,1,3,0,32,0,1,3,140,2,0,29,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,6,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b13762 NZ_ACKW01000052 Mobiluncus mulieris ATCC 35243,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus mulieris,674,0.022,0,138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b14505 NZ_ACCL02000002 Marvinbryantia formatexigens DSM 14469,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,670,0.022,0,38,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,211,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b19539 CP003040 Roseburia hominis A2-183 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia hominis,667,0.022,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,469,46,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,1,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6841 AY691280 Prevotella denticola ATCC 35308,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,651,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,8,0,11,78,1,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,0,1,1,0,0,32,0,1,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6768 AY691207 Atopobium minutum ATCC 33267,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium minutum,624,0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,502,0,9,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b17663 AB547561 Barnesiella viscericola JCM 13660,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella,Barnesiella viscericola,611,0.020,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,0,0,75,2,11,0,0,0,0,3,0,0,0,8,0,1,0,0,21,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b18093 AECU01000014 Faecalibacterium cf. prausnitzii KLE1255 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium cf. prausnitzii,599,0.020,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,441,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,77,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
