Variables	Estimate	OddsRatio
Clostridia.sp..BVAB2	-0.01	0.992160887
Clostridium.genomosp..BVAB3	-0.01	0.992370255
Escherichia.coli	0.00	0.995791879
Gardnerella.vaginalis.Group.A	0.00	1.000033471
Gardnerella.vaginalis.Group.B	0.23	1.254453475
Gardnerella.vaginalis.Group.C	0.00	1.000391577
Gardnerella.vaginalis.Group.D	0.08	1.084642023
Klebsiella.pneumoniae	-0.01	0.992966849
Lactobacillus.crispatus	0.00	0.999183533
Lactobacillus.gasseri	-0.14	0.866147553
Lactobacillus.iners	0.00	1.000334156
Lactobacillus.jensenii	0.02	1.017542086
Megasphaera.sp..genomosp..type.1	0.00	1.004694987
Other.Actinobacteria	0.01	1.007243105
Other.Bacteria	-17.28	3.1383E-08
Other.Bacteroidetes	-0.02	0.981817336
Other.Clostridium	-15.66	1.57475E-07
Other.Firmicutes	0.00	0.998833681
Other.Lactobacillus	-0.06	0.941312595
Other.Prevotella	-0.02	0.981542466
Other.Proteobacteria	-0.33	0.71555272
Other.Streptococcus	0.04	1.044428661
Prevotella.amnii	-15.34	2.16863E-07
Prevotella.timonensis	0.002105	1.002107217
Streptococcus.devriesei	-8.08	0.000309052
How.often.pain.experienced.during.vaginal.intercourse.percentage	-0.80	0.450318576
Contraception.cat2	0.00	1
Contraception.cat3	20.47	776261495.4
Contraception.cat4	0.00	1
Contraception.cat5	0.00	1
Contraception.cat6	0.00	1
Presence.Symptoms.2wks1	16.79	19579624.16
Abnormal.discharge.2wks1	18.17	77827079.96
Abnormal.odor.2wks1	-16.93	4.45346E-08
Irritation.Discomfort.2wks1	-19.96	2.15172E-09
Other.Symptoms.2wks1	-16.86	4.7716E-08
Presence.Symptoms.48hrs1	-20.18	1.72162E-09
Abnormal.discharge.48hrs1	18.487	106856780.9
Abnormal.odor.48hrs1	-16.858	4.7716E-08
Irritation.Discomfort.48hrs1	-18.77	7.02353E-09
Other.Symptoms.48hrs1	-16.93	4.45346E-08
Preg.livebirth.ever1	18.49	107177832.6
Chlamydia.ever1	-16.86	4.7716E-08
Gonorrhea.ever	NA	NA
Bac.STI.ever1	-16.86	4.7716E-08
Herpes.ever1	-16.79	5.09205E-08
Genwarts.ever1	-16.86	4.7716E-08
any.sx.pain1	-18.62	8.19288E-09
sx.pain.50.over1	-18.49	9.35832E-09
sx.pain.1001	-18.08	1.4045E-08
contraception.H1	-16.93	4.45346E-08
contraception.S.S1	-16.79	5.09205E-08
contraception.S.P1	-15.68	1.55596E-07
contraception.B.M1	20.47	776261495.4
contraception.B.F1	NA	NA
contraception.C.IUD1	-15.68	1.55596E-07
HContr.Progestin.pill1	NA	NA
HContr.Combination.pill1	-16.79	5.09205E-08
HContr.nuvaring1	NA	NA
HContr.mirena1	-15.73	1.46975E-07
HContr.depoprovera1	NA	NA
HContr.orthoevra1	NA	NA
contr_type1	-16.86	4.7716E-08
contr_type2	NA	NA
contr_type3	-16.86	4.7716E-08
condoms.48h1	20.87	1158046071
probiotics.2.months1	-16.93	4.45346E-08
days.since.LMP	0.18	1.200454218
weeks.since.LMP	1.28	3.593044884
weeks.since.LMP.cat2	0.00	1
weeks.since.LMP.cat3	18.77	141810185.6
weeks.since.LMP.cat4	0.00	1
weeks.since.LMP.cat9	NA	NA
CST.cat2	0.00	1
CST.cat3	20.18	580848195.9
CST.cat4	0.00	1
CST.cat6	0.00	1
CST.cat7	0.00	1
Nugent.scorecat1	18.26	85156389.46
Nugent.scorecat2	0.00	1
