Bacterial Species	Total reads	1B2_01_26	1B2_01_35	1B2_01_37	1B2_01_38	1B2_01_50	1B2_01_52	1B2_01_56	1B2_01_58	1B2_01_61	1B2_01_62	1B2_01_63	1B2_01_64
Other Bacteroidetes	9	0	0	0	9	0	0	0	0	0	0	0	0
Other Prevotella	9	8	0	0	0	0	0	0	0	0	0	1	0
Clostridia sp. BVAB2	9	2	0	0	0	0	0	4	0	0	0	0	3
Other Clostridium	9	0	0	0	0	0	0	9	0	0	0	0	0
Atopobium vaginae	8	0	0	0	0	0	1	0	0	0	0	0	7
Other Prevotella	8	0	0	0	0	0	0	8	0	0	0	0	0
Clostridium genomosp. BVAB3	8	8	0	0	0	0	0	0	0	0	0	0	0
Other Proteobacteria	8	0	0	0	0	0	0	0	2	0	0	0	6
Other Streptococcus	8	0	0	0	8	0	0	0	0	0	0	0	0
Atopobium vaginae	7	0	0	0	0	0	2	0	0	0	0	0	5
Gardnerella vaginalis Group D	7	0	0	0	0	0	0	7	0	0	0	0	0
Lactobacillus gasseri	7	0	0	0	0	0	7	0	0	0	0	0	0
Other Actinobacteria	7	1	0	0	0	0	0	6	0	0	0	0	0
Gardnerella vaginalis Group C	6	0	1	3	0	0	0	0	0	0	2	0	0
Megasphaera sp. genomosp. type_1	6	6	0	0	0	0	0	0	0	0	0	0	0
Other Lactobacillus	6	0	0	0	0	1	0	0	0	0	0	5	0
Other Bacteroidetes	5	0	0	0	5	0	0	0	0	0	0	0	0
Other Clostridium	5	0	0	0	0	0	0	0	0	0	5	0	0
Other Clostridium	5	0	0	0	5	0	0	0	0	0	0	0	0
Other Firmicutes	5	0	0	0	5	0	0	0	0	0	0	0	0
Other Streptococcus	5	0	0	0	5	0	0	0	0	0	0	0	0
Lactobacillus crispatus	4	0	0	0	0	0	0	0	0	0	0	4	0
Lactobacillus crispatus	4	0	0	1	0	0	1	0	0	1	0	1	0
Eukaryote	4	1	0	0	0	0	0	0	0	0	3	0	0
Other Clostridium	4	0	0	0	0	0	4	0	0	0	0	0	0
Other Firmicutes	4	4	0	0	0	0	0	0	0	0	0	0	0
Other Streptococcus	4	0	0	0	4	0	0	0	0	0	0	0	0
Gardnerella vaginalis Group A	3	0	0	0	0	0	1	1	0	0	1	0	0
Gardnerella vaginalis Group D	3	0	0	0	0	0	0	3	0	0	0	0	0
Other Bacteroidetes	3	0	0	0	0	0	0	3	0	0	0	0	0
Other Prevotella	3	0	0	0	0	0	0	0	0	0	0	0	3
Other Firmicutes	3	0	0	0	3	0	0	0	0	0	0	0	0
Other Firmicutes	3	0	0	0	0	0	0	2	0	0	0	0	1
Other Firmicutes	3	0	0	0	3	0	0	0	0	0	0	0	0
Other Firmicutes	3	0	0	0	0	0	0	0	1	0	0	2	0
Other Streptococcus	3	0	0	0	3	0	0	0	0	0	0	0	0
Gardnerella vaginalis Group D	2	0	0	0	0	0	0	2	0	0	0	0	0
Lactobacillus crispatus	2	0	0	0	2	0	0	0	0	0	0	0	0
Lactobacillus gasseri	2	0	0	0	2	0	0	0	0	0	0	0	0
Other Actinobacteria	2	0	0	0	0	0	0	1	1	0	0	0	0
Alloscardovia omnicolens	2	0	0	0	0	0	2	0	0	0	0	0	0
Other Bacteria	2	0	0	0	0	0	0	2	0	0	0	0	0
Other Bacteroidetes	2	0	0	0	0	0	0	0	0	0	0	0	2
Other Prevotella	2	0	0	0	0	0	0	2	0	0	0	0	0
Other Firmicutes	2	2	0	0	0	0	0	0	0	0	0	0	0
Other Proteobacteria	2	0	0	1	1	0	0	0	0	0	0	0	0
Other Streptococcus	2	0	0	0	2	0	0	0	0	0	0	0	0
Other Streptococcus	2	0	0	0	2	0	0	0	0	0	0	0	0
Other Streptococcus	2	0	0	0	0	0	0	2	0	0	0	0	0
Atopobium vaginae	1	1	0	0	0	0	0	0	0	0	0	0	0
Atopobium vaginae	1	0	0	0	0	0	0	0	0	0	0	0	1
Atopobium vaginae	1	0	0	0	0	0	0	0	0	0	1	0	0
Gardnerella vaginalis Group A	1	0	0	0	0	0	0	0	0	0	0	0	1
Gardnerella vaginalis Group A	1	0	0	0	0	1	0	0	0	0	0	0	0
Porphyromonas uenonis	1	0	0	0	0	0	0	0	0	0	1	0	0
Megasphaera sp. genomosp. type_1	1	1	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus crispatus	1	0	0	0	0	0	0	0	1	0	0	0	0
Lactobacillus gasseri	1	0	0	0	1	0	0	0	0	0	0	0	0
Lactobacillus jensenii	1	0	0	0	0	0	0	0	0	0	0	1	0
Clostridia sp. BVAB2	1	1	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria sp.	1	0	0	0	0	0	1	0	0	0	0	0	0
Other Actinobacteria	1	0	0	0	0	0	0	0	1	0	0	0	0
Other Actinobacteria	1	0	0	0	0	0	0	1	0	0	0	0	0
Other Prevotella	1	0	0	0	0	0	0	0	0	0	1	0	0
Other Prevotella	1	0	0	0	0	0	0	0	0	0	0	0	1
Other Prevotella	1	0	0	0	0	0	0	1	0	0	0	0	0
Other Prevotella	1	0	0	0	0	0	0	0	0	0	0	0	1
Other Clostridium	1	0	0	0	0	0	0	0	0	1	0	0	0
Other Clostridium	1	0	0	0	0	0	0	1	0	0	0	0	0
Other Clostridium	1	0	0	0	0	0	0	1	0	0	0	0	0
Other Firmicutes	1	0	0	0	0	0	0	1	0	0	0	0	0
Other Firmicutes	1	0	0	0	1	0	0	0	0	0	0	0	0
Other Firmicutes	1	0	0	0	0	1	0	0	0	0	0	0	0
Other Lactobacillus	1	0	0	0	1	0	0	0	0	0	0	0	0
Other Proteobacteria	1	0	0	0	0	0	0	0	0	0	0	1	0
Other Proteobacteria	1	1	0	0	0	0	0	0	0	0	0	0	0
Other Proteobacteria	1	0	0	0	0	0	0	0	0	0	1	0	0
Other Proteobacteria	1	0	0	0	0	0	0	0	0	0	0	1	0
Other Proteobacteria	1	0	0	0	1	0	0	0	0	0	0	0	0
Other Streptococcus	1	0	0	0	1	0	0	0	0	0	0	0	0
