"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"32","SEN virus",1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"33","Simian adenovirus B",1,0,1,3,2,2,0,1,0,1,1,0,0,0,0,3,3,0,0,0,0
"34","Siphoviridae",1,1,3,2,2,0,0,2,1,1,2,75,1079,0,7,31,25,6,15,0,1
"35","Siphovirus contig89",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"36","Spodoptera exigua multiple nucleopolyhedrovirus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Spodoptera frugiperda multiple nucleopolyhedrovirus",1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0
"38","Streptococcus phage 5093",1,0,0,1,0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,2,0
"39","Synechococcus phage Syn19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","TTV-like mini virus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"41","Tursiops truncatus papillomavirus 1",1,0,2,0,3,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0
"42","Verrucomicrobia phage P8625",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","White spot syndrome virus",1,0,7,4,4,4,8,5,0,4,0,0,5,2,0,22,4,0,0,1,0
"44","Alphapapillomavirus 3",2,1,3,4,0,3,2,4,2,5,2,2,6,14,1027,5,3,5,5,8,2
"45","Elephantid herpesvirus 1",2,0,0,2,2,2,1,3,0,2,2,2,0,4,0,3,1,0,2,2,2
"46","Emiliania huxleyi virus 99B1",2,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,2
"47","Human papillomavirus type 32",2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"48","Human papillomavirus type 42",2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"49","Human papillomavirus type 71",2,0,1,7,1,7,1,10,0,5,5,5,2,3,5,1,6,3,2,4,2
"50","Human papillomavirus type 81",2,0,1,0,2,1,0,1,3,4,1,0,1,9,26,1,3,1,3,3,0
"51","Human papillomavirus type 87",2,0,1,2,1,3,0,4,1,2,2,1,1,12,1,1,0,1,0,2,1
"52","Lymantria dispar multiple nucleopolyhedrovirus",2,0,1,0,1,0,1,1,0,3,0,0,1,0,0,4,0,0,0,0,0
"53","Micromys minutus papillomavirus 1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Orgyia leucostigma NPV",2,0,3,4,1,0,4,3,0,5,1,2,4,2,1,2,5,1,3,7,0
"55","Paramecium bursaria Chlorella virus CvsA1",2,0,0,4,0,2,1,0,0,0,0,0,6,1,0,2,1,0,0,0,0
"56","Phaeocystis globosa virus",2,0,12,3,10,3,2,8,1,1,3,39,28,3,1,52,5,1,11,6,5
"57","Phaeocystis globosa virus 12T",2,0,2,0,2,1,0,3,1,0,1,1,4,0,0,0,0,0,0,4,3
"58","Podoviridae",2,0,13,1,5,1,1,2,0,1,1,30,278,1,7,162,0,2,22,4,11
"59","Viruses",2,1,3,2,2,0,0,0,1,2,3,3,706,0,1,0,1,4,10,0,1
"60","Acanthocystis turfacea Chlorella virus 1",3,0,3,2,7,2,3,2,0,3,3,3,0,0,1,1,5,1,1,2,2
"61","Andrias davidianus ranavirus",3,0,2,1,1,1,2,4,1,2,3,0,0,1,0,1,0,0,1,1,0
"62","Clostridium phage phiCT9441A",3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0
"63","Enterococcus phage EFLK1",3,0,0,0,0,0,3,4,2,1,1,0,0,0,0,0,0,0,0,0,4
"64","Human papillomavirus type 6",3,0,8,7,6,3,7,9,4,3,7,4,5,9,7,8,6,2,11,2,4
"65","Human papillomavirus types",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Klebsiella phage NTUH-K2044-K1-1",3,0,1,1,5,2,1,3,2,1,2,0,1,4,0,2,6,1,2,0,0
"67","Mastadenovirus",3,3,8,14,6,3,5,5,4,5,4,2,88,4,0,3,8,1,4,1,3
"68","Pandoravirus inopinatum",3,1,0,1,2,1,0,4,0,2,1,1,0,3,2,2,1,1,2,3,1
"69","Paramecium bursaria Chlorella virus AP110A",3,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0
"70","Pipapillomavirus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","unclassified T7-like viruses",3,1,12,3,9,1,11,14,2,0,1,55,264,1,16,251,2,6,24,10,18
"72","Lactobacillus phage phiAQ113",4,0,45,0,0,0,0,0,35,0,3,2,1,1,0,0,0,38,43,0,0
"73","unidentified phage",4,32,0,1,0,0,0,0,0,3,0,0,4,0,2,0,1,0,0,0,0
"74","Brochothrix phage NF5",5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"75","Emiliania huxleyi virus 156",5,1,3,6,1,2,2,2,3,1,6,3,30,2,0,8,15,1,3,3,4
"76","Hyposoter fugitivus ichnovirus",5,0,2,0,3,2,0,2,0,0,2,0,0,2,0,0,3,0,1,5,4
"77","Megavirus lba",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Pseudomonas phage phi15",5,1,26,9,29,0,11,3,1,2,2,347,554,1,35,653,6,8,92,7,38
"79","Alphapapillomavirus 6",6,0,5,5,5,3,1,7,2,5,5,3,1,15,2,2,2,1,4,7,0
"80","Avian sarcoma virus 31",6,1,9,2,3,5,7,4,3,5,1,1,9,2,1,3,8,0,4,6,5
"81","Epstein-barr virus strain ag876",6,0,15,5,10,0,7,0,1,9,0,1,10,2,0,1,5,0,0,2,3
"82","Human papillomavirus type 72",6,0,11,16,7,10,6,9,7,7,14,9,4,9,4,14,7,4,19,5,5
"83","Human papillomavirus type 74",6,0,9,6,12,8,3,10,3,7,5,6,6,11,2033,5,5,5,5,4,5
"84","Indian citrus ringspot virus",6,1,3,1,3,1,3,1,1,0,1,1,23,2,3,3,5,0,1,2,1
"85","Pigeon adenovirus 1",6,2,4,12,10,9,3,0,4,8,7,4,105,5,0,7,6,0,8,12,1
"86","Torque teno virus",6,1,0,1,17,25,1,5,0,1,0,0,1,0,0,218,0,0,0,0,0
"87","Alphapapillomavirus 10",7,1,8,8,9,0,11,9,9,9,6,4,5,3,47,4,5,1,10,3,4
"88","Bacillus phage SIOphi",7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0
"89","Enhydra lutris papillomavirus 1",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"90","Human mastadenovirus D",8,4,62,21,4,15,11,22,3,17,14,3,68,6,6,8,4,4,7,7,8
"91","uncultured marine virus",8,8,1,0,0,2,0,0,0,0,1,0,2,0,0,6,1,0,1,1,1
"92","Emiliania huxleyi virus 145",9,1,5,9,9,1,4,4,5,10,5,3,4,2,24,0,5,0,0,3,7
"93","Human papillomavirus type 103",9,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
"94","Human papillomavirus type 108",9,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0
"95","Human papillomavirus type 56",10,2,25,19,19,15,7,26,12,24,9,8,10,14,9,9,19,5,11,19,9
"96","Pandoravirus salinus",10,1,7,7,18,13,9,14,3,11,15,8,2,6,1,33,21,2,8,14,7
"97","Staphylococcus phage IME-SA2",10,11,9,6,13,6,6,12,3,8,3,8,16,11,4,4,26,1,9,16,10
"98","Lymphocryptovirus",11,2,22,16,10,43,12,23,6,31,14,10,12,22,12,7,9,8,5,6,11
"99","Human papillomavirus type 31",12,1,13,17,14,11,11,24,5,19,6,85,10,15,13,27,59,141,189254,20,5
"100","Lactobacillus phage KC5a",12,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,8,0,1,0,0
"101","Alphapapillomavirus 8",13,0,0,0,0,0,0,0,0,0,235,0,0,0,9,0,0,0,0,0,0
"102","Human papillomavirus type 62",13,0,24,15,25,17,12,28,12,20,21,7,9,39,4572,17,8,6,16,13,11
"103","unclassified Siphoviridae",13,1,12,5,2,0,5,2,0,2,63,2,20,1,3,5,3,7,10,3,1
"104","Human herpesvirus 6 (strain Uganda-1102)",15,2,16,8,29,14,9,32,7,11,14,7,3,11,2,10,31,2,8,21,12
"105","Lactobacillus phage Lrm1",15,7,0,1,0,0,0,0,6,0,2,0,237,0,0,0,1,57,8,0,0
"106","Human papillomavirus type 101",18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"107","Pseudomonas phage PPpW-4",20,3,78,26,52,2,17,38,5,6,6,1154,2052,2,138,2500,35,34,209,40,216
"108","Human papillomavirus type 72b",23,1,27,15,17,23,8,14,9,24,18,10,12,21,110,18,16,7,37,14,16
"109","Glypta fumiferanae ichnovirus",26,3,24,8,25,13,16,26,6,16,21,5,2,10,3,44,31,4,18,27,14
"110","Human herpesvirus 4",34,4,58,65,34,194,45,60,34,54,49,65,29,45,31,29,33,18,38,32,45
"111","Lactobacillus prophage Lj771",35,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,0,0,0
"112","Moumouvirus Monve",38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Human papillomavirus type 91",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Human papillomavirus type 52",50,0,13,4619,12,13,8,14,7,6,4,6,7,7,1,3,3,5,4,6,5
"115","Coccolithovirus",57,17,80,88,66,52,24,53,47,49,50,57,152,19,18,44,80,8,42,61,39
"116","root",60,26,154,62,43,3,8,15,337,30,151,79,607,12,15,43,32,14749,447,5,13
"117","Papillomaviridae",70,2,1140,1056,51,38,66,50,34,47,203,64,22,777,12396,44,59,97,100642,39,40
"118","Human papillomavirus type 89",74,3,74,82,60,86,63,75,77,222,43,57,60,109,1118781,61,61,41,51,59,35
"119","unclassified Coccolithovirus",82,24,126,123,88,84,44,99,48,66,65,75,214,37,23,168,115,11,47,68,77
"120","Micromonas pusilla virus 12T",103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"121","Alphapapillomavirus 14",0,1,4301,1,0,0,0,0,1,1,1,0,0,7,1,1,0,0,1,0,0
"122","Aureococcus anophagefferens virus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"123","Burkholderia phage AH2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Croceibacter phage P2559Y",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"125","Enterococcus phage ECP3",0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"126","Erwinia phage GR-2012",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Human adenovirus 22",0,1,6,2,2,4,1,1,0,0,1,0,9,1,1,0,1,0,0,0,0
"128","Human papillomavirus type 40",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Megavirus chiliensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Papiine herpesvirus 1",0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"131","Pseudoplusia includens SNPV IE",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Rhodococcus phage ReqiDocB7",0,1,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0
"133","Tursiops truncatus papillomavirus 5",0,1,2,1,2,0,1,0,1,0,2,0,0,1,0,0,2,0,1,5,0
"134","unclassified N4likevirus",0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"135","Bacillus phage G",0,2,1,0,1,0,3,0,1,0,5,0,26,0,0,0,0,1,0,0,3
"136","Vibrio phage henriette 12B8",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Vibrio phage VP4B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Macacine herpesvirus 1",0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Fusobacterium phage Funu2",0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
"140","Brevibacillus phage Emery",0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"141","Paramecium bursaria Chlorella virus NY2A",0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"142"," no RNA stage",0,0,1,1,1,2,1,2,0,1,1,0,3,0,0,0,5,1,4,0,1
"143","Adenoviridae",0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
"144","Alphapapillomavirus",0,0,1,1,1,0,0,0,0,1,1,1,0,0,3672,0,0,0,7,0,0
"145","Alphapapillomavirus 2",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24
"146","Bat betaherpesvirus B7D8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Choristoneura biennis entomopoxvirus 'L'",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Cronobacter phage vB_CsaM_GAP31",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Cronobacter phage vB_CsaP_GAP52",0,0,1,0,2,0,0,0,0,0,0,77,0,0,8,16,0,1,2,0,0
"150","Dendrolimus kikuchii nucleopolyhedrovirus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"151","dsDNA viruses",0,0,1,1,1,2,1,2,0,1,1,0,3,0,0,0,5,1,4,0,1
"152","Elephant endotheliotropic herpesvirus 5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Environmental Halophage eHP-11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Helicoverpa zea nudivirus 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Human endogenous retrovirus K",0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
"156","Human immunodeficiency virus 1",0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1
"157","Human papillomavirus type 106",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Human papillomavirus type 30",0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"159","Human papillomavirus type 61",0,0,1,2,0,1,0,2,2,1,1,1,0,0,1,1,3,0,3,0,1
"160","Human papillomavirus type 66",0,0,1,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0
"161","Hyphantria cunea nucleopolyhedrovirus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Kallithea virus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"163","Leucania separata nucleopolyhedrovirus",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"164","Macacine herpesvirus 3",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"165","Primate lentivirus group",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"166","Ranavirus",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"167","Rat cytomegalovirus Maastricht",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Spodoptera litura granulovirus",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"169","Streptococcus phage C1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0
"170","Streptococcus phage DT1",0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,12,0,0
"171","Suid herpesvirus 1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Tupaiid herpesvirus 1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,1,1
"173","Acanthocystis turfacea Chlorella virus MN0810.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Alphabaculovirus",0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0
"175","Burkholderia phage BcepF1",0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"176","Moumouvirus goulette",0,0,2,0,0,0,1,0,0,0,1,6,6,0,1,1,1,0,1,0,6
"177","Pectobacterium phage My1",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"178","Pseudomonas phage vB_PaeP_Tr60_Ab31",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Simian immunodeficiency virus",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"180","Streptococcus phage phi30c",0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Caudovirales",0,0,3,0,0,0,2,0,0,0,0,0,99,0,2,1,2,1,3,1,0
"182","Cyprinid herpesvirus 3",0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0
"183","Human papillomavirus type 70",0,0,3,0,1,0,3,2,1,0,0,0,1,1,2,1,0,2,0,0,1
"184","Human adenovirus 19",0,0,4,1,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0
"185","Lactobacillus phage phiPYB5",0,0,6,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
"186","Escherichia phage ECML-117",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Lactobacillus phage JCL1032",0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0
"188","Lactobacillus phage phiadh",0,0,21,0,2,0,0,0,781,1,0,0,415,0,27,1,425,2496,709,0,7
"189","Lactobacillus phage phi jlb1",0,0,24,0,5,0,0,0,12,0,2,32,1,0,1,0,0,14186,470,0,0
"190","Human papillomavirus type 33",0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"191","Propionibacterium phage PHL041M10",0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"192","Molluscum contagiosum virus",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Lactobacillus phage Ldl1",0,0,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0,2
"194","Molluscum contagiosum virus subtype 1",0,0,110,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"195","Lactobacillus phage phig1e",0,0,174,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Alphapapillomavirus 13",0,0,251,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"197"," no DNA stage",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","Carollia perspicillata polyomavirus 1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Clostridium phage phiCTP1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","Cp220likevirus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Delftia phage IME-DE1",0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"202","Escherichia phage vB_EcoM-ep3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Human herpesvirus 5",0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0
"204","Human herpesvirus 5 strain AD169",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","Human mastadenovirus B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"206","Human papillomavirus type 13",0,0,0,1,0,0,0,1,0,0,0,1,0,0,51,0,0,0,1,0,0
"207","Human papillomavirus type 35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Lambdalikevirus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Macacine herpesvirus 4",0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,2,1,1
"210","Paramecium bursaria Chlorella virus 1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Podovirus SOG",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Soybean dwarf virus",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"213","Spodoptera frugiperda granulovirus",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"214","ssRNA positive-strand viruses",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","Streptococcus phage Abc2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","Sulfolobales Mexican fusellovirus 1",0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0
"217","Synechococcus phage S-CBP1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","unclassified phages",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"219","uncultured virus",0,0,0,1,0,0,0,0,0,0,0,33,38,0,0,1,0,0,0,0,0
"220","Xestia c-nigrum granulovirus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Emiliania huxleyi virus 84",0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,2,0,11,1,1
"222","Human papillomavirus type 102",0,0,0,2,0,0,1,0,1,3,1,1,1,1,16656,1,0,0,0,1,0
"223","Human papillomavirus type 51",0,0,0,2,2,0,0,0,0,1,0,3,0,2879,0,0,0,0,1,1,1
"224","Human papillomavirus type 53",0,0,0,3,0,0,0,2,1,0,2,1,1,41,0,2,1,1,13,1,2
"225","Human herpesvirus 6B",0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"226","Streptococcus phage M102",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Lactococcus phage CB13",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Vibrio phage VD1",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Bacillus phage PBC1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"230","Bacteriophage Lily",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Emiliania huxleyi virus 18",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
