"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"56","Cercopithecine herpesvirus 5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,1,0,0
"57","Chipapillomavirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"58","Choristoneura occidentalis granulovirus",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"59","Choristoneura rosaceana alphabaculovirus",0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"60","Clostridium phage phiCD211",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"61","Clostridium phage phiCDHM19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"62","Clostridium phage phiCT9441A",0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,32,0,1,0
"63","Clostridium phage phiCTP1",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"64","Corynebacterium phage BFK20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"65","Corynebacterium phage P1201",8,0,0,10,0,0,18,184,0,0,0,1,0,0,7,0,0,0,0,0,9,0,0,0,0
"66","Cotesia congregata bracovirus",0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
"67","Croceibacter phage P2559Y",0,1,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1,0,0,0,5,0,47,0
"68","Cronobacter phage CR5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3690,0,0,0,0,0,0
"69","Cronobacter phage vB_CsaP_GAP52",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"70","Cyprinid herpesvirus 2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"71","Cyprinid herpesvirus 3",0,2,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,1,4,6,1,0,1,0,0
"72","Debaryomyces hansenii virus JB-2008",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Deep-sea thermophilic phage D6E",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"74","Diadromus pulchellus ascovirus 4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"75","Dyoomikronpapillomavirus 1",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"76","EBPR siphovirus 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"77","Ectocarpus siliculosus virus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0
"78","Edwardsiella phage PEi2",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"79","Elephantid herpesvirus 1",3,3,0,1,1,1,0,0,1,0,0,7,0,1,5,0,1,0,0,7,1,0,3,0,0
"80","Emiliania huxleyi virus 145",8,9,2,8,4,2,0,36,3,0,1,1,0,0,12,0,7,1,0,5,0,0,6,2,0
"81","Emiliania huxleyi virus 156",1,5,0,2,49,1,0,1,4,5,0,3,0,0,7,0,6,17,1,13,1,1,11,2,110
"82","Emiliania huxleyi virus 164",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"83","Emiliania huxleyi virus 18",0,1,0,0,2,0,1,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"84","Emiliania huxleyi virus 203",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"85","Emiliania huxleyi virus 84",0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"86","Emiliania huxleyi virus 99B1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0
"87","Emiliania huxleyi virus PS401",0,0,0,0,3,0,0,0,1,3,0,0,1,0,1,0,1,0,0,4,0,0,2,0,0
"88","Enterobacter phage Enc34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"89","Enterobacteria phage N15",5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,0,5
"90","Enterococcus phage ECP3",0,0,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"91","Enterococcus phage EFDG1",0,0,0,2,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
"92","Enterococcus phage EFLK1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,3,0,0,0,0
"93","Enterococcus phage vB_Efae230P-4",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"94","Enterovirus B",1,1,144,2,2,0,2,0,1,1,0,1,0,2,4,1,2,1,0,1,0,0,3,1,13
"95","Environmental Halophage eHP-35",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Erwinia phage phiEt88",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Escherichia phage ECML-117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"98","Feline leukemia virus",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,75,0
"99","Flavobacterium phage FCL-2",0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"100","Frog virus 3",0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,1,2,0,8,0,0,2,0,0
"101","Fusobacterium phage Funu2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,0,0,1,0,0,0
"102","Gammapapillomavirus 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0
"103","Gammapapillomavirus 12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"104","Gammapapillomavirus 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
"105","Gammapapillomavirus 3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0
"106","Gammapapillomavirus 6",0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,2,14,0,0,0,0,0,0,0
"107","Gammapapillomavirus 8",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"108","Gammapapillomavirus 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"109","Geobacillus phage GBK2",0,0,0,0,0,0,0,9,0,0,4,0,8,820,1,0,0,0,0,0,0,0,0,0,0
"110","Geobacillus virus E2",19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"111","Glossina hytrovirus",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"112","Glypta fumiferanae ichnovirus",4,10,6,12,3,4,0,5,8,34,1,48,12,1,25,12,11,5,6,1395,5,4,15,0,1
"113","Gordonia phage Gsput1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,328,0,1,0,0,0,28,0,0,0
"114","Heliothis zea nudivirus",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
"115","Hemileuca sp. nucleopolyhedrovirus",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Human endogenous retrovirus K",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"117","Human herpesvirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
"118","Human herpesvirus 2",3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"119","Human herpesvirus 4",718,60,932047,47,86,56,59,790,56,1610,106,39,46,2220,82,15,43,6,25,34,25,38,33,27,8
"120","Human herpesvirus 5",0,2,0,0,0,2,1,1179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"121","Human herpesvirus 6A",2,26,2,10,17,4,0,0,6,0,3,28,6,0,24,1,8,12,3,111,2,2,24,2,0
"122","Human herpesvirus 6B",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"123","Human herpesvirus 8",0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,13,0,0,6,0,0,0,0,0,0
"124","Human immunodeficiency virus 1",0,1,0,0,27,0,0,4,0,0,0,1,0,0,0,0,0,10,0,2,2,0,0,2,4
"125","Human mastadenovirus D",6,6,4,8,6,13,5,8,5,0,10,4,7,11,7,21,6,0,6,7,5,5,11,3,1
"126","Human papillomavirus",1,121,0,0,0,2,0,32,16,0,1,1,169,0,2,2,40,36,0,17,2,564,1,0,0
"127","Human papillomavirus 132-like viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0
"128","Human papillomavirus KC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"129","Human papillomavirus type 129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"130","Human papillomavirus type 134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"131","Human papillomavirus type 155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
"132","Human papillomavirus type 172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"133","Human papillomavirus type 173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"134","Human papillomavirus type 179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"135","Human polyomavirus 2",0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,106,0,0,0,1,0,0,0
"136","Hyposoter fugitivus ichnovirus",0,2,0,0,0,2,0,0,0,0,0,3,0,0,5,0,2,2,1,12,0,0,0,0,0
"137","Indian citrus ringspot virus",0,4,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,2,26
"138","Klebsiella phage NTUH-K2044-K1-1",0,7,1,1,2,1,0,4,1,0,2,2,0,1,4,0,5,1,1,6,0,0,4,1,1
"139","Klebsiella phage phiKO2",2,0,0,16,13,5,0,24,9,14,2,0,0,5,0,32,3,120,171,2,0,0,0,0,0
"140","Lactobacillus phage A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0
"141","Lactobacillus phage EV3",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Lactobacillus phage JCL1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"143","Lactobacillus phage KC5a",1,118,0,0,0,231,0,0,0,0,8,0,0,1,0,0,19,11,37,0,0,0,27,0,0
"144","Lactobacillus phage Lb338-1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"145","Lactobacillus phage LBR48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
"146","Lactobacillus phage Ldl1",0,0,0,30,0,5,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,79,0
"147","Lactobacillus phage LF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"148","Lactobacillus phage LfeInf",0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,29,0,0,0,0,0,1,0
"149","Lactobacillus phage LfeSau",0,1,0,0,0,0,0,12,0,0,2,0,0,0,0,0,43,0,3,0,0,0,73,0,0
"150","Lactobacillus phage LP65",14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"151","Lactobacillus phage Lrm1",15,22,0,0,0,0,0,15,2,0,0,1,69,3034,4,0,3,0,0,1,2,35,0,0,0
"152","Lactobacillus phage Lv-1",0,9,0,40,0,0,0,1,0,0,0,0,24,1332,3,0,15,0,0,1,0,0,0,0,0
"153","Lactobacillus phage phi jlb1",0,0,0,15,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,57
"154","Lactobacillus phage phiadh",0,0,0,120,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1027
"155","Lactobacillus phage phiAQ113",13,0,0,46,0,0,0,0,0,0,0,0,0,0,14,0,49,0,0,0,0,0,0,0,46
"156","Lactobacillus phage phig1e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,10,1,0,0,0,0,0,0,0
"157","Lactobacillus phage phiJB",449,25,0,15,0,10,0,0,1,0,2,0,0,17,0,0,1,1,153,0,0,2,0,42,0
"158","Lactobacillus phage phijl1",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Lactobacillus phage phiPYB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,869,0,0,0,0,2,0,0
"160","Lactobacillus prophage Lj771",1,732,0,2,0,501,0,0,0,1,10,0,0,0,0,0,30,114,0,0,0,0,3,0,4
"161","Lactococcus phage 1358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"162","Lactococcus phage 1706",22,0,0,0,0,0,0,0,2,26,0,0,0,81,1,0,2,1,0,0,76,0,0,2,0
"163","Lambdina fiscellaria nucleopolyhedrovirus",0,0,0,0,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Leuconostoc phage LLC-1",0,0,0,2,0,0,0,10,10,0,0,0,0,0,0,7,1,0,52,1,0,0,0,0,0
"165","Leuconostoc phage Ln-9",0,0,0,3,0,5,0,0,1,1,0,0,0,0,0,38,1,4,44,0,0,0,0,0,0
"166","Leuconostoc phage phiMH1",13,0,0,0,2,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"167","Lymantria dispar multiple nucleopolyhedrovirus",0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,3,5,1,0,0,0,2
"168","Macacine herpesvirus 1",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Macacine herpesvirus 3",0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Macacine herpesvirus 4",0,1,958,0,1,0,0,10,0,9,0,2,0,5,2,0,0,0,1,1,0,66,3,0,0
"171","Macropodid herpesvirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
"172","Mamestra brassicae multiple nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"173","Marseilleviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
"174","Megavirus chiliensis",0,0,0,0,0,0,7,1,0,0,2,0,289,6,0,0,0,0,0,0,46,1,0,0,0
"175","Microbacterium phage Min1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"176","Molluscum contagiosum virus",1,0,1,0,0,0,1,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"177","Mosquito VEM virus SDBVL G",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Moumouvirus",2,0,0,0,0,3,0,5,0,1,0,0,1,3,0,0,1,2,37,1,37,4,1,0,0
"179","Murid herpesvirus 1",0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"180","Murid herpesvirus 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"181","Murine leukemia-related retroviruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"182","Murine leukemia virus",0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Musca hytrovirus",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"184","Mycobacterium phage 40AC",1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Mycobacterium phage Estave1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,25
"186","Mycobacterium phage Goose",0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Mycobacterium phage PhrostyMug",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"188","Mycobacterium phage Pukovnik",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Mycobacterium phage Yoshi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"190","Mycoplasma phage P1",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"191","Nilaparvata lugens endogenous nudivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"192","Omikronpapillomavirus 1",0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,3,0,0,3,0,0,0,0,1
"193","Orgyia leucostigma NPV",1,5,0,0,2,3,0,0,14,0,0,1,1,3,2,0,1,0,3,3,1,0,2,3,0
"194","Other Adenoviridae",0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"195","Other Alphabaculovirus",1,0,0,1,4,0,0,5,1,0,0,1,0,0,3,0,1,0,1,3,2,0,4,0,0
"196","Other Alphapapillomavirus",0,0,0,0,0,0,1,0,0,0,0,2,128,3,0,0,3,1,0,4,0,130,0,0,0
"197","Other Anelloviridae",1,0,0,0,7,0,0,28,0,0,0,0,0,2,0,0,1,0,0,5,4,0,0,3,0
"198","Other Chlorovirus",0,1,0,0,0,0,2,4,0,0,4,1,0,0,0,2,0,1,0,1,1,0,1,328,3
"199","Other Coccolithovirus",32,153,67,119,398,77,1,40,105,50,7,102,17,12,165,50,141,159,367,257,18,8,272,12,120
"200","Other Cytomegalovirus",0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,54,0,0,1,0,0,0
"201","Other dsDNA Viruses",14,0,8,3,15,0,37,21,8,1,1,3,0,16,7,1,1,9,46,9,2,11,3,0,0
