,Var1,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
67,Papillomaviridae,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Caudovirales,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,Closteroviridae,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Other ssDNA viruses,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,Other Viruses (unclassified),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,Circoviridae,7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0
73,Flaviviridae,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
74,Lipothrixviridae,19,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,4,0,0,0,0,0
75,Other Phages,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,Other dsDNA Viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,Caudovirales,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,Reoviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,Other Phages,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
80,Other Phages,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
81,Other Phages,59,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,15,0,0,0,0
82,Other Phages,187,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,1,0,0,0,0,0
83,Caudovirales,235,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0
84,Inoviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,Other dsDNA Viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,Other Viruses (unclassified),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,Other ssRNA negative viruses,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
88,Other dsDNA Viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,Virgaviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
90,Streptococcus phage,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
91,Mycodnaviridae,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
92,Hepadnaviridae,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0
93,Other ssRNA negative viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Other Phages,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
95,Other Phages,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
96,Other Viruses (unclassified),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,Other Phages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,Other Phages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,Other dsDNA Viruses,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
100,Other Phages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,Other ssRNA positive viruses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,Other Phages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,Caliciviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,Microviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,Other ssDNA viruses,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
