Simple.name,Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.01,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1B2.01.19,Vogue1B2.01.21,Vogue1B2.01.23,Vogue1B2.01.28,Vogue1B2.01.29
Caldicellulosiruptor saccharolyticus,Other Firmicutes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia sp. BVAB2,Firm/Clos,1182,81,66,0,1,7,11,495,4,37,205,2,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium genomosp. BVAB3,Firm/Clos,643,196,3,0,0,0,0,0,10,0,397,0,7,0,0,1,4,0,0,0,0,0,0,0,0,5,5
Clostridium stercorarium subsp. stercorarium,Firm/Clos,32,19,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus eutactus,Other Clostridium,22,0,0,1,0,10,0,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfotomaculum hydrothermale,Other Clostridium,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialister invisus ,Other Firmicutes,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella lenta,Other Actinobacteria,127,17,0,2,0,0,7,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli,Proteobac,2531,0,0,1,1738,0,0,0,1,0,0,0,0,0,775,0,2,3,7,0,0,0,0,1,0,0,0
Eubacterium coprostanoligenes,Other Clostridium,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium eligen,Other Clostridium,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium cf. prausnitzii,Other Clostridium,97,0,1,10,15,24,8,1,2,7,14,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardnerella vaginalis Group A,Actinobac,18737,1493,1870,3449,8,775,4,53,105,9,5843,4,19,3,777,8,553,16,59,2067,52,8,4,63,3,9,1187
Gardnerella vaginalis Group C,Actinobac,14132,174,408,96,5,18,9,497,28,3577,114,6,8,8,42,6,637,4,1194,100,205,0,2,657,195,129,111
Gardnerella vaginalis Group D,Actinobac,82,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,1
Haemophilus haemolyticus,Other Proteobacteria,20,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus acidophilus ,Other Lactobacillus,70,1,0,7,3,31,0,0,16,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus coleohominis,Other Lactobacillus,17,0,0,0,3,1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus crispatus,Firm/Bacilli,27007,1,3,7,15,10,22,40,3807,2,10,4880,18,64,2,7,116,26,69,79,647,1162,9,160,25,502,63
Lactobacillus gasseri,Firm/Bacilli,6073,0,2,8,209,51,2599,17,11,21,7,2,2,1899,4,23,3,3,23,45,7,3,1,48,3,8,0
Lactobacillus iners,Firm/Bacilli,43313,14,7,1666,190,9179,1,17,2817,1,89,9,216,11,11,1321,4871,5187,253,26,518,25,50,5127,6473,236,309
Lactobacillus jensenii,Firm/Bacilli,6728,21,11,9,19,11,23,4,8,2,8,141,2,6,5,1,117,16,11,13,204,20,13,19,2,15,9
Lactobacillus plantarum,Firm/Bacilli,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0
Lactobacillus plantarum,Other Lactobacillus,70,0,2,6,7,18,12,4,7,2,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri,Firm/Bacilli,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0
Lactobacillus reuteri,Other Lactobacillus,29,0,0,0,0,6,5,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus ultunensis,Other Lactobacillus,23,0,6,4,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc lactis,Other Firmicutes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum magnetotacticum,Other Proteobacteria,11,2,0,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera cerevisiae,firm/neg,564,0,9,0,0,0,0,0,7,0,546,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera sp. genomosp. type_1,firm./neg,607,602,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacillus flagellatus,Other Proteobacteria,15,0,0,3,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsuokella multacida,Other Firmicutes,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraprevotella clara ,Other Bacteroidetes,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus harei,Other Clostridium,157,2,0,6,53,10,6,33,5,16,1,4,16,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Peptoniphilus lacrimalis,Other Clostridium,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas uenonis,Bacteroidetes,155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,11,3,1,0,0,0,1,42
Prevotella amnii,Bacteroidetes,3651,2,0,1,2,1,1,0,0,0,0,1,3602,1,0,3,0,0,0,0,0,4,0,18,0,0,8
Prevotella bergensis,Bacteroidetes,595,0,0,0,0,1,0,576,0,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella bivia,Bacteroidetes,164,83,0,0,0,0,30,8,0,1,8,1,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0
Prevotella buccalis,Bacteroidetes,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,2,0,1,1
Prevotella buccalis,Other Bacteroidetes,28,0,2,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella dentalis,Other Bacteroidetes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella dentasini,Bacteroidetes,164,0,0,0,0,0,0,160,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella disiens,Bacteroidetes,193,0,0,0,0,0,0,180,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Prevotella loescheii,Other Bacteroidetes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica,Other Bacteroidetes,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella oralis,Other Bacteroidetes,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella paludivivens,Other Bacteroidetes,32,0,0,0,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella tannerae ,Other Bacteroidetes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella timonensis,Bacteroidetes,3487,681,0,0,0,4,8,2330,2,37,7,0,1,1,1,2,123,4,1,7,2,1,0,23,0,15,94
Prevotella veroralis ,Other Bacteroidetes,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosthecochloris vibrioformis ,Bacteroidetes,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas fluorescens,Other Proteobacteria,8,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0
Ralstonia pickettii ,Other Proteobacteria,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia proteamaculans,Other Proteobacteria,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella sonnei,Other Proteobacteria,20,2,1,0,0,4,9,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptobacillus moniliformis,Other Bacteria,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus devriesei,Streptococcus,325,2,8,23,35,51,41,15,35,21,39,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus infantis,Streptococcus,31,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0
Streptococcus mitis,Streptococcus,25,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,13,1,1,0,0,0,0,0,1,0,0
Streptococcus pseudopneumoniae,Streptococcus,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus salivarius subsp. salivarius,Streptococcus,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus sanguinis,Streptococcus,255,0,0,0,254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis,Streptococcus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus urinalis,Streptococcus,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus vestibularis,Streptococcus,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus waius,Streptococcus,21,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichechus manatus latirostris ,Other Bacteria,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella parvula,Other Clostridium,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter pittii,Other Proteobacteria,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Actinomyces neuii,Other Actinobacteria,41,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,13,0,0,0,0,0,2
Actinomyces turicensis,Other Actinobacteria,27,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium tumefaciens,Proteobac,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Arcanobacterium haemolyticum,actinobac,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Bacillus stratosphericus,Firm/Bacilli,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Bacteroides coagulans,Bacteroidetes,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8
Bifidobacterium bifidum,Actinobac,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bifidobacterium dentium,Actinobac,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,4,0
Burkholderia phytofirmans,Other Proteobacteria,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
Clostridia sp. probably BVAB2,Firm/Clos,246,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,16,3,2,23,31,3,12,15,2,16,32
Clostridium sticklandii,Firm/Clos,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium amycolatum,Actinobac,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium genitalium,Actinobac,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
Corynebacterium tuberculostearicum,Actinobac,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0
Enterococcus faecalis,Other Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Facklamia hominis,Firm/Bacilli,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Facklamia hominis,Firm/neg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Gardnerella vaginalis Group B,Actinobac,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,86,0,0,22,0,1,0
Gemella haemolysans,Firm/Bacilli,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus parainfluenzae,Other Proteobacteria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus paraphophilus,Other Proteobacteria,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
Homo sapiens,Other Bacteria,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,1,0,2,3,5,1,0
Klebsiella pneumoniae,Other Proteobacteria,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,469,0,0,0,0
Lactobacillus delbrueckii,Firm/Bacilli,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus,Firm/Bacilli,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Megasphaera sp. genomosp. type 1,firm./neg,11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10957,4,0,0,8,0,0,17,1,21,16
Mobiluncus curtsii,actinobac,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mobiluncus mulieris,actinobac,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nostoc commune,Other Bacteria,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Polynucleobacter necessarius,Proteobac,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
Porphyromonas gingivicanis,Bacteroidetes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
Prevotella corporis,Bacteroidetes,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Prevotella denticola,Bacteroidetes,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,3,0,1,0
Propionibacterium acidipropionici,actinobac,22,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0
Propionibacterium acnes,actinobac,38,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0
Rhodoferax ferrireducens,Proteobac,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rothia mucilaginosa,actinobac,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Sphaerotilus natans,Proteobac,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
Staphylococcus epidermidis,Firm/Bacilli,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Streptococcus agalactiae,Streptococcus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus anginosus,Firm/Bacilli,32,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0
Streptococcus parasanguinis,Streptococcus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0
Streptococcus salivarius,Streptococcus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Thermoanaerobacter thermocopriae,Firm/Clos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
