Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.291,0,3,64,1,9,153,0,0,21,115,1480,62,3,0,13287,18,20,130,446,30,0,1,0,11,8,1,45,28,17,13,43,210,1,0,16
Vogue1A.01.292,0,0,0,0,0,3,0,0,13,51,2,0,0,0,14020,52,7,89,1,8,0,3,0,10,7,1,1,2,12,2,0,0,0,0,0
Vogue1A.01.297,0,0,25,0,63,275,0,0,1,1723,48,0,1,0,91,0,6,3,1,34,7,5,0,0,2,1,67,0,3,23,0,763,0,0,0
Vogue1A.01.298,0,0,1990,850,1049,0,0,0,1,421,4305,11,2535,0,126,43,0,1,0,39,2,0,2,0,87,0,652,4,17,0,0,4490,0,0,0
Vogue1A.01.300,0,0,2,0,1,0,0,0,9,28,1,1,0,0,4995,12,175,56,0,5,0,1,0,2,3,1,1,2,25,0,0,3,0,0,0
Vogue1A.01.301,0,0,0,0,2,0,0,0,5,35,1,0,0,0,3309,47,27,724,0,4,0,0,0,2,3,10,0,4,4,0,0,5,0,0,1
Vogue1A.01.302,0,0,4,0,5,2,0,0,4,76,27,4,0,0,105,9,5229,6,7,166,0,2,0,1,61,3,1,12,7,0,1,4,0,0,7
Vogue1A.01.309,0,5,38,0,77,0,0,0,0,6544,1502,656,2,0,16,2,67,0,2766,7,0,4,0,0,34,0,394,0,14,3,1,46,0,0,0
Vogue1A.01.310,0,5,542,0,135,0,0,0,15,3240,9421,4612,2,0,17,2,311,13,0,9,0,0,0,0,4,1,50,3,17,2,0,0,0,0,0
Vogue1A.01.311,0,3,2,0,1,0,0,0,39,62,1723,161,0,0,31,89,30,2554,1,9,0,6,0,0,2,10,4,1,12,2,1,6,0,0,0
Vogue1A.01.313,0,0,1,0,0,0,0,0,24,54,16,8,0,0,12515,117,15,421,1,5,0,3,0,7,6,5,1,2,17,3,0,5,0,0,0
Vogue1A.01.314,0,0,14,0,868,0,0,0,2,9,1,1,0,0,1184,9,32,31,1,77,0,908,0,3,67,0,1037,12,0,1939,0,3117,0,0,0
