,Virus_Groups,Vogue1A.01.61,Vogue1A.01.101,Vogue1B2.01.11,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.71,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.106,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.51,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.74,Vogue1A.01.77,Vogue1B.01.03,Vogue1B.01.48
11,Mimiviridae,2,33,6,45,53,0,0,1,6,41,1,1,3,2,1,6,4,1,2,0,3,11,14,1,1,2,1,292,18,1,0,1,12,76,1,83,6,3,0,3,0,3,49,2,8,3,0,0,0,1,1,2,0,2
12,negative_ssRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other_Phages,4,0,0,42,40,20,1,10,11,245,2,7,47,9,3,2,202,0,2,3,504,8,26,57,73,44,0,57,1,11,0,39,334,28,1,3,137,15,5,888,0,2,52,1,414,3,0,0,0,0,0,0,0,0
14,Other_Viruses_unclassified,5,0,1,10,9,3,2,2,36,795,1,37,2,94,12,2,19,0,14,47,134,18,57,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,48,0,45,0,1,0,0,153,2,0,0,0,0,0,0,0,0
15,Papillomaviridae,9063,172,159,357,10,3622,192,313,240,126,1099156,210,216,290,284908,155,1478,89,139,148,4048,18019,1784,2504,234,163,267,470055,6175,513,154,478594,4497,298,144920,824,717762,80,43,69159,184,103,115,427,40,83,183,183,204,144,1063,4038,2224,754
16,Phycodnaviridae,25,19,14,27,39,24,28,16,33,51,26,101,39,4,26,21,39,4,15,105,8,3,48,28,5,7,20,5,3,44,21,21,31,6,32,3,11,332,116,8,7,16,109,1159,53,13,14,14,15,10,22,16,29,57
17,Picornaviridae,72,1,2,5,10,3,9,6,6,1,1,0,6,1,2796,1,3,343,7,7,1,6,3,7,5,0,9,5,4,8,5,8,3,1,3,3,7,1,29,36,5,0,4,0,16,10,5,3,4,2,4,2,6,4
18,Podoviridae,253,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Polydnaviridae,21,34,53,29,3,6,25,16,5,168,2,43,31,4,23,43,4,6,12,14,6,0,5,8,34,1,52,13,1,30,12,13,8,7,1407,5,16,0,1,3,25,38,1,41,3,5,15,16,27,3,20,10,12,15
20,Polyomaviridae,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,17,0,4,0,0,0,0,1,0,108,7,1,1,1,0,0,0,0,1,162,0,0,0,0,0,1,0,0,0,1,0
21,positive_ssRNA,3,3,1,7,1,3,3,0,2,23,3,83,8,0,1,1,1,3,1,41,7,2,1,2,6,1,3,0,1,4,0,6,7,10,6,0,2,2,27,7,1,2,1,1,10,0,75,3,1,1,1,3,5,4
22,Retroviridae,14,10,5,7,1,3,21,7,1,25,1,3,13,6,5,6,1,2,8,45,1,2,6,5,0,2183,11,2,1,12,7,3,20,3,8,5,3,79,7,0,3,3,0,7,3,3,6,8,5,4,13,3,7,5
23,Siphoviridae,391,0,2,37,12,215,52,10,79,6674,50,77,466,18125,838,14,1680,2,384,355,418,84,1015,208,733,470,13,254,7042,184,2548,262,32859,3823,119,540,1392,375,1059,6569,4,50,284,15,841,7,0,0,0,0,0,0,0,0
24,ssDNA,0,1,1,0,0,0,0,1,1,14,0,0,0,0,1,5,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
