Viral_Species,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
Mesorhizobium phage vB_MloP_Lo5R7ANS,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Micromonas pusilla virus 12T,103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Molluscum contagiosum virus,0,0,150,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Moumouvirus,38,46,2,0,0,0,0,0,0,0,1,6,6,0,1,1,1,0,1,0,6
Murid herpesvirus 1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
Musca hytrovirus,0,0,0,0,0,0,0,0,0,1,0,0,119,0,0,0,0,0,0,0,0
Mycobacterium phage 40AC,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
Mycobacterium phage Luchador,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,1,0,0
Mycobacterium phage Sheen,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Orgyia leucostigma NPV,1,0,3,4,1,0,4,3,0,4,1,1,4,2,1,2,5,1,2,6,0
Other Adenoviridae,0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Other Alphabaculovirus,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0
Other Anelloviridae,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,86,0,0,0,0,0
Other Coccolithovirus,136,35,195,202,144,126,65,149,94,102,108,130,383,55,39,184,192,18,84,125,111
Other dsDNA Viruses,0,0,4,1,1,2,1,3,0,1,1,0,102,0,2,2,7,2,7,0,3
Other Enterovirus,3,6,33,3,7,4,2,1,1,2,2,5,1,1,0,0,5,1,1586,0,1
Other Gammaretrovirus,0,0,0,0,16,0,0,1,0,0,12,0,13,0,0,0,0,4,0,1,0
Other L5likevirus,0,0,0,0,1,0,0,0,0,0,0,0,364,0,3,0,0,0,0,0,0
Other Lentivirus,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Other Lymphocryptovirus,8,1,20,10,8,39,11,19,5,25,11,7,11,19,11,4,8,8,3,6,11
Other Mastadenovirus,3,3,8,13,6,3,5,5,4,4,4,2,80,4,0,3,7,1,3,1,3
Other Myoviridae,0,0,0,0,5,0,0,0,0,0,0,8,104,0,0,133,8,0,0,0,1
Other Phages,4,32,0,2,0,0,0,0,0,3,0,0,4,0,2,4,6,0,0,0,0
Other Phycodnaviridae,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Other Podoviridae,2,1,213,3,0,0,0,0,0,1,0,4,436,0,547,9,3,7,3319,0,7
Other Ranavirus,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Other Siphoviridae,14,1,15,6,4,0,5,2,0,3,63,77,1114,1,9,35,28,13,25,3,2
Other T7likevirus,1,2,3,3,1,1,1,3,0,0,1,3,113,0,9,3,1,0,3,1,5
Other Tobamovirus,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,58,0,0,0,0,0
Other Viruses,2,1,4,3,2,0,0,0,0,2,0,36,793,0,1,1,1,94,11,0,1
Ovine herpesvirus 2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pandoravirus dulcis,1,0,3,0,1,1,1,1,1,0,1,0,25,1,0,3,7,0,0,0,0
Pandoravirus inopinatum,3,1,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,0,1,2,1
Pandoravirus salinus,10,1,11,5,18,13,9,14,3,12,15,8,38,6,1,34,20,2,8,14,11
Papiine herpesvirus 1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paramecium bursaria Chlorella virus AP110A,3,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0
Paramecium bursaria Chlorella virus AR158,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Paramecium bursaria Chlorella virus CvsA1,2,0,0,4,0,2,1,0,0,0,0,0,6,1,0,2,1,0,0,0,0
Paramecium bursaria Chlorella virus NE-JV-1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
Paramecium bursaria Chlorella virus NY2A,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pectobacterium phage My1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Pectobacterium phage ZF40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
Phaeocystis globosa virus,2,0,11,3,9,3,2,6,1,1,3,2,6,2,1,51,5,1,9,6,5
Phaeocystis globosa virus 12T,2,0,2,0,2,1,0,3,1,0,1,1,4,0,0,0,0,0,0,4,3
Pigeon aviadenovirus A,6,2,3,10,10,8,3,0,8,8,6,4,105,5,0,7,6,0,8,12,1
Pithovirus sibericum,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
Podovirus GOM,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porcine parvovirus 6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Prochlorococcus phage Syn33,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0
Propionibacterium phage PHL041,0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas phage D3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas phage Lu11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Pseudomonas phage Phi-S1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Pseudomonas phage phi15,3,1,3,1,2,0,0,0,0,2,0,2,20,1,0,3,0,0,21,2,4
Pseudomonas phage phiIBB-PF7A,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,79,0,1,2,0,1
Pseudomonas phage PhiPA3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
Pseudomonas phage PPpW-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Pseudomonas phage PPpW-4,1,0,16,9,4,0,3,19,0,3,0,110,283,0,10,570,6,4,10,0,16
Pseudomonas phage PS5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
Psychrobacter phage pOW20-A,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
Rhizobium phage RR1-A,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0
Rhodococcus phage ReqiDocB7,0,1,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0
Rhodococcus phage RER2,0,0,0,0,0,0,0,0,0,0,0,1,255,0,0,0,0,0,0,0,0
Rhodococcus phage RGL3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Rhodoferax phage P26218,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseobacter phage SIO1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Saccharomonospora phage PIS 136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
SEN virus,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Simian adenovirus B,1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0
Simian immunodeficiency virus,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Siphovirus contig89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Spodoptera frugiperda multiple nucleopolyhedrovirus,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0
Spodoptera litura granulovirus,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Staphylococcus phage 2638A,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Staphylococcus phage 6ec,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Staphylococcus phage IME-SA4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0
Staphylococcus phage Ipla5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Staphylococcus phage phiIBB-SEP1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Staphylococcus phage phiIPLA-C1C,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Staphylococcus phage phiMR11,0,0,0,177,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Staphylococcus virus G1,10,11,9,6,13,6,6,12,3,7,3,8,16,11,4,4,25,1,8,16,10
Streptococcus phage 5093,0,0,0,1,0,0,2,1,0,0,0,0,46,1,1,1,2,0,0,2,0
Streptococcus phage C1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0
Streptococcus phage DT1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,12,0,0
Streptococcus phage EJ-1,0,0,0,0,0,1,0,0,0,0,1,1,43,1,2,0,0,0,0,0,0
Streptococcus phage M102,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage PH15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage phi30c,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage phi5218,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Streptococcus phage SPQS1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfolobales Mexican fusellovirus 1,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0
Synechococcus phage ACG-2014c,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Synechococcus phage S-CBS3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Thermoproteus tenax virus 1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,1
Thin paspalum asymptomatic virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Tobacco mosaic virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Tomato mosaic virus,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomato mottle mosaic virus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torque teno midi virus,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Torque teno mini virus 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Torque teno virus,6,1,0,1,17,25,1,5,0,1,0,0,1,0,0,218,0,0,0,0,0
TTV-like mini virus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Tupaiid herpesvirus 1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1
uncultured marine virus,8,8,1,0,0,2,0,0,0,0,1,0,2,0,0,25,1,0,1,1,1
Vibrio phage phi 3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Vibrio phage VD1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White spot syndrome virus,0,0,7,4,2,4,8,5,0,4,0,0,3,0,0,19,2,0,0,1,0
Yersinia phage phiR1-37,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,1,2,0,0,0,0
