"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"228","Megavirus courdo11",0,0,1,0,0,0,0,0
"229","Paramecium bursaria Chlorella virus AP110A",0,0,1,0,3,0,0,0
"230","Phaeocystis globosa virus 12T",0,0,1,0,2,0,1,0
"231","Phycodnaviridae",0,0,1,0,0,0,0,0
"232","Porcine reproductive and respiratory syndrome virus",0,0,1,0,0,0,0,0
"233","Streptococcus phage phi5218",0,0,1,0,0,0,0,0
"234","Torque teno midi virus",0,0,1,0,0,0,0,0
"235","unclassified dsDNA viruses",0,0,1,0,0,0,0,0
"236","White spot syndrome virus",0,0,1,0,0,1,5,0
"237","Alphabaculovirus",0,0,2,24,2,1,2,0
"238","Cafeteria roenbergensis virus BV-PW1",0,0,2,0,0,3,0,0
"239","Emiliania huxleyi virus 84",0,0,2,0,0,0,0,0
"240","Human papillomavirus type 107",0,0,2,0,0,1,0,0
"241","Human papillomavirus type 81",0,0,2,0,6,1,1,1
"242","Pigeon adenovirus 1",0,0,2,0,1,2,21,1
"243","Hyposoter fugitivus ichnovirus",0,0,4,0,2,6,0,0
"244","Siphovirus contig89",0,0,4,0,0,1,0,0
"245","Alphaherpesvirinae",0,0,0,1,0,0,0,0
"246","Betaentomopoxvirus",0,0,0,1,0,0,0,0
"247","Deerpox virus W-848-83",0,0,0,1,0,0,0,0
"248","Enterobacteria phage CUS-3",0,0,0,1,0,0,0,0
"249","Human papillomavirus type 114",0,0,0,1,0,0,0,0
"250","Lactobacillus phage Lv-1",0,0,0,1,0,0,100,0
"251","Micromonas pusilla virus 12T",0,0,0,1,0,0,0,0
"252","Pelagibacter phage HTVC019P",0,0,0,1,0,0,0,0
"253","Shewanella sp. phage 1/40",0,0,0,1,0,0,0,0
"254","Simian hemorrhagic fever virus",0,0,0,1,0,0,0,0
"255","Synechococcus phage ACG-2014f",0,0,0,1,0,0,0,0
"256","unclassified Polyomavirus",0,0,0,1,0,0,0,0
"257","Bacillus virus 1",0,0,0,2,0,0,0,0
"258","Choristoneura rosaceana entomopoxvirus 'L'",0,0,0,2,0,0,0,0
"259","Mimiviridae",0,0,0,2,0,0,0,3
"260","Proteus phage pPM_01",0,0,0,2,0,0,0,0
"261","Cronobacter phage vB_CsaP_GAP52",0,0,0,3,0,0,0,0
"262","T7likevirus",0,0,0,3,0,0,0,0
"263","Cellulophaga phage phiST",0,0,0,4,0,0,0,0
"264","Lactobacillus phage Sha1",0,0,0,4,0,0,0,0
"265","Leuconostoc phage phiMH1",0,0,0,4,0,0,0,0
"266","Pseudomonas phage Phi-S1",0,0,0,4,0,0,1,0
"267","Cardioderma polyomavirus",0,0,0,5,0,0,0,0
"268","Mesorhizobium phage vB_MloP_Lo5R7ANS",0,0,0,5,0,0,0,0
"269","Synechococcus phage ACG-2014c",0,0,0,5,0,0,0,0
"270","unclassified Myoviridae",0,0,0,7,0,0,0,0
"271","Staphylococcus phage 47",0,0,0,24,0,0,0,0
"272","Yersinia phage phiR1-37",0,0,0,25,0,0,0,0
"273","Moumouvirus goulette",0,0,0,48,0,0,7,0
"274","Geobacillus virus E2",0,0,0,51,0,0,0,0
"275","Bovine herpesvirus 1",0,0,0,82,0,0,0,0
"276","Ectocarpus siliculosus virus 1 (isolate Kaikoura)",0,0,0,109,0,0,0,10
"277","Merkel cell polyomavirus",0,0,0,160,0,0,0,0
"278","Emiliania huxleyi virus PS401",0,0,0,0,1,0,0,1
"279","Euproctis pseudoconspersa nucleopolyhedrovirus",0,0,0,0,1,0,0,0
"280","Human endogenous retrovirus ERV-9",0,0,0,0,1,1,0,0
"281","Lactobacillus phage phi jlb1",0,0,0,0,1,0,0,2
"282","Pandoravirus dulcis",0,0,0,0,1,2,1,0
"283","Papio hamadryas papillomavirus type 1",0,0,0,0,1,1,0,0
"284","Paramecium bursaria Chlorella virus CZ-2",0,0,0,0,1,0,0,0
"285","Phthorimaea operculella granulovirus",0,0,0,0,1,0,0,0
"286","Simian adenovirus B",0,0,0,0,1,0,0,0
"287","Simian immunodeficiency virus",0,0,0,0,1,0,0,0
"288","Spodoptera litura granulovirus",0,0,0,0,1,0,0,0
"289","uncultured phage MedDCM-OCT-S08-C964",0,0,0,0,1,0,0,0
"290","Varicellovirus",0,0,0,0,1,0,0,0
"291","Bacillus phage PBC1",0,0,0,0,2,0,0,0
"292","Spodoptera frugiperda multiple nucleopolyhedrovirus",0,0,0,0,2,0,0,0
"293","Tursiops truncatus papillomavirus 5",0,0,0,0,2,1,2,0
"294","Lactobacillus phage phiadh",0,0,0,0,5,0,393,0
"295","Alcelaphine herpesvirus 2",0,0,0,0,0,1,0,0
"296","Bovine herpesvirus 6",0,0,0,0,0,1,0,0
"297","Dendrolimus kikuchii nucleopolyhedrovirus",0,0,0,0,0,1,0,0
"298","Enterovirus B",0,0,0,0,0,1,0,66
"299","Heliothis zea nudivirus",0,0,0,0,0,1,0,0
"300","Human immunodeficiency virus 1",0,0,0,0,0,1,0,0
"301","Human papillomavirus type 84",0,0,0,0,0,1,0,0
"302","Kallithea virus",0,0,0,0,0,1,0,0
"303","Macacine herpesvirus 4",0,0,0,0,0,1,0,0
"304","Molluscum contagiosum virus subtype 1",0,0,0,0,0,1,0,0
"305","Ovine herpesvirus 2",0,0,0,0,0,1,0,0
"306","Porcine parvovirus 6",0,0,0,0,0,1,0,0
"307","Spodoptera frugiperda ascovirus 1a",0,0,0,0,0,1,0,0
"308","Synechococcus phage Syn19",0,0,0,0,0,1,0,0
"309","Human endogenous retrovirus K",0,0,0,0,0,2,0,0
"310","Acidianus two-tailed virus",0,0,0,0,0,0,1,0
"311","Archaeal BJ1 virus",0,0,0,0,0,0,1,0
"312","Choristoneura biennis entomopoxvirus 'L'",0,0,0,0,0,0,1,0
"313","Duck adenovirus 2",0,0,0,0,0,0,1,0
"314","Fowlpox virus strain NVSL",0,0,0,0,0,0,1,0
"315","Human herpesvirus 5",0,0,0,0,0,0,1,0
"316","Melanoplus sanguinipes entomopoxvirus",0,0,0,0,0,0,1,0
"317","Pithovirus sibericum",0,0,0,0,0,0,1,0
"318","Plantago asiatica mosaic virus",0,0,0,0,0,0,1,0
"319","Rat cytomegalovirus Maastricht",0,0,0,0,0,0,1,0
"320","Vibrio phage martha 12B12",0,0,0,0,0,0,1,0
"321","Lactobacillus phage phiAQ113",0,0,0,0,0,0,2,10
"322","Vibrio phage helene 12B3",0,0,0,0,0,0,3,0
"323","Rabbit hemorrhagic disease virus",0,0,0,0,0,0,7,0
"324","Lactobacillus phage c5",0,0,0,0,0,0,12,0
"325","Lactobacillus phage phig1e",0,0,0,0,0,0,19,0
"326","Lactobacillus phage JCL1032",0,0,0,0,0,0,47,0
"327","Emiliania huxleyi virus 164",0,0,0,0,0,0,0,1
"328","environmental samples",0,0,0,0,0,0,0,1
"329","Macaca fuscata rhadinovirus",0,0,0,0,0,0,0,1
"330","Pseudoplusia includens SNPV IE",0,0,0,0,0,0,0,1
"331","Pectobacterium phage My1",0,0,0,0,0,0,0,3
"332","Echovirus E25",0,0,0,0,0,0,0,5
"333","Coxsackievirus A9",0,0,0,0,0,0,0,50
"334","Enterococcus phage vB_Efae230P-4",0,0,0,0,0,0,0,123
"335","Enterovirus",0,0,0,0,0,0,0,123
"336","Streptococcus phage C1",0,0,0,0,0,0,0,666
