Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.145,0,1,52,2,8,0,0,0,1,0,6,0,0,0,2422,3,7,5,1,140,0,1,0,2,23,0,0,0,44,0,0,2,1,0,0
Vogue1A.01.146,0,0,1,0,0,1,0,0,6,6,27,0,0,0,9776,18,4,9,2,5,0,3,0,2,6,2,2,3,14,0,0,0,0,0,0
Vogue1A.01.147,0,0,1,0,4,0,0,0,10,24,1,0,0,0,13558,131,2520,1680,3,52,0,4,0,5,5,24,5,4,9,2,0,10,0,0,0
Vogue1A.01.150,0,0,3,0,0,0,1,0,1,43,5,0,0,0,1975,14,2,37,11,1,0,0,0,0,1,7,0,0,0,0,0,3,0,0,0
Vogue1A.01.152,0,0,4,0,0,0,0,0,1,3,2,0,0,0,5776,16,6,33,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Vogue1A.01.156,0,0,88,0,0,0,0,0,11,7,3,0,0,0,6214,9,15,13,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Vogue1A.01.157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1673,6,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Vogue1A.01.161,0,0,0,0,0,0,0,0,4,24,1,0,0,0,20640,310,12,135,2,10,0,1,0,3,5,10,0,6,3,0,0,2,1,0,0
Vogue1A.01.162,0,0,0,0,0,0,0,0,0,26,6,0,0,0,3703,310,52,2342,0,2,0,1,0,2,4,17,0,2,4,0,0,0,0,0,0
Vogue1A.01.163,0,0,0,0,0,0,1,0,1,10,8,5,0,0,13018,198,2895,19,0,5,0,0,0,2,5,35,0,1,8,0,0,0,0,0,0
Vogue1A.01.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,1,609,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vogue1A.01.169,0,0,0,0,0,0,0,0,2,63,73,40,1,0,19873,342,1857,634,0,8,0,1,0,3,3,90,0,1,3,0,0,0,0,0,0
Vogue1A.01.170,0,0,0,0,0,0,0,0,4,26,1,0,0,0,26028,282,25,38,0,100,0,9,0,19,2,6,4,3,7,0,0,3,12,0,13
Vogue1A.01.172,0,0,0,0,0,0,0,0,1,1,7,2,0,0,4106,22,18,49,0,9,0,0,0,3,2,1,1,0,0,0,0,1,1,0,0
Vogue1A.01.173,0,0,0,0,2,0,0,0,4,8,0,0,0,0,4789,94,11,126,0,1,0,0,0,0,1,0,2,0,3,0,0,5,0,0,0
Vogue1A.01.174,0,0,0,0,5,0,0,0,0,5,20,0,0,0,2375,33,1,2,0,0,0,1,0,0,4,3,2,0,17,0,0,0,0,0,0
Vogue1A.01.175,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3362,135,23,1064,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
Vogue1A.01.184,0,1,0,0,8,0,0,0,0,2,18,1,0,0,951,24,552,2,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
Vogue1A.01.186,0,0,0,0,0,0,0,0,1,11,1,0,0,0,5938,39,1114,47,0,1,0,0,0,4,5,8,1,1,2,0,0,0,0,0,2
Vogue1A.01.187,0,0,0,0,0,1,0,0,0,623,11,0,2,0,944,218,5,6,0,4,0,0,0,0,1,3,1,7,2,0,0,2,1,0,0
Vogue1A.01.191,0,0,0,0,0,0,0,0,0,12,2,0,0,0,10792,44,3,15,0,1,0,0,0,1,2,2,0,0,1,0,1,0,2,0,0
Vogue1A.01.192,0,0,11,0,9,40,0,0,5,14,3,0,0,0,23936,124,40,259,64,11,0,0,0,4,4,0,3,0,11,6,4,39,0,0,0
Vogue1A.01.197,0,0,0,0,3,0,2,0,9,9,0,0,0,0,7753,16,5,14,0,43,0,0,0,3,1,1,0,3,8,0,0,1,0,0,0
Vogue1A.01.198,0,0,0,0,15,0,3,0,4,10,3,0,0,0,8271,60,35,118,0,14,0,44,1,4,9,4,5,5,1,1,0,5,11,0,3
Vogue1A.01.200,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1984,4,1,2,33,18,0,2,17,0,3,2,0,268,2,0,0,18,0,0,6
Vogue1A.01.201,0,0,0,0,0,0,0,0,6,2,1,0,0,0,737,4,4,3,174,1,0,11,0,0,6,2,0,235,2,0,0,0,0,0,2
Vogue1A.01.203,0,82,0,0,0,0,80,0,27,6,468,11,0,0,768,2,143,3,194,26,0,35,1,0,0,12,208,392,3,0,0,116,62,0,74
Vogue1A.01.205,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1187,3,4,17,1,2,0,1,0,1,1,1,1,14,0,0,0,0,1,0,0
Vogue1A.01.207,0,0,0,0,1,0,0,0,2,8,3,0,0,0,5012,10,6,40,2,2,0,0,3,1,5,11,11,46,13,0,0,0,0,0,1
Vogue1A.01.208,0,0,0,0,0,0,20,0,0,10,8,1,0,0,389,9,434,6,3,10,0,24,0,3,16,20,26,21,0,0,0,1,1,0,2
Vogue1A.01.211,0,0,0,0,35,0,0,0,1,709,101,32,3,0,6068,90,57,38,407,660,0,1,162,1,1426,11,38,817,20,1,0,3,124,0,9
Vogue1A.01.212,0,0,22,0,0,0,0,0,2,16,102,4,0,0,2527,16,22,8,60,4,0,1,0,1,16,0,0,24,9,0,1,12,2,0,0
Vogue1A.01.213,0,0,0,0,0,0,2,0,53,20,13,2,0,0,8794,57,7601,526,6,11,0,0,0,3,6,3,2,23,18,0,0,0,6,0,2
Vogue1A.01.214,0,1,8,0,0,0,0,0,1,19,1244,43,1,0,4083,10,56,216,422,187,29,64,20,1,39,0,1,415,0,0,0,1,61,0,38
Vogue1A.01.215,0,0,5,6,2,0,7,0,2,11,195,13,0,0,6930,18,2,10,77,24,0,0,0,1,11,4,7,23,5,0,0,8,1,0,2
Vogue1A.01.216,0,0,50,0,8,116,0,0,5,76,1371,52,0,0,3910,50,99,5,443,64,4,7,6,2,6,1,140,19,60,6,27,167,0,0,24
Vogue1A.01.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Vogue1A.01.218,0,0,0,0,0,0,0,0,10,7,0,0,0,0,6619,24,18,106,0,2,0,0,0,5,0,1,1,2,4,0,0,0,0,0,0
Vogue1A.01.219,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1684,4,11,31,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Vogue1A.01.224,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1301,2,49,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vogue1A.01.227,0,0,0,1,3,0,0,0,5,143,2,0,0,0,9270,2392,3013,1259,0,32,0,2,0,5,9,43,1,10,19,0,0,6,0,0,0
Vogue1A.01.231,0,0,0,0,1,0,0,0,1,9,0,1,0,0,3645,14,1,123,0,2,0,0,0,3,1,0,2,2,0,0,0,3,0,0,4
Vogue1A.01.233,0,0,3,0,0,0,0,0,0,18,3,0,0,0,7827,8,0,7,1,3,0,0,0,1,1,2,2,1,2,1,1,1,0,0,0
Vogue1A.01.236,0,0,2,0,2,0,0,0,0,7,2,3,0,0,5126,19,6,8,1,7,3,35,0,0,1,0,10,2,3,2,1,11,0,0,0
Vogue1A.01.237,0,8,0,0,10,0,0,0,3,14,2,1,0,0,8543,59,2,118,0,9,0,0,0,3,1,3,2,1,3,0,0,0,0,0,0
Vogue1A.01.238,0,0,9,0,4,0,0,0,1,18,7,2,0,0,1901,7,12,6,17,13,0,0,0,2,8,0,0,23,0,0,9,0,0,0,2
