,Total,Vogue 1B 01-001,Vogue 1B 01-002,Vogue 1B 01-003,Vogue 1B 01-004,Vogue 1B 01-005,Vogue 1B 01-006,Vogue 1B 01-007,Vogue 1B 01-008,Vogue 1B 01-009,Vogue 1B 01-010,Vogue 1B 01-011,Vogue 1B 01-012,Vogue 1B 01-013,Vogue 1B 01-014,Vogue 1B 01-015,Vogue 1B 01-016,Vogue 1B 01-017,Vogue 1B 01-018,Vogue 1B 01-019,Vogue 1B 01-020,Vogue 1B 01-021,Vogue 1B 01-022,Vogue 1B 01-023,Vogue 1B 01-024,Vogue 1B 01-025,Vogue 1B 01-026,Vogue 1B 01-027,Vogue 1B 01-028,Vogue 1B 01-029,Vogue 1B 01-030,Vogue 1B 01-031,Vogue 1B 01-032,Vogue 1B 01-033,Vogue 1B 01-034,Vogue 1B 01-035,Vogue 1B 01-036,Vogue 1B 01-037,Vogue 1B 01-038,Vogue 1B 01-039,Vogue 1B 01-040,Vogue 1B 01-041,Vogue 1B 01-042,Vogue 1B 01-043,Vogue 1B 01-044,Vogue 1B 01-045,Vogue 1B 01-046,Vogue 1B 01-047,Vogue 1B 01-048,Vogue 1B 01-049,Vogue 1B 01-050,Vogue 1B 01-051,Vogue 1B 01-052,Vogue 1B 01-053,Vogue 1B 01-054
Prevotella loescheii JCM,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,1,0,28,0,0,0,0,3,0,0,0,0,0,0,0
Eubacterium ventriosum ATCC,964,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,74,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,28,0,9,0,0,0,125,16,2,0,0
Arthrobacter arilaitensis Re117,813,0,0,0,117,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,14,364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Aerococcus urinae ATCC,737,2,0,0,0,0,1,10,0,4,0,5,316,6,0,94,1,0,72,0,0,0,1,0,0,0,0,0,17,0,12,4,0,0,0,52,1,0,0,0,1,0,115,1,0,0,0,0,8,0,7,7,0,0,0
Prevotella melaninogenica ATCC,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,713,0,0,0
Chlorobium phaeobacteroides DSM,705,0,0,0,2,0,0,0,0,0,0,1,1,0,0,678,13,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter rectus ATCC,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,0,0,0,0,9,0,0,0,0,652,0,0,0
Dictyostelium discoideum AX4,690,0,0,0,0,0,0,0,0,5,1,22,0,0,0,0,0,0,43,0,0,5,0,0,42,0,10,0,0,0,5,0,0,1,0,0,0,1,0,0,107,1,0,4,0,0,2,0,0,0,441,0,0,0,0
Bifidobacterium dentium JCM1195,685,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
Prevotella buccae ATCC,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,634,0,0,0
Lactobacillus coleohominis 101-4-CHN,654,0,8,34,0,0,333,10,4,0,12,0,0,0,6,0,1,0,0,0,0,0,0,80,0,2,0,0,1,0,13,0,0,0,54,0,2,0,0,0,0,14,0,0,1,0,0,3,1,3,0,0,22,50,0
Peptoniphilus harei ACS-146-V-Sch2b,627,4,1,0,1,0,0,0,0,85,1,1,11,0,0,2,0,1,12,0,0,0,0,0,0,0,34,0,0,0,5,10,0,0,0,0,0,20,0,0,108,0,1,0,3,0,10,0,0,0,97,220,0,0,0
Megasphaera micronuciformis F0359,599,6,0,0,0,0,0,0,0,9,0,17,0,1,0,4,0,28,298,0,0,0,2,1,23,0,19,0,0,9,1,38,6,0,0,0,0,0,0,1,108,0,0,2,14,0,1,0,0,0,9,2,0,0,0
Dialister succinatiphilus YIT,587,12,0,0,0,0,0,0,2,41,0,38,0,0,0,46,0,0,136,1,0,2,0,1,7,0,22,0,0,5,34,2,0,0,0,0,0,7,0,0,76,0,0,3,34,0,1,1,0,0,99,17,0,0,0
Butyrivibrio crossotus ATCC,556,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,446,0,0,0,0,0,1,0,0,0,64,6,0,0,0
Prevotella disiens ATCC,521,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,9,0,0,0,1,494,0,0,0
Selenomonas noxia ATCC,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella lenta DSM,507,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,91,0,0,2,0,0,6,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,150,0,0,0,3,0,1,0,0,0,196,27,0,0,0
Mobiluncus curtsii subsp.,500,0,0,0,0,0,0,0,3,1,0,231,1,0,0,90,5,0,9,0,0,4,0,6,57,0,0,0,0,0,10,4,0,1,0,1,1,0,51,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella sp. 1_3_56FAA,487,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,63,0,0,2,0,0,10,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,160,0,0,0,3,0,0,0,0,0,145,69,0,0,0
Tepidanaerobacter sp. Re1,483,9,0,0,0,1,2,0,2,2,0,16,1,2,0,78,1,0,39,0,0,0,0,0,26,0,10,0,0,0,2,0,0,0,0,1,0,1,0,0,20,0,3,1,6,0,0,0,0,0,260,0,0,0,0
Paraprevotella clara JCM,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,476,0,0,0
Prevotella sp. oral,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,359,0,0,0
Corynebacterium amycolatum ATCC,375,0,0,0,54,0,0,0,0,11,0,0,0,0,0,125,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,155,0,0,1,3,0,0,0,0,1,0,0,0,2,0,2,0
Slackia exigua ATCC,359,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39,0,0,0,0,0,4,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,94,0,0,0,0,0,5,0,0,0,202,0,0,0,0
stercorarium subsp. stercorarium,343,3,0,0,0,0,0,0,0,6,0,32,0,0,0,0,0,0,36,1,0,3,0,0,44,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,3,1,1,0,0,0,0,183,0,0,0,0
Alcaligenes faecalis subsp.,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes caccae DSM14662,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella paludivivens JCM,314,0,0,0,0,0,0,0,0,0,1,21,0,0,0,146,5,102,0,0,0,3,0,0,1,0,0,0,0,8,5,0,1,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Anaerostipes sp. 3_2_56FAA,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dethiobacter alkaliphilus AHT,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,243,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0
Pediococcus dextrinicus ATCC,285,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri JCM1112,269,0,8,0,0,0,145,2,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,34,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,2,0,17,0,0
Clostridium symbiosum WAL-14163,263,30,0,0,0,0,0,0,0,4,0,15,0,1,0,0,0,0,38,2,0,0,0,0,14,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,1,7,0,0,0,0,0,122,1,1,0,0
Shigella boydii 5216-82,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
Shigella dysenteriae 155-74,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
Ruminococcus callidus ATCC,242,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,9,0,0,1,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,3,0,1,0,0,0,77,0,0,0,0
Ruminococcus lactaris ATCC,239,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,18,0,0,2,0,0,19,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,1,0,1,0,0,0,0,149,0,0,0,0
Bifidobacterium infantis 6w-50,227,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Prevotella dentasini JCM,226,0,0,0,0,0,0,0,1,0,0,9,0,0,0,182,0,13,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,3,0,0,0
Bacillus marinus CECT,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0
Prevotella dentalis JCM,215,0,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,19,152,0,0,0
Bifidobacterium suis JCM7139,212,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cryptobacterium curtum DSM,204,0,0,0,0,0,0,0,0,0,0,2,0,0,0,85,2,0,7,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,69,0,0,0,2,0,1,0,0,0,31,1,0,0,0
Caldithrix abyssi DSM,193,2,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,33,0,0,3,0,0,21,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,71,0,1,0,0
Streptococcus thermophilus ATCC,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melissococcus plutonius ATCC,182,2,0,0,0,0,0,0,0,0,0,0,85,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,12,0,0,0,0,0,0,43,0,0,0,0,0,1,0,3,1,0,0,0
Bifidobacterium kashiwanohense HM2-1,173,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus coagulans CECT12,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardia cyriacigeorgica GUH-2,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus sp. ATCC,163,0,7,10,0,0,69,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,1,0,9,16,0
Roseburia hominis A2-183,144,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,9,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,1,0,0,0,68,4,0,0,0
Porphyromonas macacae ATCC,143,0,0,0,0,0,0,0,0,4,0,6,0,0,0,36,0,32,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,46,1,0,0,0
Streptococcus salivarius subsp.,143,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arcanobacterium haemolyticum DSM,142,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,100,0,0,2,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Dialister invisus DSM,142,3,0,0,0,0,0,0,0,6,0,9,0,0,0,13,0,0,31,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,19,0,0,16,0,2,0,0,0,1,0,0,0,12,22,0,0,0
Prevotella copri DSM,142,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,101,21,0,0,0
