"","var","chao"
"197","Vogue1A.01.205",16
"198","Vogue1A.01.206",18
"199","Vogue1A.01.207",19
"200","Vogue1A.01.208",20
"201","Vogue1A.01.209",14
"202","Vogue1A.01.210",22
"203","Vogue1A.01.211",25
"204","Vogue1A.01.212",20
"205","Vogue1A.01.213",20
"206","Vogue1A.01.214",24
"207","Vogue1A.01.215",24
"208","Vogue1A.01.216",27
"209","Vogue1A.01.217",7
"210","Vogue1A.01.218",13
"211","Vogue1A.01.219",10
"212","Vogue1A.01.220",21
"213","Vogue1A.01.221",19
"214","Vogue1A.01.222",23
"215","Vogue1A.01.223",18
"216","Vogue1A.01.224",7
"217","Vogue1A.01.225",14
"218","Vogue1A.01.226",23
"219","Vogue1A.01.227",19
"220","Vogue1A.01.228",16
"221","Vogue1A.01.229",24
"222","Vogue1A.01.230",18
"223","Vogue1A.01.231",16
"224","Vogue1A.01.232",20
"225","Vogue1A.01.233",18
"226","Vogue1A.01.234",24
"227","Vogue1A.01.235",16
"228","Vogue1A.01.236",21
"229","Vogue1A.01.237",18
"230","Vogue1A.01.238",18
"231","Vogue1A.01.239",21
"232","Vogue1A.01.240",16
"233","Vogue1A.01.241",23
"234","Vogue1A.01.242",22
"235","Vogue1A.01.243",14
"236","Vogue1A.01.244",20
"237","Vogue1A.01.245",19
"238","Vogue1A.01.246",17
"239","Vogue1A.01.247",10
"240","Vogue1A.01.248",18
"241","Vogue1A.01.249",17
"242","Vogue1A.01.250",6
"243","Vogue1A.01.251",13
"244","Vogue1A.01.252",18
"245","Vogue1A.01.253",9
"246","Vogue1A.01.254",20
"247","Vogue1A.01.255",20
"248","Vogue1A.01.256",19
"249","Vogue1A.01.257",22
"250","Vogue1A.01.258",26
"251","Vogue1A.01.259",23
"252","Vogue1A.01.260",23
"253","Vogue1A.01.261",23
"254","Vogue1A.01.262",27
"255","Vogue1A.01.263",21
"256","Vogue1A.01.264",25
"257","Vogue1A.01.265",18
"258","Vogue1A.01.266",22
"259","Vogue1A.01.267",26
"260","Vogue1A.01.268",19
"261","Vogue1A.01.269",22
"262","Vogue1A.01.270",23
"263","Vogue1A.01.271",25
"264","Vogue1A.01.272",15
"265","Vogue1A.01.273",19
"266","Vogue1A.01.274",20
"267","Vogue1A.01.275",25
"268","Vogue1A.01.276",25
"269","Vogue1A.01.277",23
"270","Vogue1A.01.278",22
"271","Vogue1A.01.279",24
"272","Vogue1A.01.280",14
"273","Vogue1A.01.281",26
"274","Vogue1A.01.282",22
"275","Vogue1A.01.283",22
"276","Vogue1A.01.284",22
"277","Vogue1A.01.285",30
"278","Vogue1A.01.286",22
"279","Vogue1A.01.287",21
"280","Vogue1A.01.288",19
"281","Vogue1A.01.289",24
"282","Vogue1A.01.290",17
"283","Vogue1A.01.291",29
"284","Vogue1A.01.292",19
"285","Vogue1A.01.293",21
"286","Vogue1A.01.294",21
"287","Vogue1A.01.295",16
"288","Vogue1A.01.296",19
"289","Vogue1A.01.297",21
"290","Vogue1A.01.298",20
"291","Vogue1A.01.300",20
"292","Vogue1A.01.301",17
"293","Vogue1A.01.302",24
"294","Vogue1A.01.303",22
"295","Vogue1A.01.304",16
"296","Vogue1A.01.305",17
"297","Vogue1A.01.306",23
"298","Vogue1A.01.307",16
"299","Vogue1A.01.308",15
"300","Vogue1A.01.309",20
"301","Vogue1A.01.310",20
"302","Vogue1A.01.311",23
"303","Vogue1A.01.312",19
"304","Vogue1A.01.313",21
"305","Vogue1A.01.314",20
"306","Vogue1A.01.316",16
"307","Vogue1A.01.317",21
"308","Vogue1A.01.318",18
"309","Vogue1A.01.319",19
"310","Vogue1A.01.320",18
