Simple name	Group	TOTAL frequency	1B2_01_26	1B2_01_35	1B2_01_37	1B2_01_38	1B2_01_50	1B2_01_52	1B2_01_56	1B2_01_58	1B2_01_61	1B2_01_62	1B2_01_63	1B2_01_64
Prevotella dentasini	Bacteroidetes	164	0	0	0	0	0	0	160	0	3	1	0	0
Prevotella disiens	Bacteroidetes	185	0	0	0	0	0	0	180	0	5	0	0	0
Prevotella loescheii	Other Bacteroidetes	1	0	0	0	0	0	0	1	0	0	0	0	0
Prevotella melaninogenica	Other Bacteroidetes	10	0	0	0	0	0	0	0	0	0	0	0	10
Prevotella oralis	Other Bacteroidetes	3	0	0	0	0	0	0	0	0	0	0	0	3
Prevotella paludivivens	Other Bacteroidetes	32	0	0	0	1	0	0	30	0	1	0	0	0
Prevotella tannerae 	Other Bacteroidetes	1	0	0	0	0	0	0	0	0	0	0	0	1
Prevotella timonensis	Bacteroidetes	2834	635	0	0	0	4	4	2151	2	35	2	0	1
Prevotella timonensis	Bacteroidetes	122	13	0	0	0	0	0	107	0	2	0	0	0
Prevotella timonensis	Bacteroidetes	67	25	0	0	0	0	0	42	0	0	0	0	0
Prevotella timonensis	Bacteroidetes	47	8	0	0	0	0	4	30	0	0	5	0	0
Prevotella veroralis 	Other Bacteroidetes	2	0	0	0	0	0	0	2	0	0	0	0	0
Bacteroides pectinophilus	Bacteroidetes	9	0	0	0	9	0	0	0	0	0	0	0	0
Bacteroides pectinophilus	Bacteroidetes	5	0	0	0	5	0	0	0	0	0	0	0	0
Porphyromonas uenonis	Bacteroidetes	1	0	0	0	0	0	0	0	0	0	1	0	0
Prevotella bivia	Bacteroidetes	115	75	0	0	0	0	30	0	0	1	8	0	1
Prevotella bivia	Bacteroidetes	9	8	0	0	0	0	0	0	0	0	0	1	0
Prevotella bivia	Bacteroidetes	8	0	0	0	0	0	0	8	0	0	0	0	0
Prosthecochloris vibrioformis 	Bacteroidetes	3	0	0	0	0	0	0	3	0	0	0	0	0
Blautia hansenii 	Other Firmicutes	3	0	0	0	3	0	0	0	0	0	0	0	0
Blautia hansenii 	Other Firmicutes	3	0	0	0	0	0	0	2	0	0	0	0	1
Megasphaera sp. genomosp. type_1	firm./neg	583	578	0	0	0	1	2	0	1	0	0	0	1
Megasphaera sp. genomosp. type_1	firm./neg	17	17	0	0	0	0	0	0	0	0	0	0	0
Megasphaera sp. genomosp. type_1	firm./neg	6	6	0	0	0	0	0	0	0	0	0	0	0
Megasphaera sp. genomosp. type_1	firm./neg	1	1	0	0	0	0	0	0	0	0	0	0	0
Aerococcus urinae	Other Firmicutes	76	50	13	1	0	1	1	0	6	0	4	0	0
Atopostipes suicloacalis 	Other Firmicutes	40	0	0	0	39	0	0	0	0	0	0	1	0
Atopostipes suicloacalis 	Other Firmicutes	4	4	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus acidophilus 	Other Lactobacillus	55	1	0	7	1	31	0	0	14	0	0	0	1
Lactobacillus acidophilus 	Other Lactobacillus	14	0	0	0	1	0	0	0	2	0	0	11	0
Lactobacillus acidophilus 	Other Lactobacillus	1	0	0	0	1	0	0	0	0	0	0	0	0
Lactobacillus coleohominis	Other Lactobacillus	11	0	0	0	3	0	0	0	8	0	0	0	0
Lactobacillus coleohominis	Other Lactobacillus	6	0	0	0	0	1	0	0	0	0	0	5	0
Lactobacillus crispatus	Firm/Bacilli	8286	0	3	5	8	8	20	39	3550	1	10	4627	15
Lactobacillus crispatus	Firm/Bacilli	379	1	0	1	0	0	0	1	199	0	0	175	2
Lactobacillus crispatus	Firm/Bacilli	98	0	0	0	5	0	1	0	34	0	0	57	1
Lactobacillus crispatus	Firm/Bacilli	41	0	0	0	0	2	0	0	23	0	0	16	0
Lactobacillus crispatus	Firm/Bacilli	4	0	0	0	0	0	0	0	0	0	0	4	0
Lactobacillus crispatus	Firm/Bacilli	4	0	0	1	0	0	1	0	0	1	0	1	0
Lactobacillus crispatus	Firm/Bacilli	2	0	0	0	2	0	0	0	0	0	0	0	0
Lactobacillus crispatus	Firm/Bacilli	1	0	0	0	0	0	0	0	1	0	0	0	0
Lactobacillus gasseri	Firm/Bacilli	2217	0	0	0	0	31	2146	16	3	19	1	0	1
Lactobacillus gasseri	Firm/Bacilli	441	0	2	8	206	18	191	0	6	1	6	2	1
Lactobacillus gasseri	Firm/Bacilli	204	0	0	0	0	2	200	1	0	1	0	0	0
Lactobacillus gasseri	Firm/Bacilli	40	0	0	0	0	0	38	0	2	0	0	0	0
Lactobacillus gasseri	Firm/Bacilli	17	0	0	0	0	0	17	0	0	0	0	0	0
Lactobacillus gasseri	Firm/Bacilli	7	0	0	0	0	0	7	0	0	0	0	0	0
Lactobacillus gasseri	Firm/Bacilli	2	0	0	0	2	0	0	0	0	0	0	0	0
Lactobacillus gasseri	Firm/Bacilli	1	0	0	0	1	0	0	0	0	0	0	0	0
Lactobacillus iners	Firm/Bacilli	13473	11	7	1396	158	8769	1	17	2817	1	89	9	198
Lactobacillus iners	Firm/Bacilli	733	3	0	270	32	410	0	0	0	0	0	0	18
Lactobacillus jensenii	Firm/Bacilli	258	21	11	9	19	11	23	4	8	2	8	140	2
Lactobacillus jensenii	Firm/Bacilli	1	0	0	0	0	0	0	0	0	0	0	1	0
Lactobacillus plantarum	Other Lactobacillus	70	0	2	6	7	18	12	4	7	2	2	6	4
Lactobacillus reuteri	Other Lactobacillus	29	0	0	0	0	6	5	1	0	0	0	17	0
Lactobacillus ultunensis	Other Lactobacillus	23	0	6	4	0	1	2	0	0	0	10	0	0
Leuconostoc lactis	Other Firmicutes	1	0	0	0	0	1	0	0	0	0	0	0	0
Streptococcus devriesei	Streptococcus	325	2	8	23	35	51	41	15	35	21	39	25	30
Streptococcus infantis	Streptococcus	3	0	0	0	3	0	0	0	0	0	0	0	0
Streptococcus mitis	Streptococcus	2	0	0	0	2	0	0	0	0	0	0	0	0
Streptococcus pseudopneumoniae	Streptococcus	4	0	0	0	4	0	0	0	0	0	0	0	0
Streptococcus salivarius subsp. salivarius	Streptococcus	2	0	0	0	2	0	0	0	0	0	0	0	0
Streptococcus sanguinis	Streptococcus	250	0	0	0	249	0	0	0	0	0	0	0	1
Streptococcus sanguinis	Streptococcus	5	0	0	0	5	0	0	0	0	0	0	0	0
Streptococcus suis	Streptococcus	1	0	0	0	1	0	0	0	0	0	0	0	0
Streptococcus urinalis	Streptococcus	2	0	0	0	0	0	0	2	0	0	0	0	0
Streptococcus vestibularis	Streptococcus	8	0	0	0	8	0	0	0	0	0	0	0	0
Streptococcus waius	Streptococcus	21	0	0	0	20	0	1	0	0	0	0	0	0
Caldicellulosiruptor saccharolyticus	Other Firmicutes	1	0	0	0	1	0	0	0	0	0	0	0	0
Clostridia sp. (BVAB2)	Firm/Clos	602	22	0	0	0	0	0	352	0	9	56	1	162
Clostridia sp. (BVAB2)	Firm/Clos	384	53	65	0	1	7	11	123	1	28	14	1	80
Clostridia sp. (BVAB2)	Firm/Clos	167	3	1	0	0	0	0	3	3	0	135	0	22
Clostridia sp. (BVAB2)	Firm/Clos	19	0	0	0	0	0	0	13	0	0	0	0	6
Clostridia sp. (BVAB2)	Firm/Clos	9	2	0	0	0	0	0	4	0	0	0	0	3
Clostridia sp. (BVAB2)	Firm/Clos	1	1	0	0	0	0	0	0	0	0	0	0	0
Clostridium genomosp. BVAB3	Firm/Clos	590	188	3	0	0	0	0	0	10	0	382	0	7
Clostridium genomosp. BVAB3	Firm/Clos	15	0	0	0	0	0	0	0	0	0	15	0	0
Clostridium genomosp. BVAB3	Firm/Clos	8	8	0	0	0	0	0	0	0	0	0	0	0
Clostridium stercorarium subsp. stercorarium	Firm/Clos	32	19	0	0	0	0	0	0	0	1	12	0	0
Desulfotomaculum hydrothermale	Other Clostridium	9	0	0	0	0	0	0	9	0	0	0	0	0
Eubacterium coprostanoligenes	Other Clostridium	5	0	0	0	0	0	0	0	0	0	5	0	0
Eubacterium eligen	Other Clostridium	5	0	0	0	5	0	0	0	0	0	0	0	0
Faecalibacterium cf. prausnitzii	Other Clostridium	97	0	1	10	15	24	8	1	2	7	14	4	11
Peptoniphilus harei	Other Clostridium	80	2	0	6	14	10	6	7	5	13	1	4	12
Peptoniphilus harei	Other Clostridium	40	0	0	0	39	0	0	1	0	0	0	0	0
Peptoniphilus harei	Other Clostridium	30	0	0	0	0	0	0	24	0	2	0	0	4
Peptoniphilus harei	Other Clostridium	1	0	0	0	0	0	0	0	0	1	0	0	0
Peptoniphilus harei	Other Clostridium	1	0	0	0	0	0	0	1	0	0	0	0	0
Peptoniphilus lacrimalis	Other Clostridium	1	0	0	0	0	0	0	1	0	0	0	0	0
Veillonella parvula	Other Clostridium	4	0	0	0	0	0	4	0	0	0	0	0	0
Coprococcus eutactus	Other Clostridium	22	0	0	1	0	10	0	0	8	0	0	2	1
Bulleidia extructa	Other Firmicutes	22	3	0	0	0	0	0	18	0	0	1	0	0
Acidaminococcus fermentans	Other Firmicutes	34	0	0	3	0	7	7	1	7	0	2	6	1
Acidaminococcus fermentans	Other Firmicutes	1	0	0	0	0	0	0	1	0	0	0	0	0
Anaeroglobus geminatus	Other Firmicutes	37	37	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus geminatus	Other Firmicutes	2	2	0	0	0	0	0	0	0	0	0	0	0
Dialister invisus 	Other Firmicutes	5	0	0	0	5	0	0	0	0	0	0	0	0
Dialister invisus 	Other Firmicutes	3	0	0	0	3	0	0	0	0	0	0	0	0
Megasphaera cerevisiae	firm/neg	564	0	9	0	0	0	0	0	7	0	546	2	0
Mitsuokella multacida	Other Firmicutes	3	0	0	0	0	0	0	0	1	0	0	2	0
Streptobacillus moniliformis	Other Bacteria	2	0	0	0	0	0	0	2	0	0	0	0	0
Trichechus manatus latirostris 	Other Bacteria	4	1	0	0	0	0	0	0	0	0	3	0	0
Prevotella bergensis	Bacteroidetes	595	0	0	0	0	1	0	576	0	16	1	0	1
Acinetobacter junii	Other Proteobacteria	1	0	0	0	0	0	0	0	0	0	0	1	0
Acinetobacter lwoffii	Other Proteobacteria	1	1	0	0	0	0	0	0	0	0	0	0	0
Burkholderia glumae	Other Proteobacteria	1	0	0	0	0	0	0	0	0	0	1	0	0
Escherichia coli	Proteobac	1740	0	0	1	1738	0	0	0	1	0	0	0	0
Haemophilus haemolyticus	Other Proteobacteria	12	0	0	0	0	0	0	0	0	0	0	0	12
Haemophilus haemolyticus	Other Proteobacteria	8	0	0	0	0	0	0	0	2	0	0	0	6
Magnetospirillum magnetotacticum	Other Proteobacteria	11	2	0	1	1	1	4	2	0	0	0	0	0
Methylobacillus flagellatus	Other Proteobacteria	15	0	0	3	0	2	0	0	0	0	10	0	0
Pseudomonas fluorescens	Other Proteobacteria	1	0	0	0	0	0	0	0	0	0	0	1	0
Ralstonia pickettii 	Other Proteobacteria	2	0	0	1	1	0	0	0	0	0	0	0	0
Serratia proteamaculans strain 568	Other Proteobacteria	1	0	0	0	1	0	0	0	0	0	0	0	0
Shigella sonnei	Other Proteobacteria	20	2	1	0	0	4	9	1	0	0	2	0	1
