"","uid","DNA_Adeno","DNA_KlenNeg_A12","DNA_KlenNeg_A11","DNA_NTC_A9","DNA_NTC_E12","RNA_NTC_B9","RNA_NTC_B11","RNA_KlenNeg_B12","RNA_Entero","name","rank"
"36","130308",4,0,0,0,0,0,0,0,0,"Human mastadenovirus E","species"
"37","10596",5,0,0,0,0,0,0,0,0,"Human papillomavirus type 56","no rank"
"38","419435",5,0,0,2,0,5,3,1,0,"Glypta fumiferanae ichnovirus","species"
"39","372443",8,0,0,1,12,0,0,0,0,"unclassified Coccolithovirus","no rank"
"40","151340",9,1,12,3,4,0,0,0,0,"Papillomaviridae","family"
"41","346673",9,0,0,4,3,0,0,0,0,"Coccolithovirus","genus"
"42","298334",11,0,0,0,0,0,0,0,0,"Simian mastadenovirus A","species"
"43","202250",13,0,2,0,2,0,0,0,0,"Human papillomavirus type 89","no rank"
"44","46929",17,0,0,0,0,0,1,0,0,"Human adenovirus 27","no rank"
"45","28276",18,0,0,0,0,0,0,0,0,"Human adenovirus 15","no rank"
"46","108098",20,0,0,0,0,0,0,0,0,"Human mastadenovirus B","species"
"47","10376",21,0,0,3,2,0,1,0,0,"Human herpesvirus 4","species"
"48","46938",38,0,0,0,0,0,0,0,0,"Human adenovirus 43","no rank"
"49","216370",65,0,1,0,0,0,2,0,0,"Human adenovirus 8E","no rank"
"50","10508",92,0,0,0,2,0,2,0,0,"Adenoviridae","family"
"51","31545",110,0,0,0,0,0,0,0,0,"Human adenovirus D8","no rank"
"52","28278",1029,0,0,0,20,0,16,0,0,"Human adenovirus 19","no rank"
"53","46924",1050,0,0,0,12,0,13,0,0,"Human adenovirus 22","no rank"
"54","10509",1207,0,0,0,11,0,26,0,0,"Mastadenovirus","genus"
"55","130310",16576,0,6,0,214,1,336,0,0,"Human mastadenovirus D","species"
"56","542836",1,0,0,0,3,0,0,0,0,"Picovirinae","subfamily"
"57","12402",0,1,0,0,0,0,0,0,0,"Streptococcus phage EJ-1","species"
"58","318569",0,1,0,0,0,0,0,0,1200,"Enterovirus B86","no rank"
"59","82639",0,1,0,0,0,0,0,0,1,"Coxsackievirus B2","no rank"
"60","333769",0,2,1,2,0,0,0,0,0,"Human papillomavirus type 90","no rank"
"61","12071",0,6,0,0,0,0,0,0,150,"Coxsackievirus B1","no rank"
"62","45101",0,11,0,0,0,0,0,0,713,"Echovirus E25","no rank"
"63","12067",0,130,0,0,0,1,2,0,11663,"Coxsackievirus A9","no rank"
"64","138949",0,228,0,0,0,1,4,0,22303,"Enterovirus B","species"
"65","12059",0,500,0,0,0,3,15,1,69275,"Enterovirus","genus"
"66","37116",0,0,1,0,1,0,0,0,0,"Human papillomavirus type 61","no rank"
"67","333771",0,0,2,0,0,0,0,0,0,"Human papillomavirus type 81","no rank"
"68","10239",0,0,0,1,7,1,0,0,0,"Viruses","superkingdom"
"69","10381",0,0,0,1,0,1,0,0,0,"Saimiriine herpesvirus 2","species"
"70","11745",0,0,0,1,0,0,0,0,0,"Human endogenous retrovirus ERV-9","no rank"
"71","1273711",0,0,0,1,0,0,0,0,0,"Synechococcus phage S-CBP1","species"
"72","305674",0,0,0,1,0,0,0,0,0,"Deerpox virus W-848-83","species"
"73","31552",0,0,0,1,0,0,0,0,0,"Human papillomavirus type 6","no rank"
"74","985780",0,0,0,1,0,0,0,0,0,"unclassified Mimiviridae","no rank"
"75","10479",0,0,0,2,0,0,0,0,0,"Thermoproteus tenax virus 1","species"
"76","644007",0,0,0,7,0,0,0,0,0,"Streptococcus phage PH10","species"
"77","1204538",0,0,0,8,100,0,0,0,0,"Pseudomonas phage Phi-S1","species"
"78","1247379",0,0,0,11,0,0,0,0,0,"Moumouvirus goulette","no rank"
"79","181083",0,0,0,11,0,0,0,0,0,"Chlorovirus","genus"
"80","10744",0,0,0,263,1536,0,0,0,0,"Podoviridae","family"
"81","10744",0,0,0,263,1536,0,0,0,0,"Podoviridae","family"
"82","10744",0,0,0,263,1536,0,0,0,0,"Podoviridae","family"
"83","329157",0,0,0,446,1627,0,0,0,0,"unclassified T7-like viruses","no rank"
"84","942165",0,0,0,508,203,0,0,0,0,"Pseudomonas phage phiIBB-PF7A","species"
"85","988656",0,0,0,1338,4684,0,0,0,0,"Pseudomonas phage phi15","species"
"86","10662",0,0,0,1,0,166,0,0,0,"Myoviridae","family"
"87","110456",0,0,0,4,10,0,0,0,0,"T7likevirus","genus"
"88","110456",0,0,0,4,10,0,0,0,0,"T7likevirus","genus"
"89","542835",0,0,0,986,0,0,0,0,0,"Autographivirinae","subfamily"
"90","542835",0,0,0,986,0,0,0,0,0,"Autographivirinae","subfamily"
"91","10744",0,0,0,1325,1536,0,0,0,0,"Podoviridae","family"
"92","10744",0,0,0,1325,1536,0,0,0,0,"Podoviridae","family"
"93","10744",0,0,0,1325,1536,0,0,0,0,"Podoviridae","family"
"94","10294",0,0,0,0,1,0,0,0,0,"Simplexvirus","genus"
"95","10595",0,0,0,0,1,0,0,0,0,"Human papillomavirus type 51","no rank"
"96","1162295",0,0,0,0,1,0,0,0,0,"Cronobacter phage CR3","species"
"97","1289473",0,0,0,0,1,0,0,0,0,"Nile crocodilepox virus Zimbabwe/Ume/2001","no rank"
"98","129724",0,0,0,0,1,0,0,0,0,"Human papillomavirus type 82","no rank"
"99","1349409",0,0,0,0,1,6,0,0,0,"Pandoravirus dulcis","species"
"100","1455076",0,0,0,0,1,0,0,0,0,"Citrobacter phage CR8","species"
"101","1510155",0,0,0,0,1,0,0,0,0,"Falconid herpesvirus 1","species"
"102","196894",0,0,0,0,1,0,0,0,0,"unclassified Siphoviridae","no rank"
"103","35237",0,0,0,0,1,107,0,0,0,"dsDNA viruses, no RNA stage","no rank"
"104","37115",0,0,0,0,1,0,0,0,0,"Human papillomavirus type 59","no rank"
"105","381899",0,0,0,0,1,0,0,0,0,"Paramecium bursaria Chlorella virus A1","species"
"106","445696",0,0,0,0,1,0,0,0,0,"Prochlorococcus phage P-HM2","species"
"107","526118",0,0,0,0,1,0,0,0,0,"Morganella phage MmP1","species"
"108","549779",0,0,0,0,1,0,0,0,0,"Mimiviridae","family"
"109","1051673",0,0,0,0,2,0,0,0,0,"Erwinia phage vB_EamP-L1","species"
"110","1194091",0,0,0,0,2,0,0,0,0,"Klebsiella phage NTUH-K2044-K1-1","species"
"111","1273087",0,0,0,0,2,0,0,0,0,"Cardioderma polyomavirus","species"
"112","1278254",0,0,0,0,2,0,0,0,0,"Paramecium bursaria Chlorella virus CvsA1","species"
"113","346932",0,0,0,0,2,0,0,0,0,"Paramecium bursaria chlorella virus MT325","no rank"
"114","10345",0,0,0,0,3,0,0,0,0,"Suid herpesvirus 1","species"
"115","908819",0,0,0,0,3,0,0,0,0,"Flavobacterium phage FCL-2","species"
"116","1464073",0,0,0,0,6,0,0,0,0,"Eptesicus serotinus papillomavirus type 3","species"
"117","453461",0,0,0,0,8,0,0,0,0,"Bovine papillomavirus type 10","no rank"
"118","322019",0,0,0,0,10,21,0,0,0,"Acanthocystis turfacea Chlorella virus 1","species"
"119","399781",0,0,0,0,21,0,0,0,0,"Paramecium bursaria Chlorella virus FR483","no rank"
"120","445688",0,0,0,0,34,0,0,0,0,"Prochlorococcus phage P-SSM7","species"
"121","687329",0,0,0,0,37,0,0,0,0,"Anelloviridae","family"
"122","696746",0,0,0,0,186,0,0,0,0,"Human papillomavirus type 115","no rank"
"123","10397",0,0,0,0,268,1,0,0,0,"Tupaiid herpesvirus 1","species"
"124","110456",0,0,0,0,97,0,0,0,0,"T7likevirus","genus"
"125","110456",0,0,0,0,97,0,0,0,0,"T7likevirus","genus"
"126","542835",0,0,0,0,672,0,0,0,0,"Autographivirinae","subfamily"
"127","542835",0,0,0,0,672,0,0,0,0,"Autographivirinae","subfamily"
"128","10744",0,0,0,0,1451,0,0,0,0,"Podoviridae","family"
"129","10744",0,0,0,0,1451,0,0,0,0,"Podoviridae","family"
"130","10744",0,0,0,0,1451,0,0,0,0,"Podoviridae","family"
"131","10366",0,0,0,0,0,1,0,0,0,"Murid herpesvirus 1","species"
"132","1120767",0,0,0,0,0,1,0,0,0,"Ostreococcus tauri virus RT-2011","species"
"133","1335230",0,0,0,0,0,1,0,0,0,"Pseudomonas phage PaBG","species"
"134","1477405",0,0,0,0,0,1,0,0,0,"Faustovirus","species"
"135","194960",0,0,0,0,0,1,196,0,0,"Kobuvirus","genus"
"136","39640",0,0,0,0,0,1,0,0,0,"Cotesia congregata bracovirus","species"
"137","432261",0,0,0,0,0,1,0,0,0,"Torque teno midi virus","species"
"138","51368",0,0,0,0,0,1,0,0,0,"unclassified dsDNA viruses","no rank"
"139","558016",0,0,0,0,0,1,0,0,0,"Alphabaculovirus","genus"
"140","68887",0,0,0,0,0,1,0,0,0,"Torque teno virus","species"
"141","693272",0,0,0,0,0,1,0,0,0,"Cafeteria roenbergensis virus BV-PW1","no rank"
"142","754039",0,0,0,0,0,1,0,0,0,"Synechococcus phage S-IOM18","species"
"143","1484571",0,0,0,0,0,2,0,0,0,"Baku virus","species"
"144","176652",0,0,0,0,0,3,0,0,0,"Invertebrate iridescent virus 6","species"
"145","444878",0,0,0,0,0,4,0,0,0,"Prochlorococcus phage Syn33","species"
"146","755272",0,0,0,0,0,13,0,0,0,"Micromonas pusilla virus 12T","species"
"147","11786",0,0,0,0,0,0,1,0,0,"Murine leukemia virus","species"
"148","490711",0,0,0,0,0,0,1,0,0,"Orgyia leucostigma NPV","species"
"149","11676",0,0,0,0,0,0,7,2,0,"Human immunodeficiency virus 1","species"
"150","153135",0,0,0,0,0,0,148,0,0,"Gammaretrovirus","genus"
"151","28883",0,0,0,0,0,0,0,1,0,"Caudovirales","order"
"152","1330521",0,0,0,0,0,0,0,0,1,"Enterovirus J","species"
"153","138950",0,0,0,0,0,0,0,0,1,"Enterovirus C","species"
"154","222888",0,0,0,0,0,0,0,0,1,"Enterovirus B78","no rank"
"155","222889",0,0,0,0,0,0,0,0,1,"Enterovirus B74","no rank"
"156","318568",0,0,0,0,0,0,0,0,1,"Enterovirus B85","no rank"
"157","90010",0,0,0,0,0,0,0,0,1,"unclassified Enterovirus","no rank"
"158","12072",0,0,0,0,0,0,0,0,2,"Coxsackievirus B3","no rank"
"159","172038",0,0,0,0,0,0,0,0,2,"Simian agent 5","no rank"
"160","318562",0,0,0,0,0,0,0,0,2,"Human enterovirus 79","no rank"
"161","35295",0,0,0,0,0,0,0,0,2,"Echovirus E4","no rank"
"162","12073",0,0,0,0,0,0,0,0,3,"Coxsackievirus B4","no rank"
"163","12078",0,0,0,0,0,0,0,0,4,"Echovirus E11","no rank"
"164","282345",0,0,0,0,0,0,0,0,4,"Enterovirus B75","no rank"
"165","41846",0,0,0,0,0,0,0,0,6,"Echovirus E30","no rank"
"166","74561",0,0,0,0,0,0,0,0,6,"Coxsackievirus B6","no rank"
"167","47502",0,0,0,0,0,0,0,0,7,"Echovirus E14","no rank"
"168","12060",0,0,0,0,0,0,0,0,10,"Echovirus E9","no rank"
"169","318566",0,0,0,0,0,0,0,0,10,"Enterovirus B83","no rank"
"170","200154",0,0,0,0,0,0,0,0,11,"Enterovirus B73","no rank"
"171","46018",0,0,0,0,0,0,0,0,12,"Echovirus E7","no rank"
"172","318564",0,0,0,0,0,0,0,0,19,"Enterovirus B81","no rank"
"173","12062",0,0,0,0,0,0,0,0,166,"Echovirus E6","no rank"
"174","35294",0,0,0,0,0,0,0,0,314,"Echovirus E2","no rank"
