Viral_Species,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
Geobacillus virus E2,0,0,0,51,0,0,0,0
Glypta fumiferanae ichnovirus,3,24,35,1,39,47,3,5
Gordonia phage Gsput1,3,0,0,0,0,0,0,0
Haemophilus phage HP1,250,0,0,0,0,0,0,0
Hepatitis C virus,6,0,0,0,0,0,0,0
Human herpesvirus 4,26,129,25,22,34,39,8,16
Human herpesvirus 5,0,0,0,0,2,0,1,0
Human herpesvirus 6A,1,13,27,0,71,29,11,1
Human mastadenovirus B,0,2,0,0,0,1,0,0
Human mastadenovirus D,4,737,5,3,11,7,34,20
Hyposoter fugitivus ichnovirus,0,1,3,0,2,6,0,0
Indian citrus ringspot virus,0,1,2,0,1,1,2,0
Kallithea virus,0,0,0,0,2,1,0,0
Klebsiella phage NTUH-K2044-K1-1,0,1,0,0,1,0,7,1
Lactobacillus phage c5,0,0,0,0,0,0,12,0
Lactobacillus phage JCL1032,0,0,0,0,0,0,46,0
Lactobacillus phage KC5a,5,0,2,15,0,1,331,0
Lactobacillus phage Lb338-1,185,0,0,0,0,0,0,0
Lactobacillus phage LfeSau,1,0,0,0,0,0,113,0
Lactobacillus phage LL-H,0,0,0,0,0,0,8,0
Lactobacillus phage Lrm1,5,0,3,0,0,0,1,0
Lactobacillus phage Lv-1,0,0,0,0,0,0,100,0
Lactobacillus phage phi jlb1,0,0,0,0,1,0,0,2
Lactobacillus phage phiadh,0,0,0,0,5,0,393,0
Lactobacillus phage phiAQ113,0,0,0,0,0,0,2,10
Lactobacillus phage phig1e,0,0,0,0,0,0,19,0
Lactobacillus phage phiJB,0,0,1,156,0,0,30,3
Lactobacillus phage phijl1,52,0,0,0,0,0,0,0
Lactobacillus phage Sha1,0,0,0,4,0,0,0,0
Lactobacillus prophage Lj771,23,0,0,0,0,0,407,3
Leuconostoc phage phiMH1,0,0,0,4,0,0,0,0
Lymantria dispar multiple nucleopolyhedrovirus,3,0,0,0,0,0,1,0
Macacine herpesvirus 3,3,0,0,0,0,0,0,0
Merkel cell polyomavirus,0,0,0,160,0,0,0,0
Mesorhizobium phage vB_MloP_Lo5R7ANS,0,0,0,5,0,0,0,0
Moumouvirus,2,0,0,48,0,0,8,0
Mycobacterium phage Gaia,5,0,0,0,0,0,0,0
Mycobacterium phage Thibault,5,0,0,0,0,0,0,0
Organic Lake phycodnavirus 2,0,0,0,0,3,0,0,0
Orgyia leucostigma NPV,1,2,0,0,1,0,0,0
Other Adenoviridae,0,3,0,0,0,0,0,0
Other Alphabaculovirus,0,0,2,23,765,1,2,0
Other Coccolithovirus,14,41,89,3,68,33,185,24
Other dsDNA Viruses,32,0,0,0,3,1,1,0
Other Enterovirus,24,4,0,2,0,2,9,8
Other Gammaretrovirus,0,0,0,0,4,0,2,0
Other Lymphocryptovirus,4,25,4,6,13,8,1,7
Other Mastadenovirus,4,59,2,2,4,0,4,1
Other Mimiviridae,0,0,0,1,2,0,0,3
Other Myoviridae,48,0,0,7,0,0,0,0
Other Phages,8,0,0,0,0,0,0,0
Other Podoviridae,9,1,0,10,1,1,1,19007
Other Siphoviridae,1257,2,38,89,2,1,78,1
Other T7likevirus,7,0,1,16,0,1,0,0
Other Viruses,44,0,1,0,0,1,153,2
Pandoravirus dulcis,0,0,0,0,100,2,1,0
Pandoravirus inopinatum,1,1,0,1,2,3,0,1
Pandoravirus salinus,1,13,15,1,23,24,3,1
Paramecium bursaria Chlorella virus AP110A,0,0,1,0,3,0,0,0
Paramecium bursaria Chlorella virus AR158,0,0,0,0,3,0,0,0
Pasteurella phage F108,3,0,0,0,0,0,0,0
Pectobacterium phage My1,0,0,0,0,0,0,0,3
Phaeocystis globosa virus,1,1,3,0,3,2,3,1
Phaeocystis globosa virus 12T,0,0,1,0,2,0,1,0
Phage 21,4,0,0,0,0,0,0,0
Phage Gifsy-1,31,0,0,0,0,0,0,0
Phage SK137,262,0,0,0,0,0,0,0
Pigeon aviadenovirus A,0,0,2,0,1,2,21,1
Pithovirus sibericum,0,0,0,0,7,0,1,0
Pseudomonas phage PaBG,0,0,0,0,108,0,0,0
Pseudomonas phage phi15,8,0,1,2,0,0,0,1
Pseudomonas phage phiIBB-PF7A,2,0,0,25,0,0,0,0
Pseudomonas phage PhiPA3,1,0,0,22,0,0,0,0
Pseudomonas phage PPpW-4,16,2,1,133,1,1,2,0
Rabbit hemorrhagic disease virus,0,0,0,0,0,0,7,0
Ralstonia phage RSL1,4,0,0,0,0,0,0,0
Rhodococcus phage REQ2,6,0,0,0,0,0,0,0
Rhodococcus phage REQ3,16,0,0,0,0,0,1,0
Saimiriine herpesvirus 2,0,0,0,0,14,0,0,0
Siphovirus contig89,0,0,4,0,0,1,0,0
Staphylococcus phage 47,0,0,0,24,0,0,0,0
Staphylococcus phage 77,7,0,0,0,0,0,0,0
Staphylococcus phage IME-SA4,11,0,0,0,0,0,0,0
Staphylococcus phage Ipla5,12,0,0,0,0,0,0,0
Staphylococcus phage StB12,21,0,0,0,0,0,0,0
Staphylococcus phage StB20,3,0,0,0,0,0,0,0
Staphylococcus virus G1,1,3,8,1,4,5,1,0
Streptococcus phage 20617,400,0,0,0,0,0,0,0
Streptococcus phage 34117,27,0,0,0,0,0,0,0
Streptococcus phage 5093,52,0,0,1,4,0,0,0
Streptococcus phage 700P1,77,0,0,0,0,0,0,0
Streptococcus phage 7201,3,0,0,0,0,0,0,0
Streptococcus phage Abc2,10,0,0,0,0,0,0,0
Streptococcus phage C1,0,0,0,0,0,0,0,666
Streptococcus phage Cp-1,217,0,0,0,0,1,0,0
Streptococcus phage Dp-1,0,0,3,0,0,0,0,0
Streptococcus phage DT1,97,0,0,0,0,0,40,0
Streptococcus phage EJ-1,71,0,0,0,0,0,0,0
Streptococcus phage M102,85,0,0,0,0,0,0,0
Streptococcus phage PH15,988,0,0,0,0,0,0,0
Streptococcus phage phi20c,7,0,0,0,0,0,0,0
Streptococcus phage phi30c,736,0,0,0,0,0,0,0
Streptococcus phage phi3396,4,0,0,0,0,0,0,0
Streptococcus phage phiNJ2,2931,1,0,0,0,0,0,0
Streptococcus phage phiS10,18,0,0,0,0,0,0,0
Streptococcus phage SM1,25,0,0,0,0,0,0,0
Streptococcus phage SMP,35,0,0,0,0,0,0,0
Streptococcus phage SpSL1,40,0,0,0,0,0,0,0
Streptococcus phage Str-PAP-1,5,0,0,0,1,0,0,0
Streptococcus phage TP-778L,3,0,0,0,0,0,0,0
Streptococcus phage V22,4,0,0,0,0,0,0,0
Streptomyces phage phiCAM,368,0,0,0,0,0,0,0
Streptomyces phage SV1,3,0,0,0,0,0,0,0
Synechococcus phage ACG-2014c,0,0,0,5,0,0,0,0
Thermoproteus tenax virus 1,12,0,0,1,0,0,1,0
Vibrio phage helene 12B3,0,0,0,0,0,0,3,0
Vibrio phage VP882,19,0,0,0,0,0,0,0
White spot syndrome virus,0,0,0,0,1,0,3,0
Yersinia phage phiR1-37,0,0,0,25,2,0,0,0
