Simple.name,Group,TOTAL.frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64
Lactobacillus acidophilus ,Other Lactobacillus,70,1,0,7,3,31,0,0,16,0,0,11,1
Lactobacillus coleohominis,Other Lactobacillus,17,0,0,0,3,1,0,0,8,0,0,5,0
Lactobacillus crispatus,Firm/Bacilli,8815,1,3,7,15,10,22,40,3807,2,10,4880,18
Lactobacillus gasseri,Firm/Bacilli,2929,0,2,8,209,51,2599,17,11,21,7,2,2
Lactobacillus iners,Firm/Bacilli,14206,14,7,1666,190,9179,1,17,2817,1,89,9,216
Lactobacillus jensenii,Firm/Bacilli,259,21,11,9,19,11,23,4,8,2,8,141,2
Lactobacillus plantarum,Other Lactobacillus,70,0,2,6,7,18,12,4,7,2,2,6,4
Lactobacillus reuteri,Other Lactobacillus,29,0,0,0,0,6,5,1,0,0,0,17,0
Lactobacillus ultunensis,Other Lactobacillus,23,0,6,4,0,1,2,0,0,0,10,0,0
Leuconostoc lactis,Other Firmicutes,1,0,0,0,0,1,0,0,0,0,0,0,0
Magnetospirillum magnetotacticum,Other Proteobacteria,11,2,0,1,1,1,4,2,0,0,0,0,0
Megasphaera cerevisiae,firm/neg,564,0,9,0,0,0,0,0,7,0,546,2,0
Megasphaera sp. genomosp. type_1,firm./neg,607,602,0,0,0,1,2,0,1,0,0,0,1
Methylobacillus flagellatus,Other Proteobacteria,15,0,0,3,0,2,0,0,0,0,10,0,0
Mitsuokella multacida,Other Firmicutes,3,0,0,0,0,0,0,0,1,0,0,2,0
Paraprevotella clara ,Other Bacteroidetes,2,0,0,0,0,0,0,0,0,0,0,0,2
Peptoniphilus harei,Other Clostridium,152,2,0,6,53,10,6,33,5,16,1,4,16
Peptoniphilus lacrimalis,Other Clostridium,1,0,0,0,0,0,0,1,0,0,0,0,0
Porphyromonas uenonis,Bacteroidetes,1,0,0,0,0,0,0,0,0,0,1,0,0
Prevotella amnii,Bacteroidetes,3610,2,0,1,2,1,1,0,0,0,0,1,3602
Prevotella bergensis,Bacteroidetes,595,0,0,0,0,1,0,576,0,16,1,0,1
Prevotella bivia,Bacteroidetes,132,83,0,0,0,0,30,8,0,1,8,1,1
Prevotella buccalis,Other Bacteroidetes,28,0,2,0,0,0,0,0,0,0,26,0,0
Prevotella dentalis,Other Bacteroidetes,1,0,0,0,0,0,0,0,0,0,0,0,1
Prevotella dentasini,Bacteroidetes,164,0,0,0,0,0,0,160,0,3,1,0,0
Prevotella disiens,Bacteroidetes,185,0,0,0,0,0,0,180,0,5,0,0,0
Prevotella loescheii,Other Bacteroidetes,1,0,0,0,0,0,0,1,0,0,0,0,0
Prevotella melaninogenica,Other Bacteroidetes,10,0,0,0,0,0,0,0,0,0,0,0,10
Prevotella oralis,Other Bacteroidetes,3,0,0,0,0,0,0,0,0,0,0,0,3
Prevotella paludivivens,Other Bacteroidetes,32,0,0,0,1,0,0,30,0,1,0,0,0
Prevotella tannerae ,Other Bacteroidetes,1,0,0,0,0,0,0,0,0,0,0,0,1
Prevotella timonensis,Bacteroidetes,3070,681,0,0,0,4,8,2330,2,37,7,0,1
Prevotella veroralis ,Other Bacteroidetes,2,0,0,0,0,0,0,2,0,0,0,0,0
Prosthecochloris vibrioformis ,Bacteroidetes,3,0,0,0,0,0,0,3,0,0,0,0,0
Pseudomonas fluorescens,Other Proteobacteria,1,0,0,0,0,0,0,0,0,0,0,1,0
Ralstonia pickettii ,Other Proteobacteria,2,0,0,1,1,0,0,0,0,0,0,0,0
Serratia proteamaculans,Other Proteobacteria,1,0,0,0,1,0,0,0,0,0,0,0,0
Shigella sonnei,Other Proteobacteria,20,2,1,0,0,4,9,1,0,0,2,0,1
Streptobacillus moniliformis,Other Bacteria,2,0,0,0,0,0,0,2,0,0,0,0,0
Streptococcus devriesei,Streptococcus,325,2,8,23,35,51,41,15,35,21,39,25,30
Streptococcus infantis,Streptococcus,3,0,0,0,3,0,0,0,0,0,0,0,0
Streptococcus mitis,Streptococcus,2,0,0,0,2,0,0,0,0,0,0,0,0
Streptococcus pseudopneumoniae,Streptococcus,4,0,0,0,4,0,0,0,0,0,0,0,0
Streptococcus salivarius subsp. salivarius,Streptococcus,2,0,0,0,2,0,0,0,0,0,0,0,0
Streptococcus sanguinis,Streptococcus,255,0,0,0,254,0,0,0,0,0,0,0,1
Streptococcus suis,Streptococcus,1,0,0,0,1,0,0,0,0,0,0,0,0
Streptococcus urinalis,Streptococcus,2,0,0,0,0,0,0,2,0,0,0,0,0
Streptococcus vestibularis,Streptococcus,8,0,0,0,8,0,0,0,0,0,0,0,0
Streptococcus waius,Streptococcus,21,0,0,0,20,0,1,0,0,0,0,0,0
Trichechus manatus latirostris ,Eukaryote,4,1,0,0,0,0,0,0,0,0,3,0,0
Veillonella parvula,Other Clostridium,4,0,0,0,0,0,4,0,0,0,0,0,0
