Viral_Species,Viral_Family,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52
Alphapapillomavirus 6,Papillomaviridae,217,8,17,12,14,10,9,9,8,39,16,24,372250,31,13,11,23,13,26,17,83,37,25,6,25
Alphapapillomavirus 7,Papillomaviridae,305,87,1,3,3,22,1,1,2,18,3,5,13880,6,3,1,11,238,3,172,3,602,1,0,0
Alphapapillomavirus 8,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,243,0,0,0
Alphapapillomavirus 9,Papillomaviridae,14,15,9,23,13,9,16,86,1108,26,14,16,81363,21,15,8,22,1280,14,10,22,76,18,7,5
Betapapillomavirus 1,Papillomaviridae,0,0,0,1,1,0,0,0,35,0,0,0,12,0,0,0,10,100,0,0,1,0,0,0,0
Betapapillomavirus 2,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,35,0,0,25,0,0,0,0
Betapapillomavirus 3,Papillomaviridae,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chipapillomavirus 1,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Dyoomikronpapillomavirus 1,Papillomaviridae,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Gammapapillomavirus 10,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0
Gammapapillomavirus 12,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Gammapapillomavirus 13,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
Gammapapillomavirus 3,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0
Gammapapillomavirus 6,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,2,14,0,0,0,0,0,0,0
Gammapapillomavirus 8,Papillomaviridae,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Gammapapillomavirus 9,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Human papillomavirus,Papillomaviridae,1,121,0,0,0,2,0,32,16,0,1,1,169,0,2,2,40,36,0,17,2,564,1,0,0
Human papillomavirus 132-like viruses,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0
Human papillomavirus KC5,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Human papillomavirus type 129,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Human papillomavirus type 134,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Human papillomavirus type 155,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
Human papillomavirus type 172,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Human papillomavirus type 173,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Human papillomavirus type 179,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Omikronpapillomavirus 1,Papillomaviridae,0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,3,0,0,3,0,0,0,0,1
Other Alphapapillomavirus,Papillomaviridae,0,0,0,0,0,0,1,0,0,0,0,2,128,3,0,0,3,1,0,4,0,130,0,0,0
Other Papillomaviridae,Papillomaviridae,229,301,20,17,30,1457,2094,489,1261,48,32,45,171966,449,80,32,74240,728,53,73932,120,101030,62,18,17
Papio hamadryas papillomavirus type 1,Papillomaviridae,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,0,2,1,1058,0,0,0
Peromyscus papillomavirus type 1,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0
Upsilonpapillomavirus 1,Papillomaviridae,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1
