"","uid","name","rank"
"79","181083","Chlorovirus","genus"
"80","10744","Podoviridae","family"
"81","329157","unclassified T7-like viruses","no rank"
"82","942165","Pseudomonas phage phiIBB-PF7A","species"
"83","988656","Pseudomonas phage phi15","species"
"84","10662","Myoviridae","family"
"85","110456","T7likevirus","genus"
"86","542835","Autographivirinae","subfamily"
"87","10744","Podoviridae","family"
"88","10294","Simplexvirus","genus"
"89","10595","Human papillomavirus type 51","no rank"
"90","1162295","Cronobacter phage CR3","species"
"91","1289473","Nile crocodilepox virus Zimbabwe/Ume/2001","no rank"
"92","129724","Human papillomavirus type 82","no rank"
"93","1349409","Pandoravirus dulcis","species"
"94","1455076","Citrobacter phage CR8","species"
"95","1510155","Falconid herpesvirus 1","species"
"96","196894","unclassified Siphoviridae","no rank"
"97","35237","dsDNA viruses, no RNA stage","no rank"
"98","37115","Human papillomavirus type 59","no rank"
"99","381899","Paramecium bursaria Chlorella virus A1","species"
"100","445696","Prochlorococcus phage P-HM2","species"
"101","526118","Morganella phage MmP1","species"
"102","549779","Mimiviridae","family"
"103","1051673","Erwinia phage vB_EamP-L1","species"
"104","1194091","Klebsiella phage NTUH-K2044-K1-1","species"
"105","1273087","Cardioderma polyomavirus","species"
"106","1278254","Paramecium bursaria Chlorella virus CvsA1","species"
"107","346932","Paramecium bursaria chlorella virus MT325","no rank"
"108","10345","Suid herpesvirus 1","species"
"109","908819","Flavobacterium phage FCL-2","species"
"110","1464073","Eptesicus serotinus papillomavirus type 3","species"
"111","453461","Bovine papillomavirus type 10","no rank"
"112","322019","Acanthocystis turfacea Chlorella virus 1","species"
"113","399781","Paramecium bursaria Chlorella virus FR483","no rank"
"114","445688","Prochlorococcus phage P-SSM7","species"
"115","687329","Anelloviridae","family"
"116","696746","Human papillomavirus type 115","no rank"
"117","10397","Tupaiid herpesvirus 1","species"
"118","110456","T7likevirus","genus"
"119","542835","Autographivirinae","subfamily"
"120","10744","Podoviridae","family"
"121","10366","Murid herpesvirus 1","species"
"122","1120767","Ostreococcus tauri virus RT-2011","species"
"123","1335230","Pseudomonas phage PaBG","species"
"124","1477405","Faustovirus","species"
"125","194960","Kobuvirus","genus"
"126","39640","Cotesia congregata bracovirus","species"
"127","432261","Torque teno midi virus","species"
"128","51368","unclassified dsDNA viruses","no rank"
"129","558016","Alphabaculovirus","genus"
"130","68887","Torque teno virus","species"
"131","693272","Cafeteria roenbergensis virus BV-PW1","no rank"
"132","754039","Synechococcus phage S-IOM18","species"
"133","1484571","Baku virus","species"
"134","176652","Invertebrate iridescent virus 6","species"
"135","444878","Prochlorococcus phage Syn33","species"
"136","755272","Micromonas pusilla virus 12T","species"
"137","11786","Murine leukemia virus","species"
"138","490711","Orgyia leucostigma NPV","species"
"139","11676","Human immunodeficiency virus 1","species"
"140","153135","Gammaretrovirus","genus"
"141","28883","Caudovirales","order"
"142","1330521","Enterovirus J","species"
"143","138950","Enterovirus C","species"
"144","222888","Enterovirus B78","no rank"
"145","222889","Enterovirus B74","no rank"
"146","318568","Enterovirus B85","no rank"
"147","90010","unclassified Enterovirus","no rank"
"148","12072","Coxsackievirus B3","no rank"
"149","172038","Simian agent 5","no rank"
"150","318562","Human enterovirus 79","no rank"
"151","35295","Echovirus E4","no rank"
"152","12073","Coxsackievirus B4","no rank"
"153","12078","Echovirus E11","no rank"
"154","282345","Enterovirus B75","no rank"
"155","41846","Echovirus E30","no rank"
"156","74561","Coxsackievirus B6","no rank"
"157","47502","Echovirus E14","no rank"
"158","12060","Echovirus E9","no rank"
"159","318566","Enterovirus B83","no rank"
"160","200154","Enterovirus B73","no rank"
"161","46018","Echovirus E7","no rank"
"162","318564","Enterovirus B81","no rank"
"163","12062","Echovirus E6","no rank"
"164","35294","Echovirus E2","no rank"
