Variables	Estimate
Other.Firmicutes	0.00
Other.Lactobacillus	-0.06
Other.Prevotella	-0.02
Other.Proteobacteria	-0.33
Other.Streptococcus	0.04
Prevotella.amnii	-15.34
Prevotella.timonensis	0.002105
Streptococcus.devriesei	-8.08
How.often.pain.experienced.during.vaginal.intercourse.percentage	-0.80
Contraception.cat2	0.00
Contraception.cat3	20.47
Contraception.cat4	0.00
Contraception.cat5	0.00
Contraception.cat6	0.00
Presence.Symptoms.2wks1	16.79
Abnormal.discharge.2wks1	18.17
Abnormal.odor.2wks1	-16.93
Irritation.Discomfort.2wks1	-19.96
Other.Symptoms.2wks1	-16.86
Presence.Symptoms.48hrs1	-20.18
Abnormal.discharge.48hrs1	18.487
Abnormal.odor.48hrs1	-16.858
Irritation.Discomfort.48hrs1	-18.77
Other.Symptoms.48hrs1	-16.93
Preg.livebirth.ever1	18.49
Chlamydia.ever1	-16.86
Gonorrhea.ever	NA
Bac.STI.ever1	-16.86
Herpes.ever1	-16.79
Genwarts.ever1	-16.86
any.sx.pain1	-18.62
sx.pain.50.over1	-18.49
sx.pain.1001	-18.08
contraception.H1	-16.93
contraception.S.S1	-16.79
contraception.S.P1	-15.68
contraception.B.M1	20.47
contraception.B.F1	NA
contraception.C.IUD1	-15.68
HContr.Progestin.pill1	NA
HContr.Combination.pill1	-16.79
HContr.nuvaring1	NA
HContr.mirena1	-15.73
HContr.depoprovera1	NA
HContr.orthoevra1	NA
contr_type1	-16.86
contr_type2	NA
contr_type3	-16.86
condoms.48h1	20.87
probiotics.2.months1	-16.93
days.since.LMP	0.18
weeks.since.LMP	1.28
weeks.since.LMP.cat2	0.00
weeks.since.LMP.cat3	18.77
weeks.since.LMP.cat4	0.00
weeks.since.LMP.cat9	NA
CST.cat2	0.00
CST.cat3	20.18
CST.cat4	0.00
CST.cat6	0.00
CST.cat7	0.00
Nugent.scorecat1	18.26
Nugent.scorecat2	0.00
