Variables	Estimate	OddsRatio
Freq.oral.sexcat1	-1.43E-01	0.866667398
Freq.oral.sexcat2	-6.90E-02	0.933336013
Freq.oral.sexcat3	-4.27E-10	1
Freq.oral.sexcat4	-2.72E-01	0.76193045
oral.sex.in.past.48.hours..y.1..n.0.	0.02632	1.02666943
Freq.anal.sexcat1	-0.13815	0.870968037
Freq.anal.sexcat2	0.14953	1.161288309
Freq.anal.sexcat3	-0.07361	0.929033946
anal.sex.in.past.48.hours..y.1..n.0.	NA	NA
Freq.sex.toy.usecat1	-0.8183	0.441181025
Freq.sex.toy.usecat2	0.2803	1.323526811
Freq.sex.toy.usecat3	-0.0198	0.980394733
use.in.past.48.hours..y.1..n.0.	NA	NA
use.of.drugs..y.1..n.0.cat1	0.1542	1.166724208
use.of.drugs..y.1..n.0.cat2	0.2007	1.222258039
alcohol.use..y.1..n.0.cat1	0.4463	1.562520152
alcohol.use..y.1..n.0.cat2	0.3773	1.458341746
smoker..current.or.in.past...y.1..n.0.cat1	-0.09362	0.910628735
smoker..current.or.in.past...y.1..n.0.cat2	-0.05972	0.942028265
Actinobacteria.sp.	0.0000174	1.0000174
Atopobium.vaginae	0.0011	1.001100605
Clostridia.sp..BVAB2	0.0007856	1.000785909
Clostridium.genomosp..BVAB3	0.001139	1.001139649
Escherichia.coli	0.0001002	1.000100205
Gardnerella.vaginalis.Group.A	0.0001182	1.000118207
Gardnerella.vaginalis.Group.B	-0.001452	0.998549054
Gardnerella.vaginalis.Group.C	0.0001995	1.00019952
Gardnerella.vaginalis.Group.D	-1.94E-12	1
Klebsiella.pneumoniae	0.0002964	1.000296444
Lactobacillus.crispatus	-0.0004523	0.999547802
Lactobacillus.gasseri	-0.0000433	0.999956701
Lactobacillus.iners	-4.14E-05	0.999958601
Lactobacillus.jensenii	-0.006263	0.993756572
Megasphaera.sp..genomosp..type.1	-1.22E-05	0.99998778
Other.Actinobacteria	0.0008385	1.000838852
Other.Bacteria	-0.05115	0.950136139
Other.Bacteroidetes	0.009297	1.009340351
Other.Clostridium	0.004948	1.004960262
Other.Firmicutes	0.0008317	1.000832046
Other.Lactobacillus	-0.007619	0.992409951
Other.Prevotella	0.0001756	1.000175615
Other.Proteobacteria	0.006145	1.006163919
Other.Streptococcus	0.0005164	1.000516533
Prevotella.amnii	3.86E-05	1.000038561
Prevotella.timonensis	0.0001084	1.000108406
Streptococcus.devriesei	0.001838	1.00183969
How.often.pain.experienced.during.vaginal.intercourse.percentage	-0.0008577	0.999142668
Contraception.cat2	-0.25423	0.775513413
Contraception.cat3	0.02817	1.028570527
Contraception.cat4	0.13353	1.142855551
Contraception.cat5	-0.27193	0.761907593
Contraception.cat6	0.35667	1.428564366
Presence.Symptoms.2wks1	-0.1523	0.858730623
Abnormal.discharge.2wks1	-0.05109	0.950193149
Abnormal.odor.2wks1	0.1013	1.106608575
Irritation.Discomfort.2wks1	-0.07542	0.927353916
Other.Symptoms.2wks1	0.07542	1.078336957
Presence.Symptoms.48hrs1	-0.2261	0.797638334
Abnormal.discharge.48hrs1	-0.02532	0.974997863
Abnormal.odor.48hrs1	0.1232	1.13111062
Irritation.Discomfort.48hrs1	-0.1193	0.887541498
Other.Symptoms.48hrs1	0.05109	1.052417607
Preg.livebirth.ever1	0.09194	1.096299042
Chlamydia.ever1	-0.1876	0.828946219
Gonorrhea.ever	NA	NA
Bac.STI.ever1	-0.1876	0.828946219
Herpes.ever1	-0.2794	0.756237348
Genwarts.ever1	-0.08701	0.916667929
any.sx.pain1	-0.0286	0.971805109
sx.pain.50.over1	-0.05651	0.945057034
sx.pain.1001	-0.1217	0.885413953
contraception.H1	0.299	1.348509623
contraception.S.S1	-0.2719	0.76193045
contraception.S.P1	0.1699	1.185186327
contraception.B.M1	0.1411	1.151539796
contraception.B.F1	NA	NA
contraception.C.IUD1	0.1699	1.185186327
HContr.Progestin.pill1	NA	NA
HContr.Combination.pill1	0.1178	1.125019085
HContr.nuvaring1	NA	NA
HContr.mirena1	0.4274	1.533265845
HContr.depoprovera1	NA	NA
HContr.orthoevra1	NA	NA
contr_type1	0.1517	1.163811041
contr_type2	0.2162	1.241350624
contr_type3	0.2162	1.241350624
condoms.48h1	-0.1726	0.841474137
probiotics.2.months1	0.08224	1.08571635
days.since.LMP	-0.0006107	0.999389486
weeks.since.LMP	-0.004275	0.995734125
weeks.since.LMP.cat2	0.3124	1.366701264
weeks.since.LMP.cat3	-0.1542	0.857100584
weeks.since.LMP.cat4	-0.1823	0.833351298
weeks.since.LMP.cat9	0.2877	1.333357237
Nugent.scorecat1	0.1678	1.182700047
Nugent.scorecat2	0.5996	1.821390099
