"","rarefy"
"Vogue1A.01.256",7.17477028915304
"Vogue1A.01.257",4.71324623085639
"Vogue1A.01.258",8.23241029372072
"Vogue1A.01.259",16.4970621281714
"Vogue1A.01.260",7.54053812692869
"Vogue1A.01.261",9.17544909257708
"Vogue1A.01.262",11.2123143214119
"Vogue1A.01.263",12.7785650614999
"Vogue1A.01.264",5.86511263256234
"Vogue1A.01.265",4.01071108056288
"Vogue1A.01.266",5.13353889065083
"Vogue1A.01.267",9.34978358485499
"Vogue1A.01.268",8.27873202316836
"Vogue1A.01.269",10.4294438301327
"Vogue1A.01.270",9.47067107708977
"Vogue1A.01.271",11.4395395231237
"Vogue1A.01.272",5.52270048429641
"Vogue1A.01.273",7.09267727116074
"Vogue1A.01.274",4.30147564121967
"Vogue1A.01.275",12.8180630400129
"Vogue1A.01.276",13.4265695028986
"Vogue1A.01.277",10.7847939935223
"Vogue1A.01.278",7.73183283136921
"Vogue1A.01.279",15.2720869876318
"Vogue1A.01.280",8.64552838368857
"Vogue1A.01.281",11.9539689605927
"Vogue1A.01.282",7.08727299110919
"Vogue1A.01.283",6.5373873924647
"Vogue1A.01.284",4.1512846847028
"Vogue1A.01.285",11.0619276023486
"Vogue1A.01.286",4.96245450361375
"Vogue1A.01.287",3.14503653378639
"Vogue1A.01.288",3.97280203817058
"Vogue1A.01.289",12.2403708677417
"Vogue1A.01.290",4.58367045856227
"Vogue1A.01.291",8.88811509020149
"Vogue1A.01.292",3.03905443625382
"Vogue1A.01.293",3.10528821849774
"Vogue1A.01.294",5.23696223567031
"Vogue1A.01.295",4.37692498777188
"Vogue1A.01.296",12.8279424483913
"Vogue1A.01.297",10.0928127642014
"Vogue1A.01.298",10.016521696883
"Vogue1A.01.300",4.83167179615655
"Vogue1A.01.301",5.34717492644726
"Vogue1A.01.302",6.78781413649851
"Vogue1A.01.303",5.95409095209374
"Vogue1A.01.304",9.97105374391115
"Vogue1A.01.305",4.83187676675856
"Vogue1A.01.306",4.2876148048309
"Vogue1A.01.307",3.06596295562961
"Vogue1A.01.308",3.9906775566445
"Vogue1A.01.309",7.77254293981458
"Vogue1A.01.310",6.49041349650425
"Vogue1A.01.311",8.23182014622903
"Vogue1A.01.312",4.81906011659855
"Vogue1A.01.313",4.2963028423831
"Vogue1A.01.314",8.79176848486687
"Vogue1A.01.316",3.66076217802078
"Vogue1A.01.317",8.11919232651243
"Vogue1A.01.318",5.18231473450504
"Vogue1A.01.319",2.80069749782888
"Vogue1A.01.320",7.70084564058353
