"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"28","Bell pepper mottle virus",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Betapapillomavirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"30","Brevibacillus phage Emery",0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"31","Brochothrix phage A9",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"32","Brochothrix phage NF5",5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"33","Burkholderia phage BcepF1",0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"34","Burkholderia phage DC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"35","Burkholderia phage JG068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"36","Cafeteria roenbergensis virus",1,1,0,0,0,0,0,0,1,0,0,0,19,2,0,0,0,0,0,32,0
"37","Canarypox virus",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"38","Canid herpesvirus 1",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Cardioderma polyomavirus",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"40","Caviid herpesvirus 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"41","Cellulophaga phage phi39:1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"42","Cellulophaga phage phiST",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"43","Chimpanzee stool associated circular ssDNA virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"44","Choristoneura rosaceana alphabaculovirus",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0
"45","Circoviridae",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"46","Clostridium phage phiCP26F",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"47","Clostridium phage phiCT19406C",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"48","Clostridium phage phiCT453A",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"49","Clostridium phage phiCT9441A",3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0
"50","Corynebacterium phage P1201",0,0,0,0,0,0,1,0,2,0,0,0,3179,0,0,0,0,0,0,0,0
"51","Cronobacter phage CR9",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Cronobacter phage vB_CsaP_GAP52",0,0,1,0,2,0,0,0,0,0,0,77,0,0,8,16,0,1,2,0,0
"53","Cyprinid herpesvirus 2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"54","Cyprinid herpesvirus 3",0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,3
"55","Deep-sea thermophilic phage D6E",0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,16,0,0,0,0
"56","Delftia phage IME-DE1",0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"57","Dyoomikronpapillomavirus 1",0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,2,3
"58","EBPR siphovirus 1",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"59","Ectocarpus siliculosus virus 1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38,0,1,0,0,0
"60","Edwardsiella phage MSW-3",0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
"61","Elephant endotheliotropic herpesvirus 6",0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0
"62","Elephantid herpesvirus 1",2,0,0,2,3,2,1,3,0,2,2,2,0,4,0,3,1,0,2,2,2
"63","Emiliania huxleyi virus 145",9,1,5,8,8,1,4,3,5,10,5,3,4,2,24,0,5,0,0,3,7
"64","Emiliania huxleyi virus 156",5,1,4,6,1,2,2,2,3,1,6,3,30,2,0,8,16,1,3,3,4
"65","Emiliania huxleyi virus 164",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
"66","Emiliania huxleyi virus 84",0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,2,0,11,1,1
"67","Emiliania huxleyi virus 99B1",2,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,2
"68","Emiliania huxleyi virus PS401",1,1,4,0,4,1,2,0,1,1,3,0,2,0,0,1,2,2,0,2,2
"69","Enhydra lutris papillomavirus 1",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"70","Enterococcus phage ECP3",0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"71","Enterococcus phage EFDG1",0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0
"72","Enterococcus phage EFLK1",3,0,0,0,0,0,3,4,2,11,1,0,0,0,0,0,0,0,0,0,4
"73","Enterococcus phage vB_Efae230P-4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0
"74","Enterovirus B",2,4,39,0,2,1,1,3,1,4,2,0,0,1,1,0,1,0,1206,1,0
"75","Environmental Halophage eHP-35",0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
"76","Equid herpesvirus 5",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"77","Erwinia phage Ea35-70",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"78","Escherichia phage ECML-117",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Escherichia phage P694",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Escherichia phage Pollock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"81","Faeces associated gemycircularvirus 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"82","Falconid herpesvirus 1",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Flavobacterium phage 6H",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"84","Flavobacterium phage FCL-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"85","Frog virus 3",2,0,2,1,1,1,2,3,1,2,3,0,0,1,0,1,0,0,2,1,0
"86","Fusobacterium phage Funu2",0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
"87","Gammapapillomavirus 15",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Gammapapillomavirus 6",36,0,0,0,0,0,0,0,0,0,0,0,0,10,73,0,0,0,0,0,0
"89","Gammapapillomavirus 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"90","Geobacillus phage GBK2",0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0
"91","Geobacillus virus E2",0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
"92","Glypta fumiferanae ichnovirus",24,3,19,6,22,13,16,25,3,16,19,5,168,8,2,43,28,4,22,28,38
"93","Gordonia phage GTE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"94","Hepatitis B virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
"95","Human endogenous retrovirus K",0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
"96","Human herpesvirus 4",34,4,59,58,39,181,42,48,25,53,39,54,32,41,21,21,30,14,34,28,49
"97","Human herpesvirus 5",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0
"98","Human herpesvirus 6",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"99","Human herpesvirus 6A",15,2,16,7,28,12,9,32,7,10,13,8,39,10,1,11,30,1,9,20,13
"100","Human herpesvirus 6B",0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Human herpesvirus 8",0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,0,0,2
"102","Human immunodeficiency virus 1",0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1
"103","Human mastadenovirus C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,13
"104","Human mastadenovirus D",5,4,63,20,5,16,11,17,3,12,16,4,11,3,6,6,3,4,4,4,6
"105","Human papillomavirus",1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0
"106","Human papillomavirus type 179",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Hyposoter fugitivus ichnovirus",5,0,2,0,3,2,0,2,0,0,1,0,0,2,0,0,3,0,1,6,4
"108","Ictalurid herpesvirus 1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"109","Indian citrus ringspot virus",6,1,3,1,3,1,3,1,1,0,1,1,22,2,3,3,5,0,1,2,1
"110","Invertebrate iridescent virus 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"111","Kallithea virus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"112","Klebsiella phage NTUH-K2044-K1-1",2,0,1,1,5,2,1,3,2,1,2,0,1,4,0,1,6,1,2,0,0
"113","Lactobacillus phage JCL1032",0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0
"114","Lactobacillus phage KC5a",12,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,8,0,1,0,0
"115","Lactobacillus phage Ldl1",0,0,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0,2
"116","Lactobacillus phage LfeInf",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"117","Lactobacillus phage LfeSau",0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"118","Lactobacillus phage LL-H",0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,15588,0,0,0
"119","Lactobacillus phage Lrm1",15,7,0,1,0,0,0,0,6,0,2,0,237,0,0,0,1,57,8,0,0
"120","Lactobacillus phage Lv-1",1,0,43,7,0,0,0,0,35,0,2,0,1,0,3,0,0,0,56,0,2
"121","Lactobacillus phage phi jlb1",0,0,24,0,4,0,0,0,12,0,2,32,0,0,1,0,0,12267,433,0,0
"122","Lactobacillus phage phiadh",0,0,23,0,2,0,0,0,781,1,0,0,415,0,27,1,429,2440,709,0,6
"123","Lactobacillus phage phiAQ113",4,0,45,0,0,0,0,0,35,0,3,2,1,1,0,0,0,38,43,0,0
"124","Lactobacillus phage phig1e",0,0,174,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Lactobacillus phage phiJB",0,0,0,0,1,0,0,1,1,0,8,0,21,0,0,0,0,11,8,0,0
"126","Lactobacillus phage phijl1",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"127","Lactobacillus phage phiPYB5",0,0,6,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
"128","Lactobacillus prophage Lj771",35,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,0,0,0
"129","Lactococcus phage c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"130","Lactococcus phage CB13",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Lactococcus phage phiL47",0,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
"132","Lambdina fiscellaria nucleopolyhedrovirus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"133","Leucania separata nucleopolyhedrovirus",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"134","Leuconostoc phage LLC-1",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"135","Leuconostoc phage phiMH1",0,0,0,0,0,0,0,0,54,0,0,0,0,0,3,0,0,7,0,0,0
"136","Lymantria dispar multiple nucleopolyhedrovirus",2,0,1,0,1,0,1,0,0,2,0,1,1,0,0,4,0,0,0,0,0
"137","Macacine herpesvirus 1",0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Macacine herpesvirus 3",0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"139","Macacine herpesvirus 4",0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,2,1,1
"140","Megavirus chiliensis",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Mesorhizobium phage vB_MloP_Lo5R7ANS",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"142","Micromonas pusilla virus 12T",103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"143","Molluscum contagiosum virus",0,0,150,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"144","Moumouvirus",38,46,2,0,0,0,0,0,0,0,1,6,6,0,1,1,1,0,1,0,6
"145","Murid herpesvirus 1",1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"146","Musca hytrovirus",0,0,0,0,0,0,0,0,0,1,0,0,119,0,0,0,0,0,0,0,0
"147","Mycobacterium phage 40AC",0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
"148","Mycobacterium phage Luchador",0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,1,0,0
"149","Mycobacterium phage Sheen",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"150","Omikronpapillomavirus 1",0,1,2,1,2,0,1,0,1,0,2,0,0,1,0,0,2,0,1,5,0
"151","Orgyia leucostigma NPV",1,0,3,4,1,0,4,3,0,4,1,1,4,2,1,2,5,1,2,6,0
"152","Other Adenoviridae",0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"153","Other Alphabaculovirus",0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0
"154","Other Alphapapillomavirus",0,0,0,1,1,0,0,0,0,1,1,0,0,0,631,0,0,0,7,0,0
"155","Other Anelloviridae",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,86,0,0,0,0,0
"156","Other Coccolithovirus",136,35,195,202,144,126,65,149,94,102,108,130,383,55,39,184,192,18,84,125,111
"157","Other dsDNA Viruses",0,0,4,1,1,2,1,3,0,1,1,0,102,0,2,2,7,2,7,0,3
"158","Other Enterovirus",3,6,33,3,7,4,2,1,1,2,2,5,1,1,0,0,5,1,1586,0,1
"159","Other Gammaretrovirus",0,0,0,0,16,0,0,1,0,0,12,0,13,0,0,0,0,4,0,1,0
"160","Other L5likevirus",0,0,0,0,1,0,0,0,0,0,0,0,364,0,3,0,0,0,0,0,0
"161","Other Lentivirus",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"162","Other Lymphocryptovirus",8,1,20,10,8,39,11,19,5,25,11,7,11,19,11,4,8,8,3,6,11
"163","Other Mastadenovirus",3,3,8,13,6,3,5,5,4,4,4,2,80,4,0,3,7,1,3,1,3
"164","Other Myoviridae",0,0,0,0,5,0,0,0,0,0,0,8,104,0,0,133,8,0,0,0,1
"165","Other Papillomaviridae",68,1,1081,1023,47,27,53,37,25,30,182,58,18,643,12287,37,48,95,100605,31,35
"166","Other Phages",4,32,0,2,0,0,0,0,0,3,0,0,4,0,2,4,6,0,0,0,0
"167","Other Phycodnaviridae",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"168","Other Podoviridae",2,1,213,3,0,0,0,0,0,1,0,4,436,0,547,9,3,7,3319,0,7
"169","Other Ranavirus",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"170","Other Siphoviridae",14,1,15,6,4,0,5,2,0,3,63,77,1114,1,9,35,28,13,25,3,2
"171","Other T7likevirus",1,2,3,3,1,1,1,3,0,0,1,3,113,0,9,3,1,0,3,1,5
"172","Other Tobamovirus",0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,58,0,0,0,0,0
"173","Other Viruses",2,1,4,3,2,0,0,0,0,2,0,36,793,0,1,1,1,94,11,0,1
"174","Ovine herpesvirus 2",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"175","Pandoravirus dulcis",1,0,3,0,1,1,1,1,1,0,1,0,25,1,0,3,7,0,0,0,0
"176","Pandoravirus inopinatum",3,1,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,0,1,2,1
"177","Pandoravirus salinus",10,1,11,5,18,13,9,14,3,12,15,8,38,6,1,34,20,2,8,14,11
"178","Papiine herpesvirus 1",0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"179","Paramecium bursaria Chlorella virus AP110A",3,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0
"180","Paramecium bursaria Chlorella virus AR158",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"181","Paramecium bursaria Chlorella virus CvsA1",2,0,0,4,0,2,1,0,0,0,0,0,6,1,0,2,1,0,0,0,0
"182","Paramecium bursaria Chlorella virus NE-JV-1",0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
"183","Paramecium bursaria Chlorella virus NY2A",0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"184","Pectobacterium phage My1",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"185","Pectobacterium phage ZF40",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
"186","Phaeocystis globosa virus",2,0,11,3,9,3,2,6,1,1,3,2,6,2,1,51,5,1,9,6,5
"187","Phaeocystis globosa virus 12T",2,0,2,0,2,1,0,3,1,0,1,1,4,0,0,0,0,0,0,4,3
"188","Pigeon aviadenovirus A",6,2,3,10,10,8,3,0,8,8,6,4,105,5,0,7,6,0,8,12,1
"189","Pithovirus sibericum",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
"190","Podovirus GOM",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","Porcine parvovirus 6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"192","Prochlorococcus phage Syn33",0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0
"193","Propionibacterium phage PHL041",0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"194","Pseudomonas phage D3",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Pseudomonas phage Lu11",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"196","Pseudomonas phage Phi-S1",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"197","Pseudomonas phage phi15",3,1,3,1,2,0,0,0,0,2,0,2,20,1,0,3,0,0,21,2,4
"198","Pseudomonas phage phiIBB-PF7A",0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,79,0,1,2,0,1
"199","Pseudomonas phage PhiPA3",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
"200","Pseudomonas phage PPpW-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"201","Pseudomonas phage PPpW-4",1,0,16,9,4,0,3,19,0,3,0,110,283,0,10,570,6,4,10,0,16
"202","Pseudomonas phage PS5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"203","Psychrobacter phage pOW20-A",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
"204","Rhizobium phage RR1-A",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0
"205","Rhodococcus phage ReqiDocB7",0,1,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0
"206","Rhodococcus phage RER2",0,0,0,0,0,0,0,0,0,0,0,1,255,0,0,0,0,0,0,0,0
"207","Rhodococcus phage RGL3",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"208","Rhodoferax phage P26218",1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Roseobacter phage SIO1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"210","Saccharomonospora phage PIS 136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
"211","SEN virus",1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"212","Simian adenovirus B",1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0
"213","Simian immunodeficiency virus",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"214","Siphovirus contig89",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"215","Spodoptera frugiperda multiple nucleopolyhedrovirus",1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0
"216","Spodoptera litura granulovirus",0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"217","Staphylococcus phage 2638A",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"218","Staphylococcus phage 6ec",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"219","Staphylococcus phage IME-SA4",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"220","Staphylococcus phage Ipla5",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"221","Staphylococcus phage phiIBB-SEP1",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"222","Staphylococcus phage phiIPLA-C1C",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"223","Staphylococcus phage phiMR11",0,0,0,177,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"224","Staphylococcus virus G1",10,11,9,6,13,6,6,12,3,7,3,8,16,11,4,4,25,1,8,16,10
"225","Streptococcus phage 5093",0,0,0,1,0,0,2,1,0,0,0,0,46,1,1,1,2,0,0,2,0
"226","Streptococcus phage C1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0
"227","Streptococcus phage DT1",0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,12,0,0
"228","Streptococcus phage EJ-1",0,0,0,0,0,1,0,0,0,0,1,1,43,1,2,0,0,0,0,0,0
"229","Streptococcus phage M102",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","Streptococcus phage PH15",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Streptococcus phage phi30c",0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
