,hpv,var,pval,phi,cramer
35,t16,sextoyfrequency.cat,0.482758621,0.136487171,0.136487171
36,t16,sexpartner1yr.cat,0.320197044,0.236029398,0.236029398
37,t16,Feminine.products,1,0.182574186,0.182574186
38,t16,Feminine.products.48hrs,1,0.071428571,0.071428571
39,t16,Tampon.Use.cat,1,0.009390603,0.009390603
40,t16,Tampon.use.1mth,0.51954023,0.203355313,0.203355313
41,t16,smoking.current,0.491954023,0.233713176,0.233713176
42,t16,druguse,0.689655172,NA,0.267261242
43,t16,substanceuse,0.468965517,0.141019019,0.141019019
44,t16,Is.the.patient.antiretroviral.naive.,1,0.071428571,0.071428571
45,t16,HIV.Clade...Result,1,NA,0.147441956
46,t16,Likely.mode.of.HIV.acquisition,0.310344828,NA,0.307225902
47,t16,HCV.Antibody...Result,0.105747126,NA,0.340692572
48,t16,HCV.PCR...Result,0.098850575,NA,0.44320263
49,t16,HBV.sAb...Result,1,NA,0.089696856
50,t16,HBV.sAg...Result,1,0.089087081,0.089087081
51,t16,HBV.cAb...Result,0.671264368,NA,0.243034841
52,t16,CST,0.048275862,NA,0.681385144
53,t16,nugent_score_result,1,NA,0.124651648
54,t16,bv_infecttotal_2mo,0.995936912,NA,NA
55,t16,bv_infecttotal_1yr,0.996811556,NA,NA
56,t16,bv_life,0.461321227,NA,NA
57,t16,Med.Duration,0.919350857,NA,NA
58,t16,Duration.of.HIV.Infection.,0.781110158,NA,NA
59,t16,CD4.Nadir.,0.405283707,NA,NA
60,t16,Highest.VL.Ever..,0.76552571,NA,NA
61,t16,CD4.,0.758487939,NA,NA
62,t16,VL..copies.mL..,0.978362154,NA,NA
63,t16,Number.of.Different.HPV.Types,0.197610784,NA,NA
64,t18,rxdrug,0.252873563,0.28827833,0.28827833
65,t18,antimicrodrug,1,0.094491118,0.094491118
66,t18,Age.cat,0.365517241,0.200445931,0.200445931
67,t18,BMI.under.cat,1,0.104828484,0.104828484
68,t18,BMI.over.cat,0.224137931,0.281718085,0.281718085
69,t18,Ethnicity.cat,1,0.094491118,0.094491118
70,t18,Ethnicity2.cat,1,NA,0.188982237
71,t18,BV.ever,0.503448276,0.21821789,0.21821789
72,t18,Yeast.ever,0.468965517,0.141019019,0.141019019
73,t18,UTI.ever,1,0.054554473,0.054554473
74,t18,Trich.ever,1,0.104828484,0.104828484
75,t18,Condyloma.ever,0.418390805,0.168505093,0.168505093
76,t18,GenHerpes.ever,0.252873563,0.28827833,0.28827833
77,t18,Chlamydia.ever,1,0.174963553,0.174963553
78,t18,Gonorrhea.ever,1,0.161164593,0.161164593
79,t18,Syphillis.ever,1,0.119522861,0.119522861
80,t18,Presence.Symptoms.2wks,1,0.147441956,0.147441956
81,t18,Presence.Symptoms.48hrs,1,0.119522861,0.119522861
82,t18,abnormaldischarge2wk,1,0.147441956,0.147441956
83,t18,abnormaldischarge48,1,0.119522861,0.119522861
84,t18,abnormalodor2wk,1,0.119522861,0.119522861
85,t18,abnormalodor48,1,0.104828484,0.104828484
86,t18,irritationdiscomfort2wk,1,0.049629167,0.049629167
87,t18,irritationdiscomfort48,1,0.049629167,0.049629167
88,t18,vaginalsymptomother2wk,1,0.049629167,0.049629167
89,t18,Symptom.pain,1,0.074074074,0.074074074
90,t18,Contraception.H,1,0.119522861,0.119522861
91,t18,Contraception.B.M,1,0.017857143,0.017857143
92,t18,Contraception.none,0.310344828,0.239045722,0.239045722
93,t18,contramethnotactive___1,1,0.174963553,0.174963553
94,t18,condoms.48h,0.131034483,0.464285714,0.464285714
95,t18,Pregnancy.cat,0.206349206,0.352281938,0.352281938
96,t18,oralsxfrequency.cat,1,0.028306926,0.028306926
97,t18,analsxfrequency.cat,0.320197044,0.236029398,0.236029398
98,t18,sextoyfrequency.cat,0.068965517,0.440958552,0.440958552
99,t18,sexpartner1yr.cat,1,0.124225999,0.124225999
100,t18,Feminine.products,1,0.182574186,0.182574186
101,t18,Feminine.products.48hrs,1,0.071428571,0.071428571
102,t18,Tampon.Use.cat,1,0.009390603,0.009390603
103,t18,Tampon.use.1mth,1,0.073947387,0.073947387
104,t18,smoking.current,1,0.035955873,0.035955873
105,t18,druguse,0.689655172,NA,0.267261242
106,t18,substanceuse,0.468965517,0.141019019,0.141019019
107,t18,Is.the.patient.antiretroviral.naive.,1,0.071428571,0.071428571
108,t18,HIV.Clade...Result,0.418390805,NA,0.292902587
109,t18,Likely.mode.of.HIV.acquisition,0.029885057,NA,0.534522484
110,t18,HCV.Antibody...Result,1,NA,0.125
111,t18,HCV.PCR...Result,0.429885057,NA,0.226581742
112,t18,HBV.sAb...Result,1,NA,0.089696856
113,t18,HBV.sAg...Result,1,0.089087081,0.089087081
114,t18,HBV.cAb...Result,0.671264368,NA,0.305624923
115,t18,CST,0.724137931,NA,0.377964473
116,t18,nugent_score_result,0.436781609,NA,0.271991897
117,t18,bv_infecttotal_2mo,0.995936912,NA,NA
118,t18,bv_infecttotal_1yr,0.310872021,NA,NA
119,t18,bv_life,0.815499291,NA,NA
120,t18,Med.Duration,0.429864476,NA,NA
121,t18,Duration.of.HIV.Infection.,0.511240527,NA,NA
122,t18,CD4.Nadir.,0.22126656,NA,NA
123,t18,Highest.VL.Ever..,0.873512107,NA,NA
124,t18,CD4.,0.634244334,NA,NA
125,t18,VL..copies.mL..,0.764579029,NA,NA
126,t18,Number.of.Different.HPV.Types,0.141224302,NA,NA
127,t26,rxdrug,1,0.072835704,0.072835704
128,t26,antimicrodrug,1,0.131306433,0.131306433
129,t26,Age.cat,1,0.092847669,0.092847669
130,t26,BMI.under.cat,1,0.071428571,0.071428571
131,t26,BMI.over.cat,0.482758621,0.195615199,0.195615199
132,t26,Ethnicity.cat,1,0.131306433,0.131306433
133,t26,Ethnicity2.cat,1,NA,0.262612866
134,t26,BV.ever,1,0.151619609,0.151619609
135,t26,Yeast.ever,0.266666667,0.307940881,0.307940881
136,t26,UTI.ever,0.4,0.227429413,0.227429413
137,t26,Trich.ever,0.133333333,0.473432076,0.473432076
138,t26,Condyloma.ever,1,0.1024439,0.1024439
139,t26,GenHerpes.ever,1,0.072835704,0.072835704
140,t26,Chlamydia.ever,0.3,0.283654314,0.283654314
141,t26,Gonorrhea.ever,1,0.111978502,0.111978502
142,t26,Syphillis.ever,1,0.08304548,0.08304548
143,t26,Presence.Symptoms.2wks,0.233333333,0.336601385,0.336601385
144,t26,Presence.Symptoms.48hrs,0.166666667,0.415227399,0.415227399
145,t26,abnormaldischarge2wk,0.233333333,0.336601385,0.336601385
146,t26,abnormaldischarge48,0.166666667,0.415227399,0.415227399
147,t26,abnormalodor2wk,0.166666667,0.415227399,0.415227399
148,t26,abnormalodor48,0.133333333,0.473432076,0.473432076
149,t26,irritationdiscomfort2wk,1,0.034482759,0.034482759
150,t26,irritationdiscomfort48,1,0.034482759,0.034482759
151,t26,vaginalsymptomother2wk,1,0.034482759,0.034482759
152,t26,Symptom.pain,1,0.05143445,0.05143445
153,t26,Contraception.H,0.166666667,0.415227399,0.415227399
154,t26,Contraception.B.M,1,0.173702083,0.173702083
155,t26,Contraception.none,1,0.08304548,0.08304548
156,t26,contramethnotactive___1,1,0.121566135,0.121566135
157,t26,condoms.48h,1,0.049629167,0.049629167
158,t26,Pregnancy.cat,1,0.066666667,0.066666667
159,t26,oralsxfrequency.cat,0.448275862,0.209656967,0.209656967
160,t26,analsxfrequency.cat,1,0.086258195,0.086258195
161,t26,sextoyfrequency.cat,1,0.116642369,0.116642369
162,t26,sexpartner1yr.cat,1,0.086258195,0.086258195
163,t26,Feminine.products,0.310344828,0.281718085,0.281718085
164,t26,Feminine.products.48hrs,1,0.049629167,0.049629167
165,t26,Tampon.Use.cat,0.482758621,0.195615199,0.195615199
166,t26,Tampon.use.1mth,0.366666667,0.244051487,0.244051487
167,t26,smoking.current,1,0.162385863,0.162385863
168,t26,druguse,0.5,NA,0.283654314
169,t26,substanceuse,1,0.111978502,0.111978502
170,t26,Is.the.patient.antiretroviral.naive.,1,0.049629167,0.049629167
171,t26,HIV.Clade...Result,1,NA,0.1024439
172,t26,Likely.mode.of.HIV.acquisition,1,NA,0.185695338
173,t26,HCV.Antibody...Result,1,NA,0.173702083
174,t26,HCV.PCR...Result,1,NA,0.173702083
175,t26,HBV.sAb...Result,0.533333333,NA,0.212350743
176,t26,HBV.sAg...Result,1,0.061898446,0.061898446
177,t26,HBV.cAb...Result,0.566666667,NA,0.244051487
178,t26,CST,0.266666667,NA,0.473432076
179,t26,nugent_score_result,1,NA,0.198516667
180,t26,bv_infecttotal_2mo,0.997499457,NA,NA
181,t26,bv_infecttotal_1yr,0.996968711,NA,NA
182,t26,bv_life,0.617686645,NA,NA
183,t26,Med.Duration,0.62011813,NA,NA
184,t26,Duration.of.HIV.Infection.,0.256129692,NA,NA
185,t26,CD4.Nadir.,0.950540891,NA,NA
186,t26,Highest.VL.Ever..,0.966603043,NA,NA
187,t26,CD4.,0.532542378,NA,NA
188,t26,VL..copies.mL..,0.979940919,NA,NA
189,t26,Number.of.Different.HPV.Types,0.356201424,NA,NA
190,t31,rxdrug,1,0.072835704,0.072835704
191,t31,antimicrodrug,0.333333333,0.262612866,0.262612866
192,t31,Age.cat,1,0.092847669,0.092847669
193,t31,BMI.under.cat,1,NA,NA
194,t31,BMI.over.cat,1,0.182574186,0.182574186
195,t31,Ethnicity.cat,1,0.131306433,0.131306433
196,t31,Ethnicity2.cat,1,NA,0.262612866
197,t31,BV.ever,1,0.151619609,0.151619609
198,t31,Yeast.ever,1,0.111978502,0.111978502
199,t31,UTI.ever,1,0.151619609,0.151619609
200,t31,Trich.ever,1,0.072835704,0.072835704
201,t31,Condyloma.ever,1,0.1024439,0.1024439
202,t31,GenHerpes.ever,1,0.072835704,0.072835704
203,t31,Chlamydia.ever,0.3,0.283654314,0.283654314
204,t31,Gonorrhea.ever,0.266666667,0.307940881,0.307940881
205,t31,Syphillis.ever,0.166666667,0.415227399,0.415227399
206,t31,Presence.Symptoms.2wks,1,0.1024439,0.1024439
207,t31,Presence.Symptoms.48hrs,1,0.08304548,0.08304548
208,t31,abnormaldischarge2wk,1,0.1024439,0.1024439
209,t31,abnormaldischarge48,1,0.08304548,0.08304548
210,t31,abnormalodor2wk,1,0.08304548,0.08304548
211,t31,abnormalodor48,1,0.072835704,0.072835704
212,t31,irritationdiscomfort2wk,1,0.034482759,0.034482759
213,t31,irritationdiscomfort48,1,0.034482759,0.034482759
214,t31,vaginalsymptomother2wk,1,0.034482759,0.034482759
215,t31,Symptom.pain,1,0.05143445,0.05143445
216,t31,Contraception.H,0.166666667,0.415227399,0.415227399
217,t31,Contraception.B.M,1,0.173702083,0.173702083
218,t31,Contraception.none,1,0.08304548,0.08304548
219,t31,contramethnotactive___1,1,0.121566135,0.121566135
220,t31,condoms.48h,1,0.049629167,0.049629167
221,t31,Pregnancy.cat,1,0.066666667,0.066666667
222,t31,oralsxfrequency.cat,0.448275862,0.209656967,0.209656967
223,t31,analsxfrequency.cat,1,0.086258195,0.086258195
224,t31,sextoyfrequency.cat,1,0.116642369,0.116642369
225,t31,sexpartner1yr.cat,1,0.086258195,0.086258195
226,t31,Feminine.products,1,0.126773138,0.126773138
227,t31,Feminine.products.48hrs,1,0.049629167,0.049629167
228,t31,Tampon.Use.cat,1,0.182574186,0.182574186
229,t31,Tampon.use.1mth,1,0.141292966,0.141292966
230,t31,smoking.current,0.433333333,0.212350743,0.212350743
231,t31,druguse,1,NA,0.185695338
232,t31,substanceuse,0.266666667,0.307940881,0.307940881
233,t31,Is.the.patient.antiretroviral.naive.,1,0.049629167,0.049629167
234,t31,HIV.Clade...Result,0.1,NA,0.557086015
235,t31,Likely.mode.of.HIV.acquisition,1,NA,0.185695338
236,t31,HCV.Antibody...Result,0.466666667,NA,0.262612866
237,t31,HCV.PCR...Result,0.466666667,NA,0.307940881
238,t31,HBV.sAb...Result,0.533333333,NA,0.212350743
239,t31,HBV.sAg...Result,1,0.061898446,0.061898446
240,t31,HBV.cAb...Result,1,NA,0.212350743
241,t31,CST,1,NA,0.262612866
242,t31,nugent_score_result,0.533333333,NA,0.244051487
243,t31,bv_infecttotal_2mo,0.997499457,NA,NA
244,t31,bv_infecttotal_1yr,0.996968711,NA,NA
245,t31,bv_life,0.28014821,NA,NA
246,t31,Med.Duration,0.628704861,NA,NA
247,t31,Duration.of.HIV.Infection.,0.988725741,NA,NA
248,t31,CD4.Nadir.,0.794392403,NA,NA
249,t31,Highest.VL.Ever..,0.426208898,NA,NA
250,t31,CD4.,0.363568132,NA,NA
251,t31,VL..copies.mL..,0.979940919,NA,NA
252,t31,Number.of.Different.HPV.Types,0.909269006,NA,NA
253,t33,rxdrug,1,0.104828484,0.104828484
254,t33,antimicrodrug,0.103448276,0.377964473,0.377964473
255,t33,Age.cat,0.365517241,0.200445931,0.200445931
256,t33,BMI.under.cat,1,0.071428571,0.071428571
257,t33,BMI.over.cat,1,0.009390603,0.009390603
258,t33,Ethnicity.cat,1,0.094491118,0.094491118
259,t33,Ethnicity2.cat,1,NA,0.188982237
260,t33,BV.ever,0.503448276,0.21821789,0.21821789
261,t33,Yeast.ever,1,0.161164593,0.161164593
262,t33,UTI.ever,1,0.054554473,0.054554473
263,t33,Trich.ever,1,0.104828484,0.104828484
264,t33,Condyloma.ever,0.048275862,0.484452142,0.484452142
265,t33,GenHerpes.ever,0.252873563,0.28827833,0.28827833
266,t33,Chlamydia.ever,1,0.174963553,0.174963553
267,t33,Gonorrhea.ever,1,0.161164593,0.161164593
268,t33,Syphillis.ever,1,0.119522861,0.119522861
269,t33,Presence.Symptoms.2wks,0.418390805,0.168505093,0.168505093
270,t33,Presence.Symptoms.48hrs,0.310344828,0.239045722,0.239045722
271,t33,abnormaldischarge2wk,0.418390805,0.168505093,0.168505093
272,t33,abnormaldischarge48,0.310344828,0.239045722,0.239045722
273,t33,abnormalodor2wk,0.310344828,0.239045722,0.239045722
274,t33,abnormalodor48,0.252873563,0.28827833,0.28827833
275,t33,irritationdiscomfort2wk,0.066666667,0.694808334,0.694808334
276,t33,irritationdiscomfort48,0.066666667,0.694808334,0.694808334
277,t33,vaginalsymptomother2wk,1,0.049629167,0.049629167
278,t33,Symptom.pain,1,0.074074074,0.074074074
279,t33,Contraception.H,1,0.119522861,0.119522861
280,t33,Contraception.B.M,1,0.017857143,0.017857143
281,t33,Contraception.none,0.310344828,0.239045722,0.239045722
282,t33,contramethnotactive___1,1,0.174963553,0.174963553
283,t33,condoms.48h,1,0.071428571,0.071428571
284,t33,Pregnancy.cat,1,0.066666667,0.066666667
285,t33,oralsxfrequency.cat,1,0.028306926,0.028306926
286,t33,analsxfrequency.cat,0.320197044,0.236029398,0.236029398
287,t33,sextoyfrequency.cat,0.482758621,0.136487171,0.136487171
288,t33,sexpartner1yr.cat,1,0.124225999,0.124225999
289,t33,Feminine.products,1,0.182574186,0.182574186
290,t33,Feminine.products.48hrs,1,0.071428571,0.071428571
291,t33,Tampon.Use.cat,1,0.009390603,0.009390603
292,t33,Tampon.use.1mth,1,0.073947387,0.073947387
293,t33,smoking.current,0.491954023,0.233713176,0.233713176
294,t33,druguse,0.689655172,NA,0.267261242
295,t33,substanceuse,1,0.161164593,0.161164593
296,t33,Is.the.patient.antiretroviral.naive.,1,0.071428571,0.071428571
297,t33,HIV.Clade...Result,1,NA,0.147441956
298,t33,Likely.mode.of.HIV.acquisition,0.517241379,NA,0.231455025
299,t33,HCV.Antibody...Result,1,NA,0.125
300,t33,HCV.PCR...Result,0.429885057,NA,0.226581742
301,t33,HBV.sAb...Result,0.193103448,NA,0.381324223
302,t33,HBV.sAg...Result,0.193103448,0.356348323,0.356348323
303,t33,HBV.cAb...Result,0.671264368,NA,0.305624923
304,t33,CST,0.448275862,NA,0.400891863
305,t33,nugent_score_result,0.436781609,NA,0.271991897
306,t33,bv_infecttotal_2mo,0.271760309,NA,NA
307,t33,bv_infecttotal_1yr,0.093782531,NA,NA
308,t33,bv_life,0.252218493,NA,NA
309,t33,Med.Duration,0.855314387,NA,NA
310,t33,Duration.of.HIV.Infection.,0.723295126,NA,NA
311,t33,CD4.Nadir.,0.748034784,NA,NA
312,t33,Highest.VL.Ever..,0.823707775,NA,NA
313,t33,CD4.,0.389151999,NA,NA
314,t33,VL..copies.mL..,0.752810887,NA,NA
315,t33,Number.of.Different.HPV.Types,0.064132303,NA,NA
316,t35,rxdrug,1,0.104828484,0.104828484
317,t35,antimicrodrug,0.540229885,0.188982237,0.188982237
318,t35,Age.cat,1,0.133630621,0.133630621
319,t35,BMI.under.cat,1,0.071428571,0.071428571
320,t35,BMI.over.cat,1,0.009390603,0.009390603
321,t35,Ethnicity.cat,1,0.094491118,0.094491118
322,t35,Ethnicity2.cat,1,NA,0.188982237
323,t35,BV.ever,0.151724138,0.327326835,0.327326835
324,t35,Yeast.ever,1,0.161164593,0.161164593
325,t35,UTI.ever,0.503448276,0.21821789,0.21821789
326,t35,Trich.ever,1,0.104828484,0.104828484
327,t35,Condyloma.ever,1,0.147441956,0.147441956
328,t35,GenHerpes.ever,1,0.104828484,0.104828484
329,t35,Chlamydia.ever,1,0.174963553,0.174963553
330,t35,Gonorrhea.ever,1,0.161164593,0.161164593
331,t35,Syphillis.ever,1,0.119522861,0.119522861
332,t35,Presence.Symptoms.2wks,0.418390805,0.168505093,0.168505093
333,t35,Presence.Symptoms.48hrs,1,0.119522861,0.119522861
334,t35,abnormaldischarge2wk,0.418390805,0.168505093,0.168505093
335,t35,abnormaldischarge48,1,0.119522861,0.119522861
336,t35,abnormalodor2wk,0.310344828,0.239045722,0.239045722
337,t35,abnormalodor48,1,0.104828484,0.104828484
338,t35,irritationdiscomfort2wk,1,0.049629167,0.049629167
339,t35,irritationdiscomfort48,1,0.049629167,0.049629167
340,t35,vaginalsymptomother2wk,1,0.049629167,0.049629167
341,t35,Symptom.pain,1,0.074074074,0.074074074
342,t35,Contraception.H,1,0.119522861,0.119522861
343,t35,Contraception.B.M,1,0.017857143,0.017857143
344,t35,Contraception.none,1,0.119522861,0.119522861
345,t35,contramethnotactive___1,0.517241379,0.116642369,0.116642369
346,t35,condoms.48h,1,0.071428571,0.071428571
347,t35,Pregnancy.cat,1,0.096076892,0.096076892
348,t35,oralsxfrequency.cat,1,0.028306926,0.028306926
349,t35,analsxfrequency.cat,1,0.124225999,0.124225999
350,t35,sextoyfrequency.cat,0.482758621,0.136487171,0.136487171
351,t35,sexpartner1yr.cat,1,0.124225999,0.124225999
352,t35,Feminine.products,1,0.182574186,0.182574186
353,t35,Feminine.products.48hrs,1,0.071428571,0.071428571
354,t35,Tampon.Use.cat,1,0.009390603,0.009390603
355,t35,Tampon.use.1mth,1,0.073947387,0.073947387
356,t35,smoking.current,1,0.035955873,0.035955873
357,t35,druguse,0.448275862,NA,0.231455025
358,t35,substanceuse,0.468965517,0.141019019,0.141019019
359,t35,Is.the.patient.antiretroviral.naive.,1,0.071428571,0.071428571
360,t35,HIV.Clade...Result,0.418390805,NA,0.292902587
361,t35,Likely.mode.of.HIV.acquisition,1,NA,0.267261242
362,t35,HCV.Antibody...Result,0.632183908,NA,0.25
363,t35,HCV.PCR...Result,0.705747126,NA,0.25
364,t35,HBV.sAb...Result,0.581609195,NA,0.285714286
365,t35,HBV.sAg...Result,1,0.089087081,0.089087081
366,t35,HBV.cAb...Result,0.671264368,NA,0.243034841
367,t35,CST,1,NA,0.242226071
368,t35,nugent_score_result,0.275862069,NA,0.290543602
369,t35,bv_infecttotal_2mo,0.995936912,NA,NA
370,t35,bv_infecttotal_1yr,0.996811556,NA,NA
371,t35,bv_life,0.996059234,NA,NA
372,t35,Med.Duration,0.67443602,NA,NA
373,t35,Duration.of.HIV.Infection.,0.230683863,NA,NA
374,t35,CD4.Nadir.,0.061508938,NA,NA
375,t35,Highest.VL.Ever..,0.956036338,NA,NA
376,t35,CD4.,0.543175055,NA,NA
377,t35,VL..copies.mL..,0.158361033,NA,NA
378,t35,Number.of.Different.HPV.Types,0.912876709,NA,NA
379,t40,rxdrug,0.252873563,0.28827833,0.28827833
380,t40,antimicrodrug,0.540229885,0.188982237,0.188982237
381,t40,Age.cat,0.365517241,0.200445931,0.200445931
382,t40,BMI.under.cat,1,0.071428571,0.071428571
383,t40,BMI.over.cat,1,0.009390603,0.009390603
384,t40,Ethnicity.cat,1,0.094491118,0.094491118
385,t40,Ethnicity2.cat,1,NA,0.188982237
386,t40,BV.ever,1,0.054554473,0.054554473
387,t40,Yeast.ever,0.468965517,0.141019019,0.141019019
388,t40,UTI.ever,1,0.054554473,0.054554473
389,t40,Trich.ever,1,0.104828484,0.104828484
390,t40,Condyloma.ever,1,0.147441956,0.147441956
391,t40,GenHerpes.ever,1,0.104828484,0.104828484
392,t40,Chlamydia.ever,0.517241379,0.116642369,0.116642369
393,t40,Gonorrhea.ever,1,0.161164593,0.161164593
394,t40,Syphillis.ever,1,0.119522861,0.119522861
395,t40,Presence.Symptoms.2wks,1,0.147441956,0.147441956
396,t40,Presence.Symptoms.48hrs,1,0.119522861,0.119522861
397,t40,abnormaldischarge2wk,1,0.147441956,0.147441956
398,t40,abnormaldischarge48,1,0.119522861,0.119522861
399,t40,abnormalodor2wk,1,0.119522861,0.119522861
400,t40,abnormalodor48,1,0.104828484,0.104828484
401,t40,irritationdiscomfort2wk,1,0.049629167,0.049629167
402,t40,irritationdiscomfort48,1,0.049629167,0.049629167
403,t40,vaginalsymptomother2wk,1,0.049629167,0.049629167
404,t40,Symptom.pain,1,0.074074074,0.074074074
405,t40,Contraception.H,1,0.119522861,0.119522861
406,t40,Contraception.B.M,0.485057471,0.25,0.25
407,t40,Contraception.none,1,0.119522861,0.119522861
408,t40,contramethnotactive___1,1,0.174963553,0.174963553
409,t40,condoms.48h,0.131034483,0.464285714,0.464285714
410,t40,Pregnancy.cat,0.206349206,0.352281938,0.352281938
411,t40,oralsxfrequency.cat,1,0.028306926,0.028306926
412,t40,analsxfrequency.cat,1,0.124225999,0.124225999
413,t40,sextoyfrequency.cat,0.068965517,0.440958552,0.440958552
414,t40,sexpartner1yr.cat,1,0.124225999,0.124225999
415,t40,Feminine.products,1,0.182574186,0.182574186
416,t40,Feminine.products.48hrs,1,0.071428571,0.071428571
417,t40,Tampon.Use.cat,1,0.009390603,0.009390603
418,t40,Tampon.use.1mth,1,0.073947387,0.073947387
419,t40,smoking.current,0.179310345,0.305624923,0.305624923
420,t40,druguse,1,NA,0.15430335
421,t40,substanceuse,0.468965517,0.141019019,0.141019019
422,t40,Is.the.patient.antiretroviral.naive.,1,0.071428571,0.071428571
423,t40,HIV.Clade...Result,0.418390805,NA,0.292902587
424,t40,Likely.mode.of.HIV.acquisition,0.213793103,NA,0.481812056
425,t40,HCV.Antibody...Result,0.632183908,NA,0.25
426,t40,HCV.PCR...Result,0.705747126,NA,0.25
427,t40,HBV.sAb...Result,0.372413793,NA,0.305624923
428,t40,HBV.sAg...Result,1,0.089087081,0.089087081
429,t40,HBV.cAb...Result,1,NA,0.135946749
430,t40,CST,0.724137931,NA,0.377964473
431,t40,nugent_score_result,0.436781609,NA,0.271991897
432,t40,bv_infecttotal_2mo,0.995936912,NA,NA
433,t40,bv_infecttotal_1yr,0.898103789,NA,NA
434,t40,bv_life,0.789967683,NA,NA
435,t40,Med.Duration,0.908645835,NA,NA
436,t40,Duration.of.HIV.Infection.,0.533240185,NA,NA
437,t40,CD4.Nadir.,0.25957114,NA,NA
438,t40,Highest.VL.Ever..,0.834763076,NA,NA
439,t40,CD4.,0.423257525,NA,NA
440,t40,VL..copies.mL..,0.764579029,NA,NA
441,t40,Number.of.Different.HPV.Types,0.27532864,NA,NA
442,t42,rxdrug,1,0.104828484,0.104828484
443,t42,antimicrodrug,1,0.094491118,0.094491118
444,t42,Age.cat,1,0.133630621,0.133630621
445,t42,BMI.under.cat,1,0.071428571,0.071428571
446,t42,BMI.over.cat,1,0.009390603,0.009390603
447,t42,Ethnicity.cat,1,0.094491118,0.094491118
448,t42,Ethnicity2.cat,1,NA,0.188982237
449,t42,BV.ever,0.151724138,0.327326835,0.327326835
450,t42,Yeast.ever,1,0.161164593,0.161164593
451,t42,UTI.ever,0.503448276,0.21821789,0.21821789
452,t42,Trich.ever,1,0.104828484,0.104828484
453,t42,Condyloma.ever,1,0.147441956,0.147441956
454,t42,GenHerpes.ever,1,0.104828484,0.104828484
455,t42,Chlamydia.ever,1,0.174963553,0.174963553
456,t42,Gonorrhea.ever,1,0.161164593,0.161164593
457,t42,Syphillis.ever,1,0.119522861,0.119522861
458,t42,Presence.Symptoms.2wks,1,0.147441956,0.147441956
459,t42,Presence.Symptoms.48hrs,1,0.119522861,0.119522861
460,t42,abnormaldischarge2wk,1,0.147441956,0.147441956
461,t42,abnormaldischarge48,1,0.119522861,0.119522861
462,t42,abnormalodor2wk,1,0.119522861,0.119522861
463,t42,abnormalodor48,1,0.104828484,0.104828484
464,t42,irritationdiscomfort2wk,1,0.049629167,0.049629167
465,t42,irritationdiscomfort48,1,0.049629167,0.049629167
466,t42,vaginalsymptomother2wk,1,0.049629167,0.049629167
467,t42,Symptom.pain,1,0.074074074,0.074074074
468,t42,Contraception.H,1,0.119522861,0.119522861
469,t42,Contraception.B.M,1,0.017857143,0.017857143
470,t42,Contraception.none,1,0.119522861,0.119522861
471,t42,contramethnotactive___1,0.517241379,0.116642369,0.116642369
472,t42,condoms.48h,1,0.071428571,0.071428571
473,t42,Pregnancy.cat,1,0.066666667,0.066666667
474,t42,oralsxfrequency.cat,1,0.028306926,0.028306926
475,t42,analsxfrequency.cat,1,0.124225999,0.124225999
476,t42,sextoyfrequency.cat,1,0.16798421,0.16798421
477,t42,sexpartner1yr.cat,0.320197044,0.236029398,0.236029398
478,t42,Feminine.products,1,0.182574186,0.182574186
