Simple.name,Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.07,Vogue1B2.01.09,Vogue1B2.01.23,Vogue1B2.01.21,Vogue1B2.01.05,Vogue1B2.01.04,Vogue1B2.01.15,Vogue1B2.01.20,Vogue1B2.01.14,Vogue1B2.01.28,Vogue1B2.01.12,Vogue1B2.01.01,Vogue1B2.01.16,Vogue1B2.01.13,Vogue1B2.01.11,Vogue1B2.01.29,Vogue1B2.01.06,Vogue1B2.01.03,Vogue1B2.01.10,Vogue1B2.01.24,Vogue1B2.01.08,Vogue1B2.01.19
Bacillus stratosphericus,Other Firmicutes,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Bacteroides coagulans,Other Bacteroidetes,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,1,0
Bacteroides pectinophilus,Other Bacteroidetes,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium bifidum,Other Bifidobacterium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bifidobacterium breve,Bifidobacterium breve,16,2,0,0,1,2,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium dentium,Other Bifidobacterium,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Blautia hansenii ,Other Firmicutes,6,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulleidia extructa,Other Firmicutes,22,3,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia glumae,Other Proteobacteria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia phytofirmans,Other Proteobacteria,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0
Caldicellulosiruptor saccharolyticus,Other Firmicutes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia sp. BVAB2,Clostridia sp. BVAB2,1182,81,66,0,1,7,11,495,4,37,205,2,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia sp. probably BVAB2,Clostridia sp. BVAB2,246,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,15,15,3,3,5,16,16,31,1,2,0,23,32,34,2,2,12,16,12
Clostridium genomosp. BVAB3,Clostridium genomosp. BVAB3,643,196,3,0,0,0,0,0,10,0,397,0,7,1,0,0,0,14,0,0,0,0,5,0,0,0,0,0,5,0,1,0,0,4,0
Clostridium stercorarium subsp. stercorarium,Other Clostridium,32,19,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium sticklandii,Other Clostridium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Coprococcus eutactus,Other Clostridium,22,0,0,1,0,10,0,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium amycolatum,Other Actinobacteria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
Corynebacterium genitalium,Other Actinobacteria,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium tuberculostearicum,Other Actinobacteria,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0
Desulfotomaculum hydrothermale,Other Clostridium,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialister invisus ,Other Firmicutes,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella lenta,Other Actinobacteria,127,17,0,2,0,0,7,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus faecalis,Other Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli,Escherichia coli,2531,0,0,1,1738,0,0,0,1,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,775,0,7,0,2,0
Eubacterium coprostanoligenes,Other Clostridium,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium eligen,Other Clostridium,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facklamia hominis,Other Firmicutes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Facklamia hominis,Other Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium cf. prausnitzii,Other Clostridium,97,0,1,10,15,24,8,1,2,7,14,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardnerella vaginalis Group A,Gardnerella vaginalis Group A,18737,1493,1870,3449,8,775,4,53,105,9,5843,4,19,8,16,3,63,67,7,8,1,23,9,52,3,10,0,2067,1187,777,3,59,185,553,4
Gardnerella vaginalis Group B,Gardnerella vaginalis Group B,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,86,0,0,0,0,0,0,0,0,0,294,0
Gardnerella vaginalis Group C,Gardnerella vaginalis Group C,14132,174,408,96,5,18,9,497,28,3577,114,6,8,6,4,195,657,16,6,0,0,19,129,205,8,1,1,100,111,42,5334,1194,525,637,2
Gardnerella vaginalis Group D,Gardnerella vaginalis Group D,82,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,2,0
Gemella haemolysans,Other Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Haemophilus haemolyticus,Other Proteobacteria,20,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus parainfluenzae,Other Proteobacteria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Haemophilus paraphophilus,Other Proteobacteria,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Homo sapiens,Eukaryote,65,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,3,14,5,0,0,17,1,1,1,0,1,0,0,0,8,0,0,0,2
Klebsiella pneumoniae,Klebsiella pneumoniae,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,1,1,469
Lactobacillus acidophilus ,Other Lactobacillus,70,1,0,7,3,31,0,0,16,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus coleohominis,Other Lactobacillus,17,0,0,0,3,1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus crispatus,Lactobacillus crispatus,27007,1,3,7,15,10,22,40,3807,2,10,4880,18,7,26,25,160,106,7832,1162,1918,5354,502,647,64,2,29,79,63,2,2,69,18,116,9
Lactobacillus delbrueckii,Other Lactobacillus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus gasseri,Lactobacillus gasseri,6073,0,2,8,209,51,2599,17,11,21,7,2,2,23,3,3,48,16,2,3,3,13,8,7,1899,994,44,45,0,4,2,23,0,3,1
Lactobacillus iners,Lactobacillus iners,43313,14,7,1666,190,9179,1,17,2817,1,89,9,216,1321,5187,6473,5127,3496,73,25,390,105,236,518,11,3,493,26,309,11,3,253,126,4871,50
Lactobacillus jensenii,Lactobacillus jensenii,6728,21,11,9,19,11,23,4,8,2,8,141,2,1,16,2,19,2541,178,20,101,2209,15,204,6,1,985,13,9,5,2,11,1,117,13
Lactobacillus plantarum,Other Lactobacillus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus plantarum,Other Lactobacillus,70,0,2,6,7,18,12,4,7,2,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri,Other Lactobacillus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,11,0,0,0,2,0,0,3,0
Lactobacillus reuteri,Other Lactobacillus,29,0,0,0,0,6,5,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus,Other Lactobacillus,50,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Lactobacillus ultunensis,Other Lactobacillus,23,0,6,4,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc lactis,Other Firmicutes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum magnetotacticum,Other Proteobacteria,11,2,0,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera cerevisiae,Other Firmicutes,564,0,9,0,0,0,0,0,7,0,546,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera sp. genomosp. type 1,Megasphaera sp. genomosp. type 1,11033,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,2,0,0,0,1,21,8,0,0,0,0,16,0,0,0,6,10957,0
Megasphaera sp. genomosp. type_1,Megasphaera sp. genomosp. type 1,607,602,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacillus flagellatus,Other Proteobacteria,15,0,0,3,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsuokella multacida,Other Firmicutes,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobiluncus curtsii,Other Actinobacteria,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0
Mobiluncus mulieris,Other Actinobacteria,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nostoc commune,Other Bacteria,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0
Paraprevotella clara ,Other Bacteroidetes,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus harei,Other Clostridium,157,2,0,6,53,10,6,33,5,16,1,4,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Peptoniphilus lacrimalis,Other Clostridium,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polynucleobacter necessarius,Other Proteobacteria,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Porphyromonas gingivicanis,Other Bacteroidetes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
Porphyromonas uenonis,Porphyromonas uenonis,155,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,49,2,1,1,0,1,3,0,9,1,11,42,0,0,1,29,2,0
Prevotella amnii,Prevotella amnii,3651,2,0,1,2,1,1,0,0,0,0,1,3602,3,0,0,18,4,1,4,0,2,0,0,1,0,0,0,8,0,0,0,0,0,0
Prevotella bergensis,Other Prevotella,595,0,0,0,0,1,0,576,0,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella bivia,Other Prevotella,164,83,0,0,0,0,30,8,0,1,8,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0
Prevotella buccalis,Other Prevotella,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,0,2,0,1,1,1,0,0,16,2,0
Prevotella buccalis,Other Prevotella,28,0,2,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella corporis,Other Prevotella,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0
Prevotella dentalis,Other Prevotella,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella dentasini,Other Prevotella,164,0,0,0,0,0,0,160,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella denticola,Other Prevotella,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0
Prevotella disiens,Other Prevotella,193,0,0,0,0,0,0,180,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Prevotella loescheii,Other Prevotella,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica,Other Prevotella,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella oralis,Other Prevotella,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella paludivivens,Other Prevotella,32,0,0,0,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella tannerae ,Other Prevotella,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella timonensis,Prevotella timonensis,3487,681,0,0,0,4,8,2330,2,37,7,0,1,2,4,0,23,13,0,1,0,3,15,2,1,24,0,7,94,1,0,1,103,123,0
Prevotella veroralis ,Other Prevotella,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium acidipropionici,Other Actinobacteria,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Propionibacterium acnes,Other Actinobacteria,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,33,0,0,1,0,0
Prosthecochloris vibrioformis ,Other Bacteroidetes,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas fluorescens,Other Proteobacteria,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0
Ralstonia pickettii ,Other Proteobacteria,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodoferax ferrireducens,Other Proteobacteria,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rothia mucilaginosa,Other Actinobacteria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Serratia proteamaculans,Other Proteobacteria,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella sonnei,Other Proteobacteria,20,2,1,0,0,4,9,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerotilus natans,Other Proteobacteria,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,7,0,0,0,8,11,0,0,0,0,0,0,0,0
Staphylococcus epidermidis,Other Firmicutes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Streptobacillus moniliformis,Other Bacteria,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus agalactiae,Other Streptococcus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
Streptococcus anginosus,Other Streptococcus,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0
Streptococcus devriesei,Streptococcus devriesei,325,2,8,23,35,51,41,15,35,21,39,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus infantis,Other Streptococcus,31,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,5,0,0,9,0,0,0,1,0
Streptococcus mitis,Other Streptococcus,25,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,13,0
Streptococcus parasanguinis,Other Streptococcus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
Streptococcus pseudopneumoniae,Other Streptococcus,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus salivarius,Other Streptococcus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Streptococcus salivarius subsp. salivarius,Other Streptococcus,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus sanguinis,Other Streptococcus,255,0,0,0,254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis,Other Streptococcus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus urinalis,Other Streptococcus,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus vestibularis,Other Streptococcus,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus waius,Other Streptococcus,21,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoanaerobacter thermocopriae,Other Clostridium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichechus manatus latirostris ,Eukaryote,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella parvula,Other Clostridium,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
