"","kw.ep","kw.eBH","glm.ep","glm.eBH","signif"
"Alphapapillomavirus 8",0.567279477770518,0.94461570111996,0.574430070032199,0.909994531662162,FALSE
"Alphapapillomavirus 9",0.906421553868608,0.978769416118402,0.316287858902697,0.855662429480862,FALSE
"Ambrosia asymptomatic virus 2 UKM-2007",0.473886513652915,0.939509484107308,0.439514275592073,0.838057522342951,FALSE
"Ambystoma tigrinum virus",0.526382374421097,0.942223852235303,0.482727010746831,0.850242084536748,FALSE
"Antheraea pernyi nucleopolyhedrovirus",0.48283130583818,0.938068615904199,0.459959459762185,0.837831947843857,FALSE
"Ateline herpesvirus 3",0.496416577282735,0.940521222450254,0.484382073728752,0.860217979119523,FALSE
"Aureococcus anophagefferens virus",0.540123334542078,0.945247331755427,0.49495218154542,0.854542128962382,FALSE
"Autographa californica multiple nucleopolyhedrovirus",0.476307040539499,0.938058075395527,0.458184544880373,0.826599858393183,FALSE
"Avian sarcoma virus",0.377970604510519,0.929770914735388,0.356792254740356,0.788348101607154,FALSE
"Bacillus phage 0305phi8-36",0.492263280663066,0.941653529531503,0.481310678370613,0.844535950269298,FALSE
"Bacillus phage BCD7",0.480163959942836,0.94021294255855,0.473218341722331,0.844792673530355,FALSE
"Bacillus phage BCJA1c",0.556061681452187,0.945334322510698,0.577105108525079,0.898796790181488,FALSE
"Bacillus phage G",0.579474178203438,0.94473173005864,0.544340005149967,0.886819590179637,FALSE
"Bacillus phage PBC1",0.495281201134675,0.941773419407416,0.550401169309985,0.896852129031148,FALSE
"Bacillus phage SIOphi",0.503434779296748,0.943537469612064,0.472326560453457,0.84118164911904,FALSE
"Bacillus phage SPP1",0.529969356765834,0.942157439991814,0.519003422794227,0.859739798388363,FALSE
"Bacillus phage Staley",0.507117946284861,0.943696970799484,0.468800534636949,0.847075817587299,FALSE
"Bacillus phage vB_BanS-Tsamsa",0.526170211831345,0.944640842331404,0.501454874456186,0.857429971737045,FALSE
"Bacillus virus 1",0.516347032766367,0.941098283795964,0.494023177334976,0.85383793481855,FALSE
"Bacteriophage Lily",0.501610162537986,0.943040060634923,0.532122374501364,0.876151105397881,FALSE
"Baku virus",0.528815118238411,0.941538182992304,0.504704235946671,0.863850594577083,FALSE
"Ball python nidovirus",0.520432757962107,0.942913763139452,0.517785789513763,0.870065628046809,FALSE
"Bat betaherpesvirus B7D8",0.441077921983222,0.936555266199999,0.423612635569607,0.838126980385016,FALSE
"Bat mastadenovirus B",0.518756475643969,0.942544717031748,0.506224284629741,0.869427843799525,FALSE
"Bathycoccus sp. RCC1105 virus BpV",0.496384984408494,0.941155530324561,0.470711509072313,0.858490775781115,FALSE
"Bell pepper mottle virus",0.519812484168635,0.941447537034803,0.495116859646675,0.87148674757436,FALSE
"Betapapillomavirus 1",0.521001570873169,0.942035266494609,0.508013693803387,0.865343147014422,FALSE
"Betapapillomavirus 2",0.488487320980882,0.942001841401157,0.4161579799578,0.819449943032528,FALSE
"Betapapillomavirus 3",0.499502616620299,0.943698636196345,0.476957886791334,0.849959160500917,FALSE
"Bovine herpesvirus 1",0.477666209493623,0.940165181345564,0.443929133164664,0.839617291236656,FALSE
"Bovine herpesvirus 5",0.479820042484532,0.939886154633739,0.447447754029014,0.826717416989777,FALSE
"Brevibacillus phage Emery",0.474337159681922,0.940809976141447,0.456046071608608,0.84270640411985,FALSE
"Brochothrix phage A9",0.472594680949258,0.939205246936287,0.483182730678651,0.84991602954328,FALSE
"Brochothrix phage BL3",0.491696826577962,0.941797959704828,0.464296261917945,0.838768784174232,FALSE
"Brochothrix phage NF5",0.41733169325331,0.938152305412011,0.438402119358027,0.817567472563844,FALSE
"Burkholderia phage Bcep22",0.477785883574882,0.939681702138951,0.469851623777074,0.830470539526239,FALSE
"Burkholderia phage BcepC6B",0.470104712720026,0.940798142541015,0.46270072186469,0.823181731223587,FALSE
"Burkholderia phage BcepF1",0.497431026318942,0.940390800424171,0.457083445961502,0.851016673750829,FALSE
"Burkholderia phage DC1",0.489080084017885,0.941600652564329,0.480784054410989,0.833187039574017,FALSE
"Burkholderia phage JG068",0.479775513489692,0.942457168586838,0.452158455892212,0.838567027411374,FALSE
"Burkholderia phage phiE255",0.529676701400003,0.942361442633665,0.498903741190779,0.862475558762303,FALSE
"Cafeteria roenbergensis virus",0.454898426459662,0.936985170018145,0.416704319280314,0.826560233591763,FALSE
"Callitrichine herpesvirus 3",0.476244461823397,0.9401290210405,0.462339617143376,0.852162339742673,FALSE
"Canarypox virus",0.506907488883759,0.942472589060309,0.469575867977463,0.851637272865833,FALSE
"Canid herpesvirus 1",0.453246039717149,0.938806202010533,0.433740676066243,0.833267235803419,FALSE
"Cardioderma polyomavirus",0.545037880944614,0.944678198479113,0.51414957341044,0.853117164795379,FALSE
"Caviid herpesvirus 2",0.438626096145535,0.938859053587066,0.429044127205161,0.818177901143889,FALSE
"Cellulophaga phage phi13:2",0.465774342020923,0.938970895714193,0.413797117267489,0.818555747652089,FALSE
"Cellulophaga phage phi39:1",0.449581574190156,0.937965878035135,0.421046922504812,0.836693673672409,FALSE
"Cellulophaga phage phi46:3",0.524915034027847,0.943964431652963,0.504867173864557,0.864845864126186,FALSE
"Cellulophaga phage phiST",0.489544796215022,0.940348703552695,0.45148034357772,0.837223290185937,FALSE
"Cercopithecine herpesvirus 2",0.493188126864896,0.941208444540928,0.479001452762857,0.863889536264685,FALSE
"Cercopithecine herpesvirus 5",0.510759054316795,0.941631972105815,0.518286836756272,0.857860988920228,FALSE
"Chimpanzee stool associated circular ssDNA virus",0.469269821437689,0.939833180476578,0.473615469748078,0.839154313696835,FALSE
"Chipapillomavirus 1",0.504174016071429,0.943585467162959,0.483781019181641,0.845328923812276,FALSE
"Choristoneura occidentalis granulovirus",0.465469638256048,0.939609669203843,0.437939891512828,0.821533421066664,FALSE
"Choristoneura rosaceana alphabaculovirus",0.534111656908882,0.944499987922544,0.499699167580462,0.846770991896101,FALSE
"Choristoneura rosaceana entomopoxvirus 'L'",0.486081534306275,0.94005032678036,0.468937279628799,0.852684044097507,FALSE
"Circoviridae",0.480258820730338,0.940661581480587,0.45120369745332,0.841591422529193,FALSE
"Clostridium phage phiCD211",0.451812640024849,0.940154051574635,0.400044210680927,0.820780887679816,FALSE
"Clostridium phage phiCDHM19",0.417894283590666,0.936357303235843,0.314016419522839,0.780451561644367,FALSE
"Clostridium phage phiCP26F",0.478721125738512,0.939147131657757,0.462630992366689,0.836925206098141,FALSE
"Clostridium phage phiCT19406C",0.460929805877842,0.935667969316631,0.435209900992514,0.835113025113067,FALSE
"Clostridium phage phiCT453A",0.484439245925879,0.940152399714533,0.467872746968909,0.842082227960115,FALSE
"Clostridium phage phiCT9441A",0.425328119595735,0.936732002185724,0.456947997529643,0.85174637614876,FALSE
"Clostridium phage phiCTP1",0.469938227192672,0.939997460923868,0.429897575981992,0.843082466576503,FALSE
"Corynebacterium phage BFK20",0.44975013682078,0.937807974500298,0.439985931562427,0.840082526028138,FALSE
"Corynebacterium phage P1201",0.533348936589941,0.941658759290227,0.628606491068519,0.92808543385838,FALSE
"Cotesia congregata bracovirus",0.510258995917879,0.942164103680551,0.467894658422588,0.854564113127746,FALSE
"Croceibacter phage P2559Y",0.416953569172019,0.932959480873062,0.299661131605265,0.764734398658426,FALSE
"Cronobacter phage CR5",0.470679535576949,0.939477393698337,0.502221034434232,0.863724712317373,FALSE
"Cronobacter phage CR9",0.516472939591332,0.942712748569264,0.502533110188255,0.846276543636609,FALSE
"Cronobacter phage vB_CsaP_GAP52",0.494595082392954,0.941969643230865,0.411823580165545,0.838238317955669,FALSE
"Cyprinid herpesvirus 2",0.470838210791456,0.938334269892428,0.441316718062685,0.835016442955263,FALSE
"Cyprinid herpesvirus 3",0.383089281765249,0.934423985969417,0.36895676782033,0.788353914004542,FALSE
"Debaryomyces hansenii virus JB-2008",0.513784421550435,0.942002675690275,0.462805736746752,0.832188564951299,FALSE
"Deep-sea thermophilic phage D6E",0.564944389063764,0.944640893365472,0.517740603777698,0.87714953365552,FALSE
"Delftia phage IME-DE1",0.471312682480453,0.940010299018377,0.44950385164751,0.844850142290291,FALSE
"Dendrolimus kikuchii nucleopolyhedrovirus",0.530355336161247,0.942368848339728,0.525655044117271,0.866635255626583,FALSE
"Diadromus pulchellus ascovirus 4a",0.473083732206744,0.940554919881734,0.447148599169986,0.824385106048694,FALSE
"Dromedary stool-associated circular ssDNA virus",0.479785283704215,0.940974902832294,0.467349066040881,0.833165350186654,FALSE
"Duck adenovirus 2",0.414786379504916,0.935001183496251,0.408212082868604,0.824730152820663,FALSE
"Dyoomikronpapillomavirus 1",0.475486966323262,0.941024822231823,0.430081577636146,0.827725458791233,FALSE
"EBPR siphovirus 1",0.486067999215198,0.942152005111238,0.457133265445288,0.847742137853486,FALSE
"EBPR siphovirus 5",0.496336985383668,0.941208653180977,0.492489677489179,0.832591398382196,FALSE
"Ectocarpus siliculosus virus 1",0.587178666102763,0.945227451332319,0.613387458316419,0.901191553570511,FALSE
"Edwardsiella phage MSW-3",0.488714310080436,0.941408936737512,0.465648932545664,0.840303643292735,FALSE
"Edwardsiella phage PEi2",0.517135083294691,0.941308783442297,0.495336314798502,0.857245387241977,FALSE
"Elephant endotheliotropic herpesvirus 6",0.484472795241582,0.941866503072199,0.50203993797506,0.857191627278741,FALSE
"Elephantid herpesvirus 1",0.44868364399406,0.934067515766914,0.417860727447941,0.842848756143015,FALSE
"Emiliania huxleyi virus 145",0.627898840697769,0.94872218676932,0.556389424138552,0.912652003537746,FALSE
"Emiliania huxleyi virus 156",0.164357488364741,0.924170935921793,0.263890578727228,0.730612040378197,FALSE
"Emiliania huxleyi virus 164",0.517571638120309,0.943516538486765,0.477275977469915,0.857977282113759,FALSE
"Emiliania huxleyi virus 18",0.503745285415688,0.940848832208682,0.490411979714499,0.871507767849774,FALSE
"Emiliania huxleyi virus 203",0.493471010958748,0.941816297048289,0.500989525177279,0.860675159818531,FALSE
"Emiliania huxleyi virus 84",0.517814745051223,0.943578446998207,0.48274955002177,0.834298131000149,FALSE
"Emiliania huxleyi virus 99B1",0.470648012043902,0.937131873291565,0.429041857951255,0.808587499292408,FALSE
"Emiliania huxleyi virus PS401",0.52119773642191,0.944043586583585,0.468327913716347,0.842981117647033,FALSE
"Enhydra lutris papillomavirus 1",0.504125375607965,0.941250654709969,0.460987204812224,0.847404042681463,FALSE
"Enterobacter phage Enc34",0.505688455706088,0.942086773628385,0.505417288007722,0.857139064866675,FALSE
"Enterobacteria phage N15",0.673482643935048,0.954285047530527,0.604934923607047,0.904774747406211,FALSE
"Enterococcus phage ECP3",0.495811956420983,0.941006820153455,0.481009234595697,0.861598189257947,FALSE
"Enterococcus phage EFDG1",0.334204223468191,0.932904124592121,0.33830064339495,0.783757545873779,FALSE
"Enterococcus phage EFLK1",0.6694772304351,0.955840814615115,0.622458403860952,0.906865233508459,FALSE
"Enterococcus phage vB_Efae230P-4",0.442505789589428,0.938025259778436,0.472969560273998,0.869773151759512,FALSE
"Enterovirus B",0.273310884795625,0.928455018257281,0.129299703963381,0.632766472614699,FALSE
"Environmental Halophage eHP-35",0.533663541203415,0.941542273343019,0.531893928715626,0.870548658065226,FALSE
"Environmental Halophage eHP-40",0.410270914496193,0.937705701959109,0.400888950377029,0.805199823005195,FALSE
"Equid herpesvirus 5",0.504495134137927,0.939087238213269,0.487114726637219,0.866509436301185,FALSE
"Erwinia phage Ea35-70",0.532906635003729,0.941940940544442,0.496301772272161,0.866677473128745,FALSE
"Erwinia phage GR-2012",0.525071630332274,0.943913400480428,0.492184912648639,0.862231741627045,FALSE
"Erwinia phage phiEt88",0.501558167926044,0.941160907348323,0.456859474067798,0.839488619548772,FALSE
"Escherichia phage ECML-117",0.478574722325513,0.939554738214306,0.475614280028709,0.846417362631899,FALSE
"Escherichia phage P694",0.499576112633598,0.941818133858195,0.500630888764209,0.86743934733016,FALSE
"Escherichia phage Pollock",0.455093022240435,0.940341990902951,0.426918566261975,0.832499869564165,FALSE
"Euproctis pseudoconspersa nucleopolyhedrovirus",0.501940376618985,0.939952926083201,0.477302413858219,0.856998640974075,FALSE
"Faeces associated gemycircularvirus 5",0.467443637947713,0.938507180077297,0.471230819874245,0.849420584956057,FALSE
"Falconid herpesvirus 1",0.514416603468986,0.939852077960802,0.485384731961904,0.856590184145068,FALSE
"Feline leukemia virus",0.443343743887081,0.938841931467503,0.252653106839329,0.718513657255014,FALSE
"Flavobacterium phage 6H",0.496719269662478,0.942274462389311,0.461140964788314,0.847821660774025,FALSE
"Flavobacterium phage FCL-2",0.480576005161312,0.940180753259173,0.476895316020584,0.853034215524956,FALSE
"Frog virus 3",0.46885490162657,0.940615752695586,0.44486425341577,0.824035046446895,FALSE
"Fusobacterium phage Funu2",0.440135294927077,0.939066498167608,0.418496450161623,0.799965963947343,FALSE
"Gammapapillomavirus 10",0.496059374675585,0.94243069217746,0.462455037882482,0.836496362018954,FALSE
"Gammapapillomavirus 12",0.489202348011696,0.938109670494168,0.474606136630582,0.846742053378902,FALSE
"Gammapapillomavirus 13",0.500587732650736,0.940027403329971,0.467264928517506,0.839988293381637,FALSE
"Gammapapillomavirus 15",0.483619547514604,0.944777897000001,0.476443585154464,0.840457990217589,FALSE
"Gammapapillomavirus 16",0.504539538164213,0.940336174267459,0.490059140501031,0.868318274374552,FALSE
"Gammapapillomavirus 3",0.464341405231715,0.939616021421145,0.445665944393675,0.839303907478773,FALSE
"Gammapapillomavirus 6",0.500791135245814,0.939981938970743,0.381209149304855,0.831244470090029,FALSE
"Gammapapillomavirus 7",0.42804005173185,0.936183280349791,0.387068964735342,0.818444893724004,FALSE
"Gammapapillomavirus 8",0.466958535527288,0.926761998901213,0.416730724625351,0.822635286691904,FALSE
"Gammapapillomavirus 9",0.508693135292802,0.939862100766555,0.47125322793625,0.843117304595181,FALSE
"Geobacillus phage GBK2",0.495562397633437,0.938349037667416,0.541517600664008,0.889502147560865,FALSE
"Geobacillus virus E2",0.450457268949489,0.936808907701973,0.482650658744309,0.865546154636013,FALSE
"Glossina hytrovirus",0.464659012698637,0.939037267529047,0.465027349024398,0.856780212752182,FALSE
"Glypta fumiferanae ichnovirus",0.342367575933494,0.929627631866521,0.237381947656355,0.768423493814802,FALSE
"Gordonia phage Gsput1",0.48068726459003,0.942109661598788,0.484761148303968,0.839361488412519,FALSE
"Gordonia phage GTE2",0.485493709101353,0.937073998426553,0.481697062636297,0.850694601175358,FALSE
"Haemophilus phage HP1",0.509789836634726,0.941130851652435,0.489104859495475,0.852639209715417,FALSE
"Heliothis zea nudivirus",0.523265447727702,0.94456432318701,0.470206294104346,0.836831478259702,FALSE
"Hemileuca sp. nucleopolyhedrovirus",0.514239324794225,0.940317332901573,0.520140134544558,0.868184227651395,FALSE
"Hepatitis B virus",0.486813636876009,0.937403761813312,0.46997736143486,0.851821084784018,FALSE
"Hepatitis C virus",0.460993457600861,0.940238665880525,0.472390673995065,0.854767789378155,FALSE
"Human endogenous retrovirus K",0.4727851179292,0.937260103965155,0.463840100449517,0.847870177215451,FALSE
"Human herpesvirus 1",0.492526581386155,0.941957329721511,0.478483720472262,0.846172766531455,FALSE
"Human herpesvirus 2",0.486117718597659,0.941916841876433,0.469365317245587,0.856126540413726,FALSE
"Human herpesvirus 4",0.896479646150174,0.978722140482416,0.00881114837207656,0.335099623240176,FALSE
"Human herpesvirus 5",0.461152281496991,0.938662585626171,0.544034962884362,0.878465387433124,FALSE
"Human herpesvirus 6",0.487295936310504,0.937620311069112,0.487089906617092,0.862228647657722,FALSE
"Human herpesvirus 6A",0.319676349196554,0.928866622457656,0.298682951961039,0.829508549774214,FALSE
"Human herpesvirus 6B",0.469056989292613,0.940561031783184,0.456671981055054,0.858596760754925,FALSE
"Human herpesvirus 8",0.45281701040353,0.937064153514388,0.446191141727512,0.825761780541827,FALSE
"Human immunodeficiency virus 1",0.446408598701715,0.93689124263776,0.430067847726266,0.816087963336216,FALSE
"Human mastadenovirus B",0.514835262328909,0.940426865418909,0.499982182992432,0.846427583407924,FALSE
"Human mastadenovirus C",0.447523904333576,0.935323855963798,0.449774861399381,0.84907739722749,FALSE
"Human mastadenovirus D",0.600797381786844,0.945804741710608,0.502791908011766,0.882829897557163,FALSE
"Human papillomavirus",0.658186559144922,0.951902675650434,0.576994982737729,0.893373414673103,FALSE
"Human papillomavirus 132-like viruses",0.513385198978998,0.943343791181059,0.457684136684807,0.849826268071436,FALSE
"Human papillomavirus KC5",0.484642325327358,0.942044092571155,0.455961761666924,0.843301572227166,FALSE
"Human papillomavirus type 129",0.503805247428048,0.943490683061546,0.478897582852846,0.842567453695077,FALSE
"Human papillomavirus type 134",0.514412108553332,0.941443055848709,0.484427011062805,0.846503860293188,FALSE
"Human papillomavirus type 155",0.52708298191628,0.943962839250854,0.48702207143976,0.863502998452302,FALSE
"Human papillomavirus type 172",0.51181523204081,0.941268912375811,0.504769296819711,0.862138423805731,FALSE
"Human papillomavirus type 173",0.519123049917509,0.940796802727935,0.497615758411969,0.878208894045126,FALSE
"Human papillomavirus type 179",0.500617351706019,0.944049148365204,0.46867418941648,0.817529820557772,FALSE
"Human polyomavirus 2",0.454115967810686,0.935208347063868,0.439254279654714,0.85013302235254,FALSE
"Hyposoter fugitivus ichnovirus",0.433897002079344,0.93637221530668,0.414407268290881,0.812271068986507,FALSE
"Ictalurid herpesvirus 1",0.467340109746621,0.9399291949351,0.444719079843383,0.847611511091202,FALSE
"Indian citrus ringspot virus",0.403437176281171,0.933440807993478,0.363978327739384,0.821156319515469,FALSE
"Invertebrate iridescent virus 3",0.541513746865824,0.944706460993202,0.518820425640983,0.865243337092048,FALSE
"Kallithea virus",0.522932701273767,0.94217929889806,0.52276467062155,0.880213634302127,FALSE
"Klebsiella phage NTUH-K2044-K1-1",0.615123152543421,0.949997585341168,0.614942945167656,0.90994167023814,FALSE
"Klebsiella phage phiKO2",0.687221719391602,0.957734839765815,0.640075339358393,0.921073480411254,FALSE
"Lactobacillus phage A2",0.517466260886393,0.941834673270255,0.515171710085111,0.871568331369661,FALSE
"Lactobacillus phage c5",0.446100394460745,0.936374035403188,0.438700617465991,0.841988602822363,FALSE
"Lactobacillus phage EV3",0.4765472232663,0.93889513823249,0.494115147381778,0.841436343897247,FALSE
"Lactobacillus phage JCL1032",0.428447585675151,0.932934014488687,0.452514038541902,0.835907933479989,FALSE
"Lactobacillus phage KC5a",0.436663916664962,0.937563964488275,0.420852293693647,0.850268554892589,FALSE
"Lactobacillus phage Lb338-1",0.530998606207816,0.942539053963411,0.532957536358017,0.880422383815016,FALSE
"Lactobacillus phage LBR48",0.494275384176543,0.94059500113485,0.46258157001018,0.835023927508144,FALSE
"Lactobacillus phage Ldl1",0.0992898382038616,0.921976530144173,0.0259095556427716,0.396409576581543,FALSE
"Lactobacillus phage LF1",0.460884102305586,0.938643346297875,0.450972872643514,0.865171275304413,FALSE
"Lactobacillus phage LfeInf",0.481443383830049,0.939984597494734,0.534474669720245,0.877407208682172,FALSE
"Lactobacillus phage LfeSau",0.457312578562591,0.93747334926654,0.415514822905618,0.836607372454815,FALSE
"Lactobacillus phage LL-H",0.500055764111051,0.94076445550014,0.546207638589311,0.89325523488403,FALSE
"Lactobacillus phage LP65",0.492842052754101,0.940311058727363,0.473577225274188,0.862107072174329,FALSE
"Lactobacillus phage Lrm1",0.468245098781975,0.938276359262714,0.462852717351092,0.864114446332337,FALSE
"Lactobacillus phage Lv-1",0.387067242710552,0.933153825190426,0.402863118739008,0.85957359449923,FALSE
"Lactobacillus phage mv1",0.521146122996068,0.942240320086701,0.492181936194158,0.85215706014939,FALSE
"Lactobacillus phage phi jlb1",0.478479424856689,0.94106511020964,0.478465687261596,0.880335057035763,FALSE
"Lactobacillus phage phiadh",0.530115062842221,0.945224281698027,0.437556069676337,0.866398765746724,FALSE
"Lactobacillus phage phiAQ113",0.226014498865712,0.925631901282602,0.160761586505934,0.682689960003579,FALSE
"Lactobacillus phage phig1e",0.550799546999597,0.945398284434088,0.526615304273958,0.874513576455292,FALSE
"Lactobacillus phage phiJB",0.287084951200051,0.927463587413663,0.292162172724909,0.814318318755669,FALSE
"Lactobacillus phage phijl1",0.454503256370201,0.9359032718357,0.433958137575181,0.839548129379766,FALSE
"Lactobacillus phage phiPYB5",0.321259956106647,0.929846547222154,0.388490125224425,0.8294284785828,FALSE
"Lactobacillus phage Sha1",0.480870403339951,0.939346388184115,0.479328713689773,0.853245734364276,FALSE
"Lactobacillus prophage Lj771",0.728666531580292,0.958267469404811,0.622572465851784,0.920896748521044,FALSE
"Lactococcus phage 1358",0.518834220779969,0.939924078783669,0.499284658848569,0.87070381326587,FALSE
"Lactococcus phage 1706",0.397032041744291,0.936275937271205,0.407218950327722,0.810789296567038,FALSE
"Lactococcus phage c2",0.469653795419878,0.941187759731564,0.436609371674547,0.830400900227561,FALSE
"Lactococcus phage CB13",0.497360926814602,0.942027497501669,0.47619836319172,0.859251796968036,FALSE
"Lactococcus phage phiL47",0.491200668021964,0.940931469476281,0.479454751305793,0.859796289676318,FALSE
"Lambdina fiscellaria nucleopolyhedrovirus",0.448560178277733,0.93630787170211,0.445096318277542,0.823906223508672,FALSE
"Leucania separata nucleopolyhedrovirus",0.540467557255859,0.943369021820487,0.511138484232477,0.868562565447386,FALSE
"Leuconostoc phage LLC-1",0.498186897949649,0.94045463637497,0.495432601875496,0.865587916498411,FALSE
"Leuconostoc phage Ln-9",0.561988896150446,0.943293348697586,0.619102648393858,0.912986897482876,FALSE
"Leuconostoc phage phiMH1",0.351646216922665,0.933779962100639,0.299828045742791,0.751687653470166,FALSE
"Lymantria dispar multiple nucleopolyhedrovirus",0.398819431690247,0.927301667392485,0.40797083658144,0.810213523203335,FALSE
"Macacine herpesvirus 1",0.435739929761898,0.934046805573935,0.403331350189612,0.819261622417357,FALSE
"Macacine herpesvirus 3",0.441599308343227,0.935735642940544,0.462403433671677,0.843539827275902,FALSE
"Macacine herpesvirus 4",0.41194989154166,0.933720512014474,0.210678899935235,0.70121143414852,FALSE
"Macropodid herpesvirus 1",0.524903794604291,0.94316624736351,0.518573859873468,0.868037648093694,FALSE
"Mamestra brassicae multiple nucleopolyhedrovirus",0.508218553874165,0.942740390022965,0.491698148649437,0.862961007186434,FALSE
"Marseilleviridae",0.474133632795637,0.938538591975024,0.443152691379697,0.850404703506686,FALSE
"Megavirus chiliensis",0.500256773306189,0.942344354312328,0.503043794898356,0.868528384168012,FALSE
"Merkel cell polyomavirus",0.489813072446569,0.941032985550623,0.49600337929463,0.85034441808594,FALSE
"Mesorhizobium phage vB_MloP_Lo5R7ANS",0.4517019669376,0.936589083304589,0.412863621688238,0.822488640561853,FALSE
"Microbacterium phage Min1",0.491464038382202,0.941284660234404,0.494871910788688,0.858940083992212,FALSE
"Micromonas pusilla virus 12T",0.476282766381837,0.939178641276312,0.504919614984321,0.854299095639424,FALSE
"Miniopterus schreibersii papillomavirus 1",0.486391703230117,0.94171840768311,0.474895955732825,0.855673461764618,FALSE
"Molluscum contagiosum virus",0.465633615982125,0.937425177267102,0.458557697821999,0.842865361602358,FALSE
"Mosquito VEM virus SDBVL G",0.466159148112214,0.937688012527863,0.46691553633783,0.838499842339747,FALSE
"Moumouvirus",0.548582865669643,0.946129335754883,0.524523370745566,0.861990209322017,FALSE
"Murid herpesvirus 1",0.505403136242985,0.943798715630642,0.497556464200451,0.86634677880481,FALSE
"Murid herpesvirus 2",0.474989429820795,0.940588240890423,0.472418025596798,0.82717222865468,FALSE
"Murine leukemia-related retroviruses",0.532288402078243,0.944791976823563,0.509539107927617,0.860523044293273,FALSE
"Murine leukemia virus",0.498948120130074,0.942456804900595,0.455035371868956,0.851116924661255,FALSE
"Musca hytrovirus",0.519748111810713,0.940563923157744,0.519155337834601,0.864721319862744,FALSE
"Mycobacterium phage 40AC",0.521810708419072,0.941417594319213,0.522332805062481,0.87922140099948,FALSE
"Mycobacterium phage Estave1",0.473821507279782,0.937178990789142,0.484846848999802,0.84716931653089,FALSE
"Mycobacterium phage Gaia",0.472352440644146,0.939097253525018,0.434718003698267,0.838618479821893,FALSE
"Mycobacterium phage Goose",0.464785405288758,0.936534303648111,0.454502643572008,0.822686825224271,FALSE
"Mycobacterium phage Hamulus",0.470870872918824,0.939733101132096,0.448980896238809,0.840714754922315,FALSE
"Mycobacterium phage Luchador",0.509930045085287,0.943122973477492,0.51463978336358,0.871793277626398,FALSE
"Mycobacterium phage PhrostyMug",0.499052022521532,0.942882816628949,0.492819477788551,0.861896730554551,FALSE
"Mycobacterium phage Pukovnik",0.447405561092636,0.92940698316012,0.413999637333924,0.815057520131768,FALSE
"Mycobacterium phage Sheen",0.50313635007648,0.941481215465131,0.481265648391315,0.862555479251309,FALSE
"Mycobacterium phage Thibault",0.466726635096892,0.939608879463156,0.453949948147599,0.84360833225534,FALSE
"Mycobacterium phage Yoshi",0.494551263053133,0.94203199244146,0.457960000762106,0.84751600770189,FALSE
"Mycoplasma phage P1",0.487788770895089,0.940459923400364,0.511891418026961,0.877228781102248,FALSE
"Nilaparvata lugens endogenous nudivirus",0.504273828798398,0.940776293852548,0.474438335032345,0.856244630654604,FALSE
