"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"16","Human papillomavirus type 83",1,1,0,3,2,3,0,0,2,10,4,2,0,15,40641,1,2,0,0,1,0,1,0,0,1,0,3,15638,5,3,2,0,1,2,2,2,0,13,7,0,9,7,9032,0,2,0,1,0,0,2,6,2,0,2
"17","Human papillomavirus type 87",1,0,1,1,1,2,0,4,1,2,2,1,1,12,1,1,0,0,0,1,1,0,7,0,1,2,0,0,0,0,1,2,1,5,74,6,1,27982,1,7,1,4,37,6,0,0,0,7,0,1,0,6,0,1
"18","Human papillomavirus type 90",1,0,3206,2,0,0,1,1,1,0,0,2,0,11,2,0,0,1,1,1,0,1,0,2,1,0,0,0,1,1,0,0,1,2,0,0,0,1,1,4,1,1,1675,1,0,0,0,0,0,1,3,0,0,0
"19","Lactobacillus phage Lv-1",1,0,43,7,0,0,0,0,35,0,2,0,1,0,3,0,0,0,56,0,2,0,9,0,40,0,0,0,1,0,0,0,0,24,1332,3,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
"20","Megavirus courdo11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,289,6,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,0
"21","Murid herpesvirus 1",1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"22","Olive latent virus 3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Orf virus",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Orgyia leucostigma NPV",1,0,3,4,1,0,4,3,0,4,1,1,4,2,1,2,5,1,2,6,0,1,5,0,0,2,3,0,0,14,0,0,1,1,3,2,0,1,0,3,3,1,0,2,3,0,1,1,0,0,1,0,0,0
"25","Pandoravirus dulcis",1,0,3,0,1,1,1,1,1,0,1,0,1,1,0,3,2,0,0,0,0,0,1,0,0,0,0,36,0,1,1,0,0,0,0,3,0,1,0,2,21,1,0,4,2,0,0,0,0,0,0,2,1,0
"26","Paramecium bursaria Chlorella virus FR483",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Pithovirus sibericum",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"28","Podoviridae",1,0,1,1,0,0,1,1,0,1,1,1,90,1,0,9,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,8,2,0,3,0,0,3,0,0,0,1,0,0,0,0
"29","Pseudomonas phage PPpW-4",1,0,14,9,4,0,3,19,0,3,0,110,283,0,10,570,6,4,10,0,16,5,1,0,0,13,8,3,24,9,3,2,1,0,6,1,125,0,17,147,3,0,49,2,1,119,16,2,1,133,1,1,2,0
"30","Ranid herpesvirus 2",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Rhodoferax phage P26218",1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"32","SEN virus",1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","Simian adenovirus B",1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"34","Siphoviridae",1,0,3,2,2,0,0,2,1,1,2,75,1079,0,7,31,25,6,15,0,1,0,0,0,13,0,0,0,138,0,10,2,1,1,15,15,0,2,654,12,1,64,0,0,0,0,1026,0,1,89,0,0,4,1
"35","Siphovirus contig89",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,723,0,0,0,0,1,0,0,0,4,0,0,1,129,0,0,3,0,219,0,26,0,0,0,0,0,0,4,0,0,1,0,0
"36","Spodoptera exigua multiple nucleopolyhedrovirus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"37","Spodoptera frugiperda multiple nucleopolyhedrovirus",1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0
"38","Synechococcus phage Syn19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"39","TTV-like mini virus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,59,11,0,0,1,0,0,0,0,0,0,0,0,0
"40","Tursiops truncatus papillomavirus 1",1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0
"41","unclassified T7-like viruses",1,1,3,3,1,1,1,3,0,0,1,2,85,0,7,2,1,0,3,1,4,0,1,0,2,3,1,1,2,0,1,1,0,2,0,1,41,1,27,85,2,3,7,0,0,1,7,0,1,16,0,1,0,0
"42","Verrucomicrobia phage P8625",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"43","Andrias davidianus ranavirus",2,0,2,1,1,1,2,3,1,2,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,1,2,0,8,0,0,2,0,0,0,2,2,0,1,8,0,0
"44","Elephantid herpesvirus 1",2,0,0,2,2,2,1,3,0,2,2,2,0,4,0,3,1,0,2,2,2,3,3,0,1,1,1,0,0,1,0,0,7,0,1,5,0,1,0,0,7,1,0,3,0,0,0,3,4,0,4,8,1,0
"45","Emiliania huxleyi virus 99B1",2,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"46","Human papillomavirus type 32",2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,67,0,0,0,0,0,1,6079,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"47","Human papillomavirus type 42",2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,441,0,1,0,0,699,0,0,0,0,0,1,7,2,1542,1,0,0,16,0,0,0,1,0,0,0
"48","Human papillomavirus type 71",2,0,1,5,1,6,1,8,0,4,4,4,2,2,5,1,5,1,1,4,1,1,2,2,0,5,0,0,3,0,0,3,7,4,2,2,6,5,1,5,66658,1,1,6,3,0,3,4,3,1,2,1,5,4
"49","Klebsiella phage NTUH-K2044-K1-1",2,0,1,1,5,2,1,3,2,1,2,0,1,4,0,1,6,1,2,0,0,0,7,1,1,2,1,0,4,1,0,2,2,0,1,4,0,5,1,1,6,0,0,4,1,1,0,1,0,0,1,0,7,1
"50","Lymantria dispar multiple nucleopolyhedrovirus",2,0,1,0,1,0,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,3,5,1,0,0,0,1,3,0,0,0,0,0,1,0
"51","Micromys minutus papillomavirus 1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Paramecium bursaria Chlorella virus CvsA1",2,0,0,4,0,2,1,0,0,0,0,0,6,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"53","Phaeocystis globosa virus",2,0,11,3,9,3,2,6,1,1,3,2,6,2,1,51,5,1,9,6,5,3,6,2,4,9,2,0,5,8,0,0,3,3,0,10,0,1,4,1,5,0,1,13,0,3,1,0,3,0,3,2,3,1
"54","Phaeocystis globosa virus 12T",2,0,2,0,2,1,0,3,1,0,1,1,4,0,0,0,0,0,0,4,3,0,1,1,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,1,0,2,0,1,0
"55","Viruses",2,1,3,2,2,0,0,0,1,2,3,3,706,0,1,0,1,4,10,0,1,12,56,0,9,45,133,0,34,21,28,14,1,4,8,0,263,30,2632,446,12,0,0,0,36,0,44,0,1,0,0,1,153,2
"56","Acanthocystis turfacea Chlorella virus 1",3,0,3,1,7,2,3,2,0,3,3,3,0,0,1,1,5,1,1,2,2,0,4,0,0,9,2,0,0,3,0,0,9,1,1,5,19,4,0,2,4,1,0,20,0,0,1,1,1,0,0,5,3,0
"57","Clostridium phage phiCT9441A",3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0
"58","Enterococcus phage EFLK1",3,0,0,0,0,0,3,4,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"59","Human papillomavirus types",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60","Mastadenovirus",3,3,8,13,6,3,5,5,4,4,4,2,80,4,0,3,7,1,3,1,3,0,2,0,4,1,2,1,0,1,4,0,2,1,1,5,2,0,15,0,4,1,1,4,2,0,4,59,2,2,4,0,0,1
"61","Pandoravirus inopinatum",3,1,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,0,1,2,1,0,0,0,0,14,0,0,0,0,0,1,1,0,1,2,0,1,0,42,1,1,3,2,3,0,1,1,0,1,0,3,0,1
"62","Paramecium bursaria Chlorella virus AP110A",3,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,17,0,0,0,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0
"63","Pipapillomavirus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Pseudomonas phage phi15",3,1,3,1,2,0,0,0,0,2,0,2,20,1,0,3,0,0,21,2,4,2,0,0,0,4,2,0,0,6,0,1,0,1,0,0,3,2,1,10,1,0,10,0,0,9,8,0,1,2,0,0,0,1
"65","Human papillomavirus type 74",4,0,8,4,9,7,2,7,2,5,4,6,6,9,2027,3,5,1,5,3,5,8,6,1,9,3,2196,3,2,2,0,3,12,118803,805,3,6,12,2,9,8,32,6,8,1,12,1593,1,2,5,8,7,0,3
"66","Lactobacillus phage phiAQ113",4,0,45,0,0,0,0,0,35,0,3,2,1,1,0,0,0,38,43,0,0,13,0,0,46,0,0,0,0,0,0,0,0,0,0,14,0,49,0,0,0,0,0,0,0,46,0,0,0,0,0,0,2,10
"67","unidentified phage",4,32,0,1,0,0,0,0,0,3,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,10,4,0,56,0,0,0,0,71,2,0,3,61,0,0,0,5,0,0,0,0,0,0,0
"68","Alphapapillomavirus 10",5,1,7,6,9,0,7,5,7,4,5,3,4,1,47,2,2,1,9,2,3,3,7,1,4,0,21,14,3,1,12,8,8,752,1861,22,4,3,1,7,17,55,63771,2,1,0,15,2,1,2,17,5,0,1
"69","Brochothrix phage NF5",5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,170,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"70","Emiliania huxleyi virus 156",5,1,3,6,1,2,2,2,3,1,6,3,30,2,0,8,15,1,3,3,4,1,5,0,2,49,1,0,0,4,5,0,3,0,0,7,0,6,17,1,13,1,1,11,2,110,0,3,2,0,1,3,39,0
"71","Human mastadenovirus D",5,3,52,17,4,12,10,16,3,12,14,3,11,3,5,6,3,4,4,4,6,5,5,4,8,6,9,5,8,5,0,9,4,7,11,5,17,6,0,6,7,5,5,11,1,1,4,672,4,1,8,6,2,18
"72","Hyposoter fugitivus ichnovirus",5,0,2,0,3,2,0,2,0,0,1,0,0,2,0,0,3,0,1,5,4,0,1,0,0,0,2,0,0,0,0,0,3,0,0,5,0,2,2,1,12,0,0,0,0,0,0,0,3,0,2,6,0,0
"73","Megavirus lba",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"74","Alphapapillomavirus 6",6,0,4,5,4,3,1,4,2,4,5,3,0,13,1,1,2,0,3,7,0,6,2,5,4,3,1,2,3,0,4,3,6,72249,6,4,2,5,1,5,2,18,6,3,2,5,6385,2,7,1,2,2,0,3
"75","Avian sarcoma virus 31",6,1,9,1,3,5,6,4,3,4,1,1,9,2,1,3,8,0,4,6,5,1,5,0,2,13,1,0,2,3,0,0,2,1,0,12,0,3,1,3,6,0,2,4,0,2,0,1,2,0,1,1,1,3
"76","Epstein-barr virus strain ag876",6,0,15,5,10,0,7,0,1,9,0,1,10,2,0,1,5,0,0,2,3,0,8,0,3,9,5,0,0,8,1,0,6,0,0,4,0,3,6,0,5,1,3,1,0,6,0,2,1,0,0,1,2,0
"77","Human papillomavirus type 72",6,0,11,9,5,10,3,6,6,5,9,6,3,8,4,13,6,2,17,5,5,3,7,1,5,6,4,7,167,5,26,7,20,47,23,53,12,26,5,24,144,138,177684,12,2,0,1,0,11,6,55,9,1,4
"78","Indian citrus ringspot virus",6,1,3,1,3,1,3,1,1,0,1,1,22,2,3,3,5,0,1,2,1,0,4,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,2,26,0,1,2,0,1,1,2,0
"79","Pigeon adenovirus 1",6,2,3,10,10,8,3,0,4,8,6,4,105,5,0,7,6,0,8,12,1,0,3,0,8,40,8,0,4,2,4,0,7,1,0,5,4,13,7,3,12,2,0,13,0,98,0,0,2,0,1,2,21,1
"80","Torque teno virus",6,1,0,1,17,25,1,5,0,1,0,0,1,0,0,218,0,0,0,0,0,1,0,0,0,22,0,0,34,4,1,0,0,12,18,0,0,21,6,0,0,19,0,30,16,0,0,0,0,0,0,0,0,0
"81","Bacillus phage SIOphi",7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"82","Enhydra lutris papillomavirus 1",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Lymphocryptovirus",8,1,20,10,8,39,11,19,5,25,11,7,11,19,11,4,8,8,3,6,11,130,12,155264,12,16,12,11,200,12,234,17,8,18,405,19,3,11,0,16,8,3,8,14,6,0,4,25,4,6,13,8,1,7
"84","uncultured marine virus",8,8,1,0,0,2,0,0,0,0,1,0,2,0,0,6,1,0,1,1,1,6,1,0,0,2,1,18,12,1,0,3,0,28,4780,3,0,4,0,0,0,0,9,1,11,0,1,0,0,0,0,0,0,0
"85","Emiliania huxleyi virus 145",9,1,5,8,8,1,4,3,5,10,5,3,4,2,24,0,5,0,0,3,7,8,9,2,8,4,2,0,36,3,0,1,1,0,0,12,0,7,1,0,5,0,0,6,2,0,0,1,3,0,3,2,8,0
"86","Human papillomavirus type 103",9,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Human papillomavirus type 108",9,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Human papillomavirus type 56",9,2,22,15,17,14,6,23,10,19,9,6,8,10,8,6,15,3,10,16,7,13,6,9,8,11,9,6,5,8,33,12,16,299192,23,9,9,17,12,20,15,64,16,22,4,20,26275,8,9,16,8,9,3,5
"89","Human papillomavirus type 62",9,0,20,11,20,12,10,20,11,13,18,3,7,33,4409,13,5,3,12,11,9,7,12,7,10,19,114,6,26,5,7,38,25,63,18,135,24,346351,1645,44,49,20,11051,35,10,0,6,59,8,28,22,14,3,10
"90","Pandoravirus salinus",10,1,7,5,18,13,9,13,3,11,15,8,2,6,1,33,20,2,8,14,7,3,15,3,3,12,7,0,3,8,5,16,17,6,0,18,0,10,5,10,143,16,0,28,1,0,1,12,15,1,13,24,3,1
"91","Staphylococcus phage IME-SA2",10,11,9,6,13,6,6,12,3,7,3,8,16,11,4,4,25,1,8,16,10,5,4,1,6,22,1,0,2,2,0,0,12,4,1,7,0,13,6,3,24,1,1,26,1,1,1,2,8,1,4,5,1,0
"92","Human papillomavirus type 31",11,0,11,13,10,7,11,13,4,11,5,81,9,14,11,26,58,133,184099,18,5,9,10,5,17,6,4,10,6,8,13,12,10,6,6,10,4,6,0,7,5,7,29,10,3,0,6,3,3,3,7,13,1,8
"93","Lactobacillus phage KC5a",12,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,8,0,1,0,0,1,118,0,0,0,231,0,0,0,0,8,0,0,1,0,0,19,11,37,0,0,0,27,0,0,5,0,2,15,0,1,331,0
"94","Alphapapillomavirus 8",13,0,0,0,0,0,0,0,0,0,235,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
"95","unclassified Siphoviridae",13,1,12,4,2,0,5,2,0,2,63,2,20,1,2,4,3,7,10,3,1,384,289,0,99,314,361,12,211,163,326,39,3,81,637,9,1963,128,7251,2952,103,292,34,1,5,0,156,2,37,0,1,1,51,0
"96","Human herpesvirus 6 (strain Uganda-1102)",15,2,14,7,27,12,9,32,7,10,13,7,3,10,1,10,30,1,8,20,12,2,24,1,9,17,4,0,0,5,0,1,28,6,0,24,1,8,11,2,111,2,2,24,2,0,1,13,26,0,9,29,11,1
"97","Lactobacillus phage Lrm1",15,7,0,1,0,0,0,0,6,0,2,0,237,0,0,0,1,57,8,0,0,15,22,0,0,0,0,0,15,2,0,0,1,69,3034,4,0,3,0,0,1,2,35,0,0,0,5,0,3,0,0,0,1,0
"98","Human papillomavirus type 72b",17,0,14,10,12,12,4,9,4,13,12,7,7,15,103,13,14,3,26,12,11,3,14,4,15,7,9,10,131,6,35,4,24,16,25,62,14,71,9,32,167,151,172568,14,6,1,7,8,5,10,64,8,4,8
"99","Human papillomavirus type 101",18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Glypta fumiferanae ichnovirus",24,3,19,6,22,12,15,24,2,14,19,5,1,8,2,43,28,4,16,27,12,4,10,0,12,3,4,0,5,8,34,1,48,12,1,25,0,11,5,5,1395,5,3,15,0,0,0,20,33,0,34,47,2,5
"101","Human herpesvirus 4",28,4,44,53,29,180,35,48,24,44,37,53,22,39,21,20,25,14,34,26,42,710,52,913301,44,76,51,58,790,47,1607,104,31,46,2218,78,15,39,0,25,29,23,34,32,24,1,25,127,24,22,34,38,6,16
"102","Lactobacillus prophage Lj771",35,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,0,0,0,1,732,0,2,0,501,0,0,0,1,10,0,0,0,0,0,30,114,0,0,0,0,3,0,4,23,0,0,0,0,0,407,3
