"","Viral_Species","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"165","Indian citrus ringspot virus",1,0,1,2,0,1,2,0
"166","Kallithea virus",1,0,0,0,0,2,0,0
"167","Klebsiella phage NTUH-K2044-K1-1",0,0,1,0,0,1,7,1
"168","Lactobacillus phage c5",0,0,0,0,0,0,12,0
"169","Lactobacillus phage JCL1032",0,0,0,0,0,0,46,0
"170","Lactobacillus phage KC5a",1,5,0,2,15,0,331,0
"171","Lactobacillus phage Lb338-1",0,185,0,0,0,0,0,0
"172","Lactobacillus phage LfeSau",0,1,0,0,0,0,113,0
"173","Lactobacillus phage Lrm1",0,5,0,3,0,0,1,0
"174","Lactobacillus phage Lv-1",0,0,0,0,0,0,100,0
"175","Lactobacillus phage phi jlb1",0,0,0,0,0,1,0,2
"176","Lactobacillus phage phiadh",0,0,0,0,0,5,393,0
"177","Lactobacillus phage phiAQ113",0,0,0,0,0,0,2,10
"178","Lactobacillus phage phig1e",0,0,0,0,0,0,19,0
"179","Lactobacillus phage phiJB",0,0,0,1,156,0,30,3
"180","Lactobacillus phage phijl1",0,52,0,0,0,0,0,0
"181","Lactobacillus phage Sha1",0,0,0,0,4,0,0,0
"182","Lactobacillus prophage Lj771",0,23,0,0,0,0,407,3
"183","Lactococcus phage BM13",0,1,0,0,0,0,0,0
"184","Lambdina fiscellaria nucleopolyhedrovirus",0,0,0,1,0,0,0,0
"185","Leucania separata nucleopolyhedrovirus",0,0,0,1,0,0,0,0
"186","Leuconostoc phage phiMH1",0,0,0,0,4,0,0,0
"187","Lymantria dispar multiple nucleopolyhedrovirus",0,3,0,0,0,0,1,0
"188","Lymphocryptovirus",8,4,25,4,6,13,1,7
"189","Macaca fascicularis papillomavirus type 7",0,3,0,0,0,0,0,0
"190","Macaca fuscata rhadinovirus",0,0,0,0,0,0,0,1
"191","Macacine herpesvirus 3",0,3,0,0,0,0,0,0
"192","Macacine herpesvirus 4",1,0,0,0,0,0,0,0
"193","Mastadenovirus",0,4,59,2,2,4,4,1
"194","Megavirus courdo11",0,0,0,1,0,0,0,0
"195","Melanoplus sanguinipes entomopoxvirus",0,0,0,0,0,0,1,0
"196","Merkel cell polyomavirus",0,0,0,0,160,0,0,0
"197","Mesorhizobium phage vB_MloP_Lo5R7ANS",0,0,0,0,5,0,0,0
"198","Micromonas pusilla virus 12T",0,0,0,0,1,0,0,0
"199","Mimiviridae",0,0,0,0,1,2,0,3
"200","Molluscum contagiosum virus subtype 1",1,0,0,0,0,0,0,0
"201","Moumouvirus",0,2,0,0,0,0,1,0
"202","Moumouvirus goulette",0,0,0,0,48,0,7,0
"203","Murid herpesvirus 1",1,0,0,0,0,0,0,0
"204","Mycobacterium phage 32HC",0,2,0,0,0,0,0,0
"205","Mycobacterium phage Gaia",0,5,0,0,0,0,0,0
"206","Mycobacterium phage QuinnKiro",0,1,0,0,0,0,0,0
"207","Mycobacterium phage Thibault",0,5,0,0,0,0,0,0
"208","Orgyia leucostigma NPV",0,1,2,0,0,1,0,0
"209","Ovine herpesvirus 2",1,0,0,0,0,0,0,0
"210","Pandoravirus dulcis",2,0,0,0,0,100,1,0
"211","Pandoravirus inopinatum",3,1,1,0,1,2,0,1
"212","Pandoravirus salinus",24,1,13,15,1,23,3,1
"213","Papillomaviridae",38,16539,28,16,21,53,13,11
"214","Papio hamadryas papillomavirus type 1",1,0,0,0,0,1,0,0
"215","Paramecium bursaria Chlorella virus A1",0,1,0,1,0,0,0,0
"216","Paramecium bursaria Chlorella virus AP110A",0,0,0,1,0,3,0,0
"217","Paramecium bursaria Chlorella virus Can18-4",0,1,0,0,0,0,0,0
"218","Paramecium bursaria Chlorella virus CZ-2",0,0,0,0,0,1,0,0
"219","Pasteurella phage F108",0,3,0,0,0,0,0,0
"220","Pectobacterium phage My1",0,0,0,0,0,0,0,3
"221","Pelagibacter phage HTVC019P",0,0,0,0,1,0,0,0
"222","Phaeocystis globosa virus",2,1,1,3,0,3,3,1
"223","Phaeocystis globosa virus 12T",0,0,0,1,0,2,1,0
"224","Phage 21",0,4,0,0,0,0,0,0
"225","Phage Gifsy-1",0,31,0,0,0,0,0,0
"226","Phage SK137",0,262,0,0,0,0,0,0
"227","Phijlunalikevirus",0,38,0,0,0,0,23,0
"228","Phthorimaea operculella granulovirus",0,0,0,0,0,1,0,0
"229","Phycodnaviridae",0,0,0,1,0,1,0,0
"230","Pigeon adenovirus 1",2,0,0,2,0,1,21,1
"231","Pithovirus sibericum",0,0,0,0,0,7,1,0
"232","Plantago asiatica mosaic virus",0,0,0,0,0,0,1,0
"233","Porcine circovirus 2",0,2,0,0,0,0,0,0
"234","Porcine parvovirus 6",1,0,0,0,0,0,0,0
"235","Proteus phage pPM_01",0,0,0,0,2,0,0,0
"236","Pseudomonas phage Pf-10",0,1,0,0,0,0,0,0
"237","Pseudomonas phage Phi-S1",0,0,0,0,1,0,0,0
"238","Pseudomonas phage phi15",0,8,0,1,2,0,0,1
"239","Pseudomonas phage phiIBB-PF7A",0,2,0,0,25,0,0,0
"240","Pseudomonas phage PhiPA3",0,1,0,0,22,0,0,0
"241","Pseudomonas phage PPpW-4",1,16,2,1,133,1,2,0
"242","Pseudoplusia includens SNPV IE",0,0,0,0,0,0,0,1
"243","Pygmy chimpanzee papillomavirus type 1",0,0,1,0,0,0,0,0
"244","Rabbit hemorrhagic disease virus",0,0,0,0,0,0,7,0
"245","Ralstonia phage RSL1",0,4,0,0,0,0,0,0
"246","Rat cytomegalovirus Maastricht",0,0,0,0,0,0,1,0
"247","Rhinolophus ferrumequinum papillomavirus type 1",0,1,0,0,0,0,0,0
"248","Rhodococcus phage REQ2",0,6,0,0,0,0,0,0
"249","Rhodococcus phage REQ3",0,16,0,0,0,0,1,0
"250","Rhodococcus phage ReqiPoco6",0,2,0,0,0,0,0,0
"251","Rice ragged stunt virus",0,1,0,0,0,0,0,0
"253","Saimiri sciureus papillomavirus 2",0,0,1,0,0,0,0,0
"254","Saimiriine herpesvirus 4",0,1,0,0,0,0,0,0
"255","Salmonella phage SPN3US",0,2,0,0,0,0,0,0
"256","Sfi1unalikevirus",0,9,0,0,0,0,0,0
"257","Sfi21dtunalikevirus",0,28,0,0,0,0,0,0
"258","Shewanella sp. phage 1/40",0,0,0,0,1,0,0,0
"259","Simian adenovirus B",0,0,0,0,0,1,0,0
"260","Simian hemorrhagic fever virus",0,0,0,0,1,0,0,0
"261","Simian immunodeficiency virus",0,0,0,0,0,1,0,0
"262","Simian mastadenovirus A",0,0,1,0,0,0,0,0
"263","Siphoviridae",0,1026,0,1,89,1,4,1
"264","Siphovirus contig89",1,0,0,4,0,0,0,0
"265","Spodoptera frugiperda ascovirus 1a",1,0,0,0,0,0,0,0
"266","Spodoptera frugiperda granulovirus",0,1,0,0,0,1,0,0
"267","Spodoptera frugiperda multiple nucleopolyhedrovirus",0,0,0,0,0,2,0,0
"268","Spodoptera litura granulovirus",0,0,0,0,0,1,0,0
"269","Staphylococcus phage 187",0,1,0,0,0,0,0,0
"270","Staphylococcus phage 37",0,2,0,0,0,0,0,0
"271","Staphylococcus phage 47",0,0,0,0,24,0,0,0
"272","Staphylococcus phage 77",0,7,0,0,0,0,0,0
"273","Staphylococcus phage IME-SA2",5,1,3,8,1,4,1,0
"274","Staphylococcus phage IME-SA4",0,11,0,0,0,0,0,0
"275","Staphylococcus phage Ipla5",0,12,0,0,0,0,0,0
"276","Staphylococcus phage StB12",0,21,0,0,0,0,0,0
"277","Staphylococcus phage StB20",0,3,0,0,0,0,0,0
"278","Staphylococcus phage StB27",0,1,0,0,0,0,0,0
"279","Streptococcus phage 20617",0,400,0,0,0,0,0,0
"280","Streptococcus phage 2167",0,1,0,0,0,0,0,0
"281","Streptococcus phage 34117",0,27,0,0,0,0,0,0
"282","Streptococcus phage 5093",0,52,0,0,1,4,0,0
"283","Streptococcus phage 700P1",0,77,0,0,0,0,0,0
"284","Streptococcus phage 7201",0,3,0,0,0,0,0,0
"285","Streptococcus phage Abc2",0,10,0,0,0,0,0,0
"286","Streptococcus phage C1",0,0,0,0,0,0,0,666
"287","Streptococcus phage DT1",0,97,0,0,0,0,40,0
"288","Streptococcus phage EJ-1",0,71,0,0,0,0,0,0
"289","Streptococcus phage M102",0,85,0,0,0,0,0,0
"290","Streptococcus phage MM1",0,1,0,0,0,0,0,0
"291","Streptococcus phage PH10",0,1,0,0,0,0,0,0
"292","Streptococcus phage PH15",0,988,0,0,0,0,0,0
"293","Streptococcus phage phi20c",0,7,0,0,0,0,0,0
"294","Streptococcus phage phi30c",0,736,0,0,0,0,0,0
"295","Streptococcus phage phi3396",0,4,0,0,0,0,0,0
"296","Streptococcus phage phi5218",0,0,0,1,0,0,0,0
"297","Streptococcus phage phiNJ2",0,2931,1,0,0,0,0,0
"298","Streptococcus phage phiS10",0,18,0,0,0,0,0,0
"299","Streptococcus phage Sfi11",0,1,0,0,0,0,0,0
"300","Streptococcus phage Sfi19",0,1,0,0,0,0,0,0
"301","Streptococcus phage Sfi21",0,1,0,0,0,0,0,0
"302","Streptococcus phage SM1",0,25,0,0,0,0,0,0
"303","Streptococcus phage SMP",0,35,0,0,0,0,0,0
"304","Streptococcus phage SpSL1",0,40,0,0,0,0,0,0
"305","Streptococcus phage Str-PAP-1",0,5,0,0,0,1,0,0
"306","Streptococcus phage TP-778L",0,3,0,0,0,0,0,0
"307","Streptococcus phage V22",0,4,0,0,0,0,0,0
"308","Streptococcus phage YMC-2011",0,2,0,0,0,0,0,0
"309","Streptomyces phage phiCAM",0,368,0,0,0,0,0,0
"310","Streptomyces phage SV1",0,3,0,0,0,0,0,0
"311","Synechococcus phage ACG-2014c",0,0,0,0,5,0,0,0
"312","Synechococcus phage ACG-2014f",0,0,0,0,1,0,0,0
"313","Synechococcus phage Syn19",1,0,0,0,0,0,0,0
"314","T4likevirus",0,2,0,0,0,0,0,0
"315","Thermoproteus tenax virus 1",0,12,0,0,1,0,1,0
"316","Torque teno midi virus",0,0,0,1,0,0,0,0
"317","Tursiops truncatus papillomavirus 1",0,1,0,0,0,0,0,0
"318","Tursiops truncatus papillomavirus 5",1,0,0,0,0,2,2,0
"319","unclassified Coccolithovirus",18,4,25,54,2,43,110,16
"320","unclassified dsDNA viruses",0,0,0,1,0,0,0,0
"321","unclassified Myoviridae",0,0,0,0,7,0,0,0
"322","unclassified phages",0,3,0,0,0,0,0,0
"323","unclassified Polyomavirus",0,0,0,0,1,0,0,0
"324","unclassified Siphoviridae",1,156,2,37,0,1,51,0
"325","unclassified T7-like viruses",1,7,0,1,16,0,0,0
"326","unclassified Twortlikevirus",0,48,0,0,0,0,0,0
"327","uncultured marine virus",0,1,0,0,0,0,0,0
"328","uncultured phage",0,1,0,0,0,0,0,0
"329","uncultured phage MedDCM-OCT-S08-C964",0,0,0,0,0,1,0,0
"330","unidentified phage",0,5,0,0,0,0,0,0
"331","Varicellovirus",0,0,0,0,0,1,0,0
"332","Verticillium dahliae chrysovirus 1",0,1,0,0,0,0,0,0
"333","Vibrio phage helene 12B3",0,0,0,0,0,0,3,0
"334","Vibrio phage martha 12B12",0,0,0,0,0,0,1,0
"335","Vibrio phage VP882",0,19,0,0,0,0,0,0
"336","Viruses",1,44,0,1,0,0,153,2
"337","Vulpes vulpes papillomavirus 1",0,1,0,0,0,0,0,0
"338","White spot syndrome virus",0,0,0,0,0,1,3,0
"339","Yersinia phage phiR1-37",0,0,0,0,25,2,0,0
"340","Acanthocystis turfacea Chlorella virus Canal-1",1,0,0,0,0,1132,0,0
"341","Bathycoccus sp. RCC1105 virus BpV1",1,0,0,0,0,0,0,0
"342","Coxsackievirus A9",0,5,0,0,1,0,1,2
"343","Echovirus E6",0,0,0,0,0,0,1,0
"344","Emiliania huxleyi virus 99B1",0,0,0,0,0,2,0,0
"345","Enterovirus B",0,7,1,0,1,0,5,0
"346","Gammaretrovirus",0,0,0,0,0,4,2,0
"347","Herpesviridae",0,0,0,0,0,1,0,0
"348","Human herpesvirus 1",0,0,0,0,0,1,0,0
"349","Human herpesvirus 6",0,0,1,0,0,0,0,0
"350","Human herpesvirus 8",0,0,0,0,0,2,0,0
"351","Human T-lymphotropic virus 1",0,0,1,1,0,0,0,0
"352","Macaca nemestrina rhadinovirus 2",0,0,0,0,0,2,0,0
"353","Miniopterus schreibersii papillomavirus 1",0,0,0,0,0,1,0,0
"354","Moloney murine leukemia virus",0,0,0,0,0,1,0,0
"355","Organic Lake phycodnavirus 2",0,0,0,0,0,3,0,0
"356","Paramecium bursaria Chlorella virus AR158",0,0,0,0,0,3,0,0
"357","Paramecium bursaria chlorella virus MT325",0,0,0,0,0,1,0,0
"358","Plutella xylostella granulovirus",0,0,0,0,0,1,0,0
"359","Pseudomonas phage PaBG",0,0,0,0,0,108,0,0
"360","Saimiriine herpesvirus 1",0,0,0,0,0,2,0,0
"361","Saimiriine herpesvirus 2",0,0,0,0,0,14,0,0
"362","Simian torque teno virus",0,0,0,0,0,1,0,0
"363","Torque teno virus",0,0,0,0,0,2,0,0
"364","Trichoplusia ni single nucleopolyhedrovirus",0,0,0,0,0,1,0,0
"365","Weissella phage phiYS61",0,0,0,0,0,1,0,0
