,Viral_Families,freq,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.52,Vogue1B.01.03,Vogue1B.01.27,Vogue1B.01.51
19,Closteroviridae,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Coronaviridae,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Endornaviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Flaviviridae,13,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,3,1,1,0,0,0
23,Fuselloviridae,33,1,0,0,1,1,0,0,0,0,5,4,2,0,0,6,2,0,2,0,0,4,0,3,2,0
24,Hepeviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Herpesviridae,1673485,1377,1657672,207,393,275,179,3136,228,3026,292,343,186,3881,96,277,81,49,294,77,161,331,50,393,408,73
26,Hytrosaviridae,19,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,4,0,0,2,0,3,3,0
27,Iridoviridae,198,2,1,9,4,1,0,5,5,2,1,38,4,1,2,10,3,0,25,2,4,25,2,25,26,1
28,Lactobacillus phage,1536,56,0,11,0,485,0,0,0,2,13,0,0,0,0,43,117,0,0,0,0,0,0,809,0,0
29,Lipothrixviridae,103,39,1,0,2,0,0,0,1,0,8,0,1,0,0,0,1,0,2,0,45,3,0,0,0,0
30,Luteoviridae,9,0,2,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31,Microviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,Mimiviridae,588,4,1,6,9,4,16,11,4,1,2,3,367,29,1,2,6,4,4,75,10,6,1,5,12,5
33,Mycodnaviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Nimaviridae,135,1,0,1,4,6,0,6,3,2,0,4,0,4,0,6,49,0,7,1,0,16,1,5,8,11
35,Nodaviridae,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Nudiviridae,38,0,1,0,3,1,0,0,0,0,0,2,0,1,8,0,9,0,0,0,0,8,3,0,2,0
37,Other dsDNA Viruses,406,29,22,16,30,21,5,4,21,3,14,21,6,20,2,14,12,2,40,2,28,32,3,18,37,4
38,Other Phages,448,34,0,0,1,0,4,8,73,45,7,2,35,8,4,4,128,3,1,4,70,0,0,0,2,15
39,Other ssDNA viruses,9,0,0,0,3,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,Other ssRNA negative viruses,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Other ssRNA positive viruses,12,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,Other Viruses (unclassified),9351,40,2,14,53,138,26,108,23,83,19,8,92,4606,256,27,3658,47,17,1,8,10,1,75,8,31
43,Pandoraviridae,1161,21,15,26,37,26,26,21,43,18,6,162,20,15,15,58,31,3,200,20,19,134,2,133,93,17
44,Papillomaviridae,3690994,2430,277,368,417,6361,31590,2887,4478,525,380,611,1287957,9596,379,773184,6439,107,259830,1604,1294524,1571,104,4057,1137,181
45,Paramyxoviridae,26,0,0,4,1,0,0,1,3,0,1,2,1,2,3,2,1,0,0,0,1,0,0,0,4,0
46,Parvoviridae,17,1,2,1,0,1,0,0,3,0,0,2,0,0,0,1,3,1,1,0,1,0,0,0,0,0
47,Phycodnaviridae,15642,337,341,574,1860,421,21,213,618,309,29,756,95,102,350,945,1166,91,1397,84,168,1704,1533,913,1103,512
48,Picornaviridae,1498,12,1269,11,19,8,10,6,17,14,0,15,7,8,8,8,8,5,4,4,13,6,5,16,16,9
49,Polydnaviridae,3086,41,12,75,49,51,10,32,78,44,19,361,51,18,28,109,73,7,1251,33,35,180,4,271,235,19
50,Polyomaviridae,190,5,0,0,0,1,0,0,22,0,4,0,0,0,3,0,146,1,1,1,2,0,1,3,0,0
51,Potyviridae,17,0,0,0,0,3,0,0,5,0,1,2,0,0,0,0,1,1,1,0,0,3,0,0,0,0
52,Poxviridae,88,3,1,3,8,2,0,1,3,2,2,4,1,4,9,1,5,0,7,2,1,6,10,2,7,4
53,Reoviridae,176,0,0,5,33,4,2,2,2,0,0,4,1,3,1,1,2,3,17,1,6,84,2,1,2,0
54,Retroviridae,3393,10,18,28,126,23,5,9,26,7,2361,45,3,8,156,50,88,1,67,5,10,75,20,34,49,169
55,Rhabdoviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,Secoviridae,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,Streptococcus phage,482,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,467,0,0,0,1,0,0,0,0,0
58,Totiviridae,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Turriviridae,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Tymoviridae,21,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,7,1,1,3,1,1,0,0
61,Vibrio phage,192,0,0,0,2,12,1,0,1,40,0,0,0,1,95,2,4,23,4,0,6,0,0,0,1,0
62,Betaflexiviridae,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Chrysoviridae,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Iflaviridae,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Marseilleviridae,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Partitiviridae,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Picobirnaviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,Virgaviridae,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
